"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-5.999523926E-1,9.922116852E0,5.999523926E-1
1.004000002E-2,-5.972579956E-1,9.796827393E0,5.613327026E-1
2.009399998E-2,-5.852828979E-1,9.838141479E0,5.173242188E-1
3.015100001E-2,-5.351371765E-1,9.823172607E0,4.836442566E-1
4.022099997E-2,-5.162763977E-1,9.798324280E0,4.709207153E-1
5.025899998E-2,-4.939727783E-1,9.749825134E0,4.749623108E-1
6.030299998E-2,-4.691244507E-1,9.731413422E0,4.957690430E-1
7.037300000E-2,-5.183720398E-1,9.669142914E0,5.292993164E-1
8.041599998E-2,-5.649252319E-1,9.718839569E0,6.105802917E-1
9.046799998E-2,-5.795947266E-1,9.841584320E0,6.548881531E-1
1.005210000E-1,-6.099815369E-1,9.870623932E0,6.445596313E-1
1.105730000E-1,-6.243516541E-1,9.821675720E0,7.283853149E-1
1.206260000E-1,-6.351292419E-1,9.777068481E0,6.541397095E-1
1.306780000E-1,-6.259982300E-1,9.810000000E0,6.258485413E-1
1.407300000E-1,-6.087840271E-1,9.929451599E0,6.092330933E-1
1.507670000E-1,-5.935157776E-1,9.870623932E0,5.528004456E-1
1.608320000E-1,-6.111790466E-1,9.797575836E0,5.780978394E-1
1.708850000E-1,-6.170169067E-1,9.787546692E0,6.503974915E-1
1.809470000E-1,-5.837860107E-1,9.760303345E0,5.671705627E-1
1.909890000E-1,-4.918771362E-1,9.884694672E0,5.056484985E-1
2.010410000E-1,-4.583468628E-1,9.939630432E0,5.294490051E-1
2.111040000E-1,-5.484594727E-1,9.955946503E0,5.966592407E-1
2.211440000E-1,-5.975573730E-1,9.932145996E0,6.960525513E-1
2.311960000E-1,-6.050418091E-1,9.898615723E0,7.120692444E-1
2.412550000E-1,-5.953120422E-1,9.920170898E0,6.774911499E-1
2.513000000E-1,-5.547463989E-1,9.934391327E0,6.035449219E-1
2.613520000E-1,-5.689668274E-1,9.905202026E0,6.414161682E-1
2.714070000E-1,-5.912704468E-1,9.956994324E0,5.530998230E-1
2.814560000E-1,-5.472619629E-1,9.989327087E0,5.788462830E-1
