"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,-5.846384913E-3,-1.375218481E-2,4.930961132E-2
1.003599999E-2,9.214619175E-3,-2.543823980E-2,4.208095372E-2
2.004599996E-2,1.989256404E-2,-2.111752518E-2,4.112727568E-2
3.002800001E-2,2.512522042E-2,1.335199340E-3,4.535505548E-2
4.006500001E-2,3.151079267E-2,9.906047024E-3,4.539358988E-2
5.007499998E-2,3.054966219E-2,1.519881282E-2,3.467143327E-2
6.005699997E-2,2.634649351E-2,-8.379640640E-4,3.256765008E-2
7.009399997E-2,2.212150209E-2,-5.139975343E-3,2.933133580E-2
8.010399999E-2,1.575149037E-2,-1.478141360E-2,2.822958492E-2
9.011499997E-2,2.103597485E-2,-2.646971866E-2,3.476129100E-2
1.001240000E-1,3.487221152E-2,-5.091123655E-2,4.360223934E-2
1.101340000E-1,3.262370452E-2,-3.915790841E-2,5.099384487E-2
1.201440000E-1,2.842065878E-2,-3.166359663E-2,4.749237001E-2
1.301530000E-1,3.369907290E-2,-1.668800600E-2,4.962051660E-2
1.401630000E-1,2.738364972E-2,-5.020434503E-3,3.879849613E-2
1.501730000E-1,1.478810515E-2,-8.351864293E-3,2.049231157E-2
1.601820000E-1,1.386442594E-2,-1.693122461E-2,9.836133569E-3
1.701920000E-1,1.080392115E-2,-1.166082639E-2,-4.117764998E-3
1.802020000E-1,-9.356592782E-3,-1.927025057E-2,-1.395547856E-2
1.902110000E-1,-1.368840504E-2,-2.034101263E-2,-8.665740490E-3
2.002210000E-1,-1.274857577E-2,-2.669345215E-2,4.198126029E-3
2.102300000E-1,-3.310685977E-3,-2.659078687E-2,1.927283965E-2
2.202410000E-1,-3.339156276E-3,-2.018399164E-2,2.030681819E-2
2.302510000E-1,-4.418802913E-3,-2.978255600E-2,2.354575507E-2
2.402590000E-1,7.288397290E-3,-4.570547491E-2,3.018042073E-2
2.502690000E-1,1.693133265E-2,-4.140130058E-2,2.600450255E-2
2.602790000E-1,1.054001320E-2,-1.371560898E-2,1.830716804E-2
2.702880000E-1,1.910445653E-2,1.834647701E-4,1.300166361E-2
2.802690000E-1,3.297153860E-2,9.856964462E-3,1.205865946E-2
2.902790000E-1,3.824992478E-2,9.903567843E-3,1.746753976E-2
3.003170000E-1,3.284175694E-2,2.055784315E-2,2.055093274E-2
3.102980000E-1,2.326243185E-2,1.516387332E-2,1.832360588E-2
3.203080000E-1,8.138070814E-3,2.367107198E-2,3.197736666E-2
3.303460000E-1,-6.992525887E-3,2.791301161E-2,4.672686011E-2
3.403270000E-1,-1.556372456E-2,2.041330002E-2,5.093056709E-2
3.503370000E-1,-2.092733048E-2,1.612800919E-2,5.408854410E-2
3.603640000E-1,-2.297018468E-2,6.490173750E-3,4.770212248E-2
3.703560000E-1,-2.706461772E-2,-8.516636677E-3,3.490100056E-2
3.803660000E-1,-4.200122505E-2,-3.266748972E-3,3.254783154E-2
