"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.022078178E-2,1.549947400E-1,1.789028491E-2
1.003599999E-2,-2.687605523E-2,2.253396999E-2,-7.774604112E-3
2.004599996E-2,-3.092711130E-2,2.219650342E-2,-6.168019942E-3
3.002800001E-2,-3.736346134E-2,1.240523803E-2,6.157541548E-2
4.006500001E-2,8.404073322E-2,1.090431807E-1,-7.835201366E-2
5.007499998E-2,8.047395908E-2,1.086443457E-1,-7.517356773E-2
6.005699997E-2,1.002787343E-1,1.623230919E-1,-4.352441666E-2
7.009399997E-2,-4.342447495E-2,1.545159261E-1,1.242247543E-1
8.010399999E-2,-4.620441486E-2,1.542665607E-1,1.258038772E-1
9.011499997E-2,-5.367866852E-2,1.212123693E-1,1.337248261E-1
1.001240000E-1,-5.090919992E-3,1.571065533E-1,2.158163900E-2
1.101340000E-1,-1.022756932E-2,1.566308640E-1,2.475357762E-2
1.201440000E-1,-2.833402876E-2,1.272856530E-1,6.161655156E-2
1.301530000E-1,-8.785776705E-3,2.109790890E-1,4.343281237E-3
1.401630000E-1,-1.294244982E-2,2.105810946E-1,7.243652377E-3
1.501730000E-1,-7.270522160E-3,1.499164423E-1,-9.879241778E-2
1.601820000E-1,-8.437090904E-2,2.300919559E-2,1.856907926E-2
1.701920000E-1,-8.441695587E-2,2.294199829E-2,1.970348592E-2
1.802020000E-1,-6.428705261E-2,2.931799410E-2,3.180032215E-2
1.902110000E-1,-4.392373124E-2,-4.757416624E-2,4.280119831E-2
2.002210000E-1,-4.409758997E-2,-4.750762219E-2,4.148405360E-2
2.102300000E-1,-3.704971482E-2,-6.447639733E-2,5.462261926E-2
2.202410000E-1,-3.127792140E-2,-6.414410646E-2,2.870575636E-2
2.302510000E-1,-3.362125474E-2,-6.423740609E-2,2.808288856E-2
2.402590000E-1,-6.826578593E-2,8.672511684E-2,8.883301067E-2
2.502690000E-1,-7.567093281E-2,1.445630241E-1,2.386429606E-2
2.602790000E-1,-7.780236625E-2,1.443855793E-1,2.488297239E-2
2.702880000E-1,-6.760986081E-2,1.532729543E-1,4.348045290E-2
2.802690000E-1,-6.171407672E-2,5.153574621E-2,8.392910622E-2
2.902790000E-1,-6.325544388E-2,5.123173211E-2,8.768096301E-2
3.003170000E-1,-6.864103556E-3,9.952132802E-2,1.085297769E-1
3.102980000E-1,7.784866889E-2,1.809681633E-1,6.511865915E-2
3.203080000E-1,7.520179882E-2,1.807496602E-1,6.640019980E-2
3.303460000E-1,6.775265164E-2,1.273754260E-1,6.968563150E-2
3.403270000E-1,-1.887299058E-3,1.172765719E-1,8.008334680E-2
3.503370000E-1,-7.090672884E-3,1.171126398E-1,7.822218720E-2
3.603640000E-1,1.316921672E-2,1.029581478E-1,4.461268399E-2
3.703560000E-1,-5.517690789E-2,4.053682750E-2,1.405574712E-1
3.803660000E-1,-5.840169758E-2,4.059140760E-2,1.368896590E-1
3.903730000E-1,-2.175198255E-2,7.546773978E-3,1.204393583E-1
4.003860000E-1,7.639204981E-2,1.939976418E-1,2.018186811E-2
4.103960000E-1,7.210799590E-2,1.941706281E-1,1.395417345E-2
4.204010000E-1,5.307827824E-2,1.691940271E-1,-9.813110682E-2
4.304150000E-1,-1.051918573E-1,2.266145071E-2,-6.969445257E-2
4.404250000E-1,-1.103531488E-1,2.283406234E-2,-7.632710917E-2
4.504300000E-1,-8.685393831E-2,3.506041897E-2,-5.987008874E-2
4.604450000E-1,-8.184266436E-2,-2.094533175E-2,-8.730531595E-2
4.704550000E-1,-8.446610902E-2,-2.077495393E-2,-9.186607107E-2
4.804600000E-1,-7.765740098E-2,-6.875589680E-2,-8.445492622E-2
4.904740000E-1,-7.430191233E-2,4.277568069E-2,-9.853095844E-4
5.004840000E-1,-7.639266194E-2,4.274337026E-2,-2.031939131E-3
5.104880000E-1,-8.587949068E-2,8.395693531E-2,6.218987220E-3
5.205030000E-1,-5.028877265E-2,5.028456540E-2,3.536355827E-2
5.305130000E-1,-5.125255368E-2,5.025383554E-2,3.512302757E-2
5.405160000E-1,-3.707038222E-3,5.778033498E-2,8.898664512E-3
5.505330000E-1,7.106296142E-2,1.882293453E-1,-6.965935558E-2
5.605430000E-1,7.051409060E-2,1.881244974E-1,-6.845392009E-2
5.705760000E-1,-2.339156009E-2,1.556740586E-1,-4.150549186E-2
5.805620000E-1,-1.475488956E-1,7.144156863E-2,1.279943446E-1
5.905720000E-1,-1.485310360E-1,7.122963904E-2,1.305344665E-1
6.005750000E-1,-8.953427455E-2,1.785550722E-1,1.283119855E-2
6.105950000E-1,-2.632181228E-2,1.730307690E-1,1.338171419E-3
6.206050000E-1,-2.640851095E-2,1.727804169E-1,5.204998370E-3
6.306040000E-1,-6.559960634E-2,1.906644000E-1,5.584433558E-2
6.406440000E-1,-4.767052196E-2,1.417651770E-1,3.657779655E-2
6.506540000E-1,-1.712550564E-2,1.369645947E-1,-1.383173138E-2
6.606320000E-1,2.285862522E-2,8.444931655E-2,-4.537881542E-2
6.706730000E-1,4.335057619E-2,9.046597355E-2,-1.241424822E-1
6.806830000E-1,1.473048269E-2,4.373903231E-2,-1.314777137E-1
6.906690000E-1,4.352587104E-3,4.538996167E-2,-1.006856457E-1
7.007010000E-1,2.655773829E-2,4.926381057E-2,-8.645717732E-2
7.107110000E-1,-2.236546511E-2,3.730942142E-3,-4.978049430E-2
7.207200000E-1,-2.447248186E-2,4.192124717E-2,-4.992016509E-2
7.307300000E-1,-6.058615339E-2,2.573720035E-2,-5.331877696E-2
7.407400000E-1,-1.266938325E-1,1.431791680E-3,7.648218601E-3
7.507490000E-1,-1.492450815E-1,3.158592577E-2,9.267224679E-2
7.607280000E-1,-1.508297592E-1,3.131654957E-2,9.595968847E-2
7.707380000E-1,-1.279742997E-1,7.375828116E-2,2.104666445E-2
7.807770000E-1,1.344495862E-2,1.515523197E-1,-6.078233661E-2
7.907670000E-1,-8.645909908E-5,1.381762566E-1,-5.666528466E-2
8.007770000E-1,-1.149463454E-3,1.379839745E-1,-5.417367644E-2
8.108060000E-1,-5.138488348E-2,1.059695552E-1,-5.794270485E-2
8.207850000E-1,-5.411727821E-2,1.057163799E-1,-5.571849254E-2
8.307950000E-1,-6.794568742E-2,9.989501992E-2,-7.114786482E-2
8.408160000E-1,-3.521625183E-2,5.829497219E-2,-1.093639005E-1
8.508150000E-1,-6.161130277E-2,6.888475025E-2,-1.094031590E-1
8.608250000E-1,-7.782349845E-2,1.028209940E-1,-1.060834572E-1
8.708330000E-1,-8.847109543E-2,1.498190040E-1,-1.134878868E-1
8.808540000E-1,-9.010759405E-2,1.496542861E-1,-1.118423433E-1
8.908640000E-1,-9.566590243E-2,7.199675262E-2,-2.691412152E-2
9.008930000E-1,-4.669929944E-2,-1.103230951E-2,5.199541045E-2
9.108840000E-1,-4.833450071E-2,-1.116298221E-2,5.301972386E-2
9.208940000E-1,-1.932140321E-3,1.645273209E-2,5.753651523E-2
9.309230000E-1,8.111376325E-2,1.556283726E-2,-2.792216322E-2
9.409020000E-1,9.195500356E-2,4.690036600E-2,-7.540579355E-2
9.509120000E-1,9.079122492E-2,4.689850677E-2,-7.635601178E-2
9.609510000E-1,-7.154256558E-2,1.218367606E-1,1.841541055E-2
9.709300000E-1,-7.410908212E-2,1.216535600E-1,1.965055949E-2
9.809400000E-1,-8.167398132E-2,7.044616696E-2,8.000943434E-2
9.909790000E-1,-5.475015708E-2,1.398445768E-1,9.208501275E-2
1.000958000E0,-5.644313615E-2,1.397652466E-1,9.213602057E-2
1.010968000E0,4.509093598E-2,1.638766971E-1,8.712838286E-2
1.020979000E0,1.388673289E-2,1.037560278E-1,1.506156528E-2
1.030988000E0,1.155560676E-2,1.035715573E-1,1.656646957E-2
1.040998000E0,-6.278766206E-2,5.511719777E-2,1.425412190E-2
1.051007000E0,-8.351128612E-2,2.072184705E-2,-6.797608609E-3
1.061017000E0,-8.635408360E-2,2.051816523E-2,-5.323969223E-3
1.071027000E0,-9.512249510E-2,4.679215597E-2,2.139925841E-2
1.081036000E0,-3.868043246E-2,-2.468249740E-2,-2.010304490E-2
1.091076000E0,5.508786576E-2,6.495682375E-2,1.710576330E-2
1.101086000E0,5.083380624E-2,6.479339407E-2,1.675045473E-2
1.111065000E0,9.229580487E-2,1.278288959E-1,-5.389931868E-2
1.121105000E0,8.752167206E-2,1.276419037E-1,-5.411216190E-2
1.131115000E0,-7.676270390E-3,1.230901844E-1,-3.651572167E-5
1.141094000E0,-1.503271087E-1,4.582506761E-2,3.476186607E-2
1.151134000E0,-1.553169764E-1,4.551832176E-2,3.672713124E-2
1.161144000E0,-1.113963652E-1,3.632043227E-2,-2.632699254E-2
1.171153000E0,-3.096028511E-2,7.072630798E-2,-1.063623967E-1
1.181163000E0,-3.308548305E-2,7.050431935E-2,-1.037302909E-1
1.191173000E0,-5.184452488E-2,1.165389366E-1,-5.296129738E-2
1.201167000E0,-1.752702892E-1,8.523919316E-2,1.450563098E-2
1.211191000E0,-1.755208058E-1,8.506067949E-2,1.780040224E-2
1.221201000E0,-1.951602145E-1,7.099522508E-2,-1.398646704E-3
1.231193000E0,-1.829967634E-1,6.998229547E-2,6.190213094E-3
1.241214000E0,-1.180268519E-1,8.177998952E-2,-6.599737460E-3
1.251224000E0,-1.183517104E-1,8.165778271E-2,-4.424284589E-3
1.261226000E0,6.741968469E-2,1.063723553E-1,-6.065731126E-2
1.271249000E0,1.480734457E-1,1.034327498E-1,-5.821886702E-2
1.281259000E0,1.182150957E-1,1.028540765E-1,-3.954515800E-2
1.291243000E0,2.726505039E-2,6.314673592E-2,-7.903437002E-3
1.301278000E0,-5.331130806E-2,3.320287504E-2,4.690566504E-2
1.311288000E0,-5.586882994E-2,3.301815785E-2,4.857151394E-2
1.321271000E0,-1.422801614E-1,1.348509176E-1,4.512935401E-2
1.331308000E0,-1.182857009E-1,8.428883789E-2,1.170729861E-2
1.341318000E0,-7.744879243E-2,1.026793178E-1,2.768564792E-2
1.351314000E0,-8.863024933E-2,1.026271223E-1,5.565215405E-2
1.361337000E0,-8.890992897E-2,4.371165090E-2,3.328332451E-2
1.371347000E0,-9.043716688E-2,4.361655142E-2,3.397990833E-2
1.381343000E0,-8.254794706E-3,9.322196729E-2,-7.816489933E-3
1.391353000E0,1.887483154E-2,1.219669617E-1,-2.403325090E-2
1.401363000E0,1.808279078E-2,1.219347472E-1,-2.401324246E-2
1.411372000E0,-9.015713093E-2,1.095253384E-1,4.804171166E-3
1.421364000E0,-9.167840285E-2,1.353154698E-1,-7.065352842E-3
1.431374000E0,-6.614930400E-2,1.007341228E-1,-1.175862620E-2
1.441402000E0,-1.975046236E-2,1.302130706E-1,-1.404369409E-2
1.451392000E0,3.206280732E-2,1.207004730E-1,-6.598978008E-2
1.461402000E0,2.897412072E-2,1.207147713E-1,-6.868040377E-2
1.471425000E0,-3.877689553E-3,6.703569507E-3,-1.339545669E-1
1.481421000E0,-1.331895135E-1,8.594549912E-3,-8.819026463E-2
1.491431000E0,-1.308157815E-1,-3.428293629E-3,-3.926860297E-2
1.501460000E0,-9.968014388E-2,7.871054848E-2,-2.792192340E-2
1.511451000E0,-1.003289656E-1,7.877634793E-2,-2.973860077E-2
1.521461000E0,-9.729093502E-2,1.243212791E-1,1.913344978E-2
1.531490000E0,-1.164996414E-1,1.760080068E-1,1.005903818E-1
1.541499000E0,-6.705614319E-2,1.907378922E-1,1.135539878E-1
1.551509000E0,-6.689957942E-2,1.909510780E-1,1.095412812E-1
1.561518000E0,1.907688253E-2,1.370407182E-1,-1.116134111E-3
