"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-4.673281860E-1,9.934690704E0,1.708696747E0
1.005400001E-2,-3.944297791E-1,1.012419662E1,1.807640991E0
2.011099999E-2,-5.930667114E-1,1.004231689E1,1.819915466E0
3.018000000E-2,-7.072792053E-1,1.014530273E1,1.864373016E0
4.025200004E-2,-7.026388550E-1,1.003243744E1,1.929637299E0
5.029300001E-2,-6.857240295E-1,9.866881714E0,1.894310760E0
6.036500004E-2,-6.863227844E-1,9.644893341E0,1.968706055E0
7.042200002E-2,-7.711962891E-1,9.463171234E0,2.017654266E0
8.044699999E-2,-8.342152405E-1,9.452693024E0,2.110161896E0
9.053500002E-2,-8.634045410E-1,9.513466644E0,2.219135284E0
1.005610000E-1,-1.023272095E0,9.404343567E0,2.187850342E0
1.106470000E-1,-9.487271118E-1,9.357191620E0,2.155517578E0
1.206940000E-1,-7.825726318E-1,9.574389954E0,2.079924774E0
1.307320000E-1,-6.860234070E-1,9.606423340E0,2.110161896E0
1.408180000E-1,-7.731422424E-1,9.618548126E0,2.180964661E0
1.508690000E-1,-7.214996338E-1,9.622589722E0,2.077978821E0
1.609330000E-1,-5.891748047E-1,9.548344116E0,1.956281891E0
1.709910000E-1,-5.331912231E-1,9.686955872E0,1.928888855E0
1.810410000E-1,-6.059399414E-1,9.734107819E0,2.081870728E0
1.911010000E-1,-7.607180786E-1,9.832902374E0,2.394420776E0
2.011610000E-1,-8.708889771E-1,1.006432114E1,2.422861633E0
2.112130000E-1,-8.161029053E-1,1.028151947E1,2.266736298E0
2.212750000E-1,-7.039860535E-1,1.036040543E1,2.176773376E0
2.313310000E-1,-6.312373352E-1,1.022897873E1,2.142794037E0
2.413850000E-1,-6.357279968E-1,9.817035370E0,2.115251312E0
2.514440000E-1,-5.245092773E-1,9.360933838E0,1.970652008E0
2.614710000E-1,-4.351451111E-1,9.161698151E0,1.721420288E0
2.715480000E-1,-4.297563171E-1,9.074878693E0,1.578317871E0
2.816150000E-1,-5.686674500E-1,9.171727295E0,1.564995575E0
2.916670000E-1,-6.191125488E-1,9.395511932E0,1.754202118E0
3.017240000E-1,-6.330335999E-1,9.518106995E0,1.801204376E0
3.117540000E-1,-6.426136780E-1,9.627080383E0,1.887874146E0
3.218100000E-1,-6.448590088E-1,9.530680847E0,1.948947144E0
3.318790000E-1,-6.668632507E-1,9.415719910E0,1.950743408E0
3.419500000E-1,-6.469546509E-1,9.436526642E0,1.914069672E0
3.520110000E-1,-5.526507568E-1,9.583071899E0,1.894610138E0
3.620460000E-1,-5.574407959E-1,9.602830811E0,1.824705505E0
3.720930000E-1,-5.670208740E-1,9.703421631E0,1.872605896E0
3.821780000E-1,-5.827381897E-1,9.751771088E0,1.917362823E0
3.922240000E-1,-5.490582275E-1,9.728868713E0,2.005080414E0
4.022930000E-1,-5.254074097E-1,9.842482452E0,1.947150879E0
4.123180000E-1,-4.248165894E-1,9.787097626E0,1.841919708E0
4.223830000E-1,-3.031196594E-1,9.787397003E0,1.806892548E0
4.324610000E-1,-2.186952209E-1,9.889335022E0,1.769769745E0
4.425150000E-1,-1.260379028E-1,9.893376617E0,1.723515930E0
4.525590000E-1,-1.191522217E-1,9.818981323E0,1.656605072E0
4.626010000E-1,-2.152523804E-1,9.767338715E0,1.710343323E0
4.726590000E-1,-3.115022278E-1,9.723180542E0,1.762285309E0
4.827380000E-1,-3.698808289E-1,9.577533417E0,1.786534882E0
4.927990000E-1,-4.623884583E-1,9.646839294E0,1.874252472E0
5.028580000E-1,-5.568420410E-1,9.615254974E0,2.016157379E0
5.128920000E-1,-4.776567078E-1,9.637408905E0,1.828747101E0
5.229390000E-1,-2.866539001E-1,9.796078949E0,2.071991272E0
5.330240000E-1,-4.209246826E-1,9.726324005E0,1.425635376E0
5.430740000E-1,-1.933978271E-1,9.703271942E0,1.727258148E0
5.531040000E-1,-3.676354980E-1,9.998907166E0,1.720821533E0
5.631910000E-1,-4.935237122E-1,9.513616333E0,1.753902740E0
5.732240000E-1,-5.240602112E-1,9.877659302E0,1.907932434E0
5.833030000E-1,-5.186714172E-1,9.814790039E0,2.041005707E0
