"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,6.557605416E-2,1.386876255E-1,8.638987690E-2
9.993999964E-3,7.509087026E-2,1.878281534E-1,8.736060560E-2
2.000399999E-2,9.542703629E-2,2.060457617E-1,7.898256928E-2
2.999499999E-2,1.156916618E-1,2.477412522E-1,7.047922909E-2
4.002000001E-2,9.019433707E-2,2.880871892E-1,4.965517670E-2
5.002999998E-2,4.013010114E-2,2.941861153E-1,3.723472729E-2
6.005099998E-2,3.569975868E-2,2.430312783E-1,6.307271868E-2
7.003999996E-2,9.608579427E-2,1.069971770E-1,1.328757107E-1
8.004999999E-2,1.831280291E-1,-1.607761346E-2,2.072444856E-1
9.004699998E-2,2.095346898E-1,-3.610859811E-2,2.375946790E-1
1.000710000E-1,1.592987329E-1,4.361858219E-2,2.237385213E-1
1.100810000E-1,6.752780080E-2,1.678798050E-1,1.899014562E-1
1.200720000E-1,1.274732407E-3,2.720387876E-1,1.671551913E-1
1.300980000E-1,-1.705389656E-2,3.242480755E-1,1.709360778E-1
1.401080000E-1,-1.639103517E-2,3.425067067E-1,2.029049397E-1
1.500990000E-1,3.047095425E-2,2.788125873E-1,2.283822745E-1
1.601230000E-1,1.033209711E-1,1.362313330E-1,2.396333218E-1
1.701330000E-1,1.666165888E-1,2.450532466E-2,2.388575524E-1
1.801550000E-1,1.839309484E-1,1.812517084E-2,2.198793441E-1
1.901500000E-1,1.434490830E-1,5.626612529E-2,1.988224238E-1
2.001600000E-1,9.991998225E-2,9.221480042E-2,1.681750268E-1
2.101810000E-1,5.189795047E-2,1.644647419E-1,1.490423530E-1
2.201690000E-1,1.847558841E-2,2.560943961E-1,1.567088068E-1
2.301790000E-1,4.332336597E-3,3.040872216E-1,1.691108793E-1
2.401760000E-1,-2.193352906E-3,3.200752139E-1,1.710327417E-1
2.502020000E-1,-4.162183031E-3,2.677636743E-1,1.680619866E-1
2.602120000E-1,1.096616872E-2,2.048739344E-1,1.664299965E-1
2.702030000E-1,3.970976546E-2,1.602503657E-1,1.776425987E-1
2.802270000E-1,6.425403059E-2,1.411894560E-1,1.833918393E-1
2.902370000E-1,6.221192703E-2,1.614089757E-1,1.704451442E-1
3.002290000E-1,4.737528041E-2,1.890203506E-1,1.540936083E-1
3.102540000E-1,3.903251141E-2,1.974368840E-1,1.325806379E-1
3.202640000E-1,3.836967424E-2,1.695816219E-1,1.027961150E-1
3.302860000E-1,2.498016506E-2,1.267046630E-1,6.865039468E-2
3.402790000E-1,7.261402905E-3,7.849197090E-2,4.088614881E-2
3.502890000E-1,-2.106947592E-3,4.210717604E-2,2.489438094E-2
3.603130000E-1,-3.196810558E-2,6.220011041E-2,1.693552919E-2
3.703180000E-1,-6.828718632E-2,5.988328159E-2,1.862077974E-2
3.803280000E-1,-3.008038737E-2,4.629403725E-2,4.267924652E-2
3.903070000E-1,2.295209840E-2,3.175068647E-2,7.326295972E-2
4.003420000E-1,9.916328825E-3,5.517808720E-2,7.830578089E-2
4.103520000E-1,6.653396785E-2,2.884363011E-2,8.871465176E-2
4.203340000E-1,2.175477520E-2,6.590978056E-2,7.407125831E-2
4.303480000E-1,2.866657637E-2,1.674398966E-2,4.017371684E-2
4.403580000E-1,3.192641214E-2,5.726462975E-2,2.284366265E-2
4.503910000E-1,-1.686942764E-2,5.157148466E-2,-9.876832366E-3
4.603740000E-1,-3.133579390E-3,8.259221166E-2,-1.206085272E-2
4.703840000E-1,5.443759263E-2,2.000825293E-2,1.035071444E-2
4.804170000E-1,1.361908466E-1,7.389616966E-2,3.997146338E-2
4.904010000E-1,1.097204015E-1,6.195840612E-2,2.259940095E-2
5.004110000E-1,9.169398993E-2,9.167269617E-2,3.004807979E-3
5.104130000E-1,1.111037135E-1,8.211719990E-2,-1.165748574E-2
5.204310000E-1,1.229279339E-1,5.976167694E-2,-1.353261434E-2
5.304410000E-1,1.186346412E-1,5.441484973E-2,-1.035572868E-2
5.404380000E-1,7.169102877E-2,7.228849828E-2,-1.963806711E-2
5.504620000E-1,1.143882424E-1,5.225559324E-2,-1.365260687E-2
5.604720000E-1,1.014631167E-1,6.395298988E-2,-6.396824494E-3
5.704660000E-1,5.147085339E-2,1.084165275E-1,-3.396373242E-2
5.804970000E-1,5.607047305E-2,3.902724385E-2,-4.744970798E-2
5.905070000E-1,1.002467275E-1,5.086073279E-2,-8.540641516E-2
6.004910000E-1,9.310641140E-2,-5.061382055E-2,-9.666148573E-2
6.105190000E-1,6.111525744E-2,-5.185972899E-2,-1.002682000E-1
6.205290000E-1,2.588909306E-2,-6.910715997E-2,-9.742660820E-2
6.305170000E-1,2.567610890E-2,-6.051029265E-2,-8.037810773E-2
6.405480000E-1,2.632705495E-2,-4.224774614E-2,-4.734105989E-2
6.505580000E-1,7.064019144E-2,-5.571029335E-2,3.503745887E-3
6.605740000E-1,4.686689004E-2,-2.873213380E-4,1.350448467E-2
6.705550000E-1,-3.399670823E-3,5.812344328E-2,7.232213859E-3
6.805650000E-1,1.359502319E-2,5.504136905E-2,1.601105742E-2
6.905700000E-1,1.200376749E-1,3.650814295E-2,5.057916418E-2
7.006070000E-1,6.789625436E-2,1.379986294E-2,4.254771397E-2
7.106170000E-1,2.430056781E-2,3.803995624E-2,2.050446533E-2
7.205960000E-1,3.624733537E-2,1.458014827E-2,7.952728309E-3
7.306360000E-1,3.839868680E-2,-1.408011303E-3,1.019618008E-2
7.406460000E-1,1.907292195E-2,-1.475126133E-3,1.956544630E-2
7.506250000E-1,1.790290512E-2,-5.714873783E-3,2.918256447E-2
7.606350000E-1,2.322660759E-2,-1.421262976E-2,3.249767050E-2
7.706450000E-1,1.580757648E-2,-2.173286490E-2,2.923529968E-2
7.806790000E-1,6.319867447E-3,-2.715221420E-2,1.952595264E-2
7.906640000E-1,-1.391203143E-2,-1.236106362E-2,6.350689568E-3
8.006740000E-1,-2.669733390E-2,-3.906063037E-3,1.872317283E-3
8.106750000E-1,-2.461174317E-2,-1.243205741E-2,1.928129932E-3
8.206830000E-1,-2.886975370E-2,-1.992720924E-2,1.927320147E-3
8.306930000E-1,-3.311775997E-2,-3.381852433E-2,3.010427812E-3
8.407320000E-1,-1.726168767E-2,-4.757272825E-2,1.068914589E-2
8.507230000E-1,-2.495033434E-3,-3.892028704E-2,2.041926235E-2
8.607330000E-1,6.014240789E-4,-2.500846982E-2,2.679993026E-2
8.707270000E-1,3.844186896E-3,-2.821245603E-2,2.151456103E-2
8.807520000E-1,1.135018189E-2,-3.779388219E-2,1.738552749E-2
8.907620000E-1,1.663655788E-2,-4.094866291E-2,2.281038649E-2
9.007620000E-1,1.552085672E-2,-3.988771886E-2,2.278579026E-2
9.107810000E-1,1.024846174E-2,-2.714044414E-2,1.302060578E-2
9.207910000E-1,7.513628225E-4,-1.442997344E-2,1.612373308E-5
9.307810000E-1,1.846640720E-3,5.002105027E-4,-7.587284315E-3
9.408020000E-1,2.815950662E-3,2.398846298E-2,-7.732070517E-3
9.508120000E-1,3.823690116E-3,3.360939771E-2,-4.561843816E-3
9.608360000E-1,9.151617996E-3,1.551843807E-2,9.193762089E-4
9.708340000E-1,1.127286721E-2,-1.112949848E-2,5.321756471E-3
9.808440000E-1,9.180155583E-3,-2.821474150E-2,5.379813723E-3
9.908590000E-1,-4.634194076E-3,-3.257626295E-2,-2.291606739E-3
1.000869000E0,-1.529769320E-2,-2.304820530E-2,-9.996431880E-3
1.010879000E0,-1.850498468E-2,-2.093918249E-2,-1.327586453E-2
1.020869000E0,-1.851532795E-2,-2.199990861E-2,-1.221702620E-2
1.030884000E0,-1.511500869E-2,-2.000352181E-2,-7.882460020E-3
1.040894000E0,-1.094666868E-2,-1.141684595E-2,-3.990364785E-4
1.050915000E0,-3.586341394E-3,-1.240707841E-2,1.038264949E-2
1.060925000E0,-3.580588964E-4,-2.732637152E-2,1.156615838E-2
1.070935000E0,3.948893398E-3,-3.691171855E-2,1.060039084E-2
1.080942000E0,6.171273533E-3,-2.626153082E-2,9.557003505E-4
1.090920000E0,2.055092016E-3,-1.140375435E-2,-1.626429893E-2
1.100930000E0,3.171594115E-3,3.516324097E-3,-2.380556799E-2
1.110968000E0,5.293802824E-3,1.206231583E-2,-2.489783429E-2
1.120946000E0,3.107878845E-3,2.272987925E-2,-2.284187451E-2
1.130956000E0,-1.245480147E-3,2.912884764E-2,-1.758737303E-2
1.140964000E0,-3.415016690E-3,1.953261159E-2,-1.222686470E-2
1.150971000E0,5.061026663E-3,2.536852844E-3,-2.419241471E-3
1.160981000E0,1.459784806E-2,-1.018409338E-2,7.378528360E-3
1.170990000E0,1.146967616E-2,-1.448131725E-2,3.073931905E-3
1.181029000E0,1.058177557E-2,-2.413953841E-2,-1.077823434E-2
1.191039000E0,1.706357859E-2,-2.626126818E-2,-1.710244082E-2
1.201046000E0,9.570358321E-3,-8.166625164E-3,-2.051657252E-2
1.211055000E0,-2.208538586E-3,1.524122525E-2,-2.291954309E-2
1.221065000E0,-1.090186182E-2,2.590687573E-2,-1.241063233E-2
1.231074000E0,-1.318085473E-2,1.954214461E-2,1.476298319E-3
1.241052000E0,-1.641979069E-2,9.939850308E-3,6.824458949E-3
1.251062000E0,-2.387372963E-2,2.431476954E-3,6.764077581E-3
1.261100000E0,-3.983323276E-2,-4.065935966E-3,3.387173405E-3
1.271077000E0,-5.367021635E-2,-1.161599718E-2,1.111502410E-3
1.281087000E0,-4.833681881E-2,-2.545015141E-2,4.457066767E-3
1.291096000E0,-3.666585311E-2,-3.070060536E-2,1.212512422E-2
1.301103000E0,-3.143008053E-2,-3.277334198E-2,2.181743272E-2
1.311113000E0,-3.246163204E-2,-3.492129222E-2,1.968470402E-2
1.321122000E0,-2.818992920E-2,-3.702906519E-2,2.081863396E-2
1.331160000E0,-1.746937446E-2,-4.018571228E-2,1.776585355E-2
1.341170000E0,-1.742669009E-2,-2.527086250E-2,1.020719670E-2
1.351148000E0,-2.068050206E-2,3.124814830E-4,6.828031503E-3
1.361156000E0,-1.962748915E-2,2.058233321E-2,3.535831347E-3
1.371166000E0,-2.271418646E-2,1.626274735E-2,-6.092498545E-3
1.381179000E0,-1.739357039E-2,6.696700584E-3,-2.766297432E-3
1.391213000E0,-1.449225121E-3,-8.125656284E-3,7.125748321E-3
1.401223000E0,2.717243508E-3,-5.939151160E-3,1.571503468E-2
1.411209000E0,-2.661664737E-3,4.431219131E-4,1.775243878E-2
1.421239000E0,-4.957157653E-4,-7.019323763E-3,1.674869284E-2
1.431249000E0,3.827676876E-3,-1.447765343E-2,1.363411173E-2
1.441237000E0,-3.600822296E-3,-4.935456440E-3,7.084913552E-3
1.451235000E0,-1.316982508E-2,7.797380909E-3,4.895954626E-4
1.461245000E0,-1.734146290E-2,1.200905908E-2,-9.192959405E-3
1.471282000E0,-1.937542297E-2,1.301814336E-3,-1.556016319E-2
1.481292000E0,-1.510078367E-2,-1.467155945E-2,-1.222135779E-2
1.491302000E0,-5.616348702E-3,-1.884870790E-2,-3.274726332E-4
1.501297000E0,3.875019960E-3,-1.450044569E-2,8.320045657E-3
1.511318000E0,1.446241606E-2,-2.188086323E-2,1.810689829E-2
1.521328000E0,1.767740771E-2,-2.293433249E-2,1.708170027E-2
1.531308000E0,7.074901834E-3,-9.150178172E-3,7.258532569E-3
1.541314000E0,-7.743192837E-3,-8.202360012E-3,-4.687075969E-3
1.551324000E0,-1.514802966E-2,-6.132570095E-3,-1.227580570E-2
1.561355000E0,-9.883294813E-3,-7.535741315E-4,-7.966564037E-3
1.571340000E0,-7.762515917E-3,-3.940325230E-3,-6.854901556E-3
1.581350000E0,-1.628898084E-2,-7.190925535E-3,-8.012261242E-3
1.591384000E0,-1.745616831E-2,-1.143202558E-2,1.612563501E-3
1.601394000E0,4.801604431E-3,-1.553133968E-2,1.687609591E-2
1.611404000E0,2.178082988E-2,-1.221157145E-2,2.562877163E-2
1.621405000E0,2.281394601E-2,-1.532003051E-3,2.666479722E-2
1.631393000E0,2.282078005E-2,6.996431388E-3,2.449425496E-2
1.641403000E0,2.396982722E-2,-4.879655316E-4,1.921345294E-2
1.651430000E0,1.659116708E-2,-1.015451271E-2,1.276268996E-2
1.661450000E0,1.236337889E-2,-5.927098449E-3,7.346402854E-3
1.671460000E0,1.688149758E-3,6.811426487E-3,3.941392526E-3
1.681453000E0,-3.607594641E-3,8.903057314E-3,-4.107085406E-4
1.691476000E0,-2.555086510E-3,6.782136858E-3,1.749987016E-3
1.701486000E0,-5.710133817E-3,6.750449538E-3,-2.563535003E-3
1.711471000E0,-1.634946279E-2,1.094812155E-2,-6.993437186E-3
1.721502000E0,-2.165228873E-2,5.580618046E-3,-8.097792976E-3
1.731512000E0,-1.732445508E-2,-1.040850580E-2,-9.025538340E-3
1.741508000E0,-8.833861910E-3,-2.527853101E-2,-1.358819311E-3
1.751510000E0,-3.610666317E-4,-3.054786101E-2,5.189491436E-3
1.761520000E0,-2.542007249E-3,-1.135524549E-2,4.001372959E-3
1.771540000E0,-4.092731106E-4,2.516968874E-3,7.573390030E-4
1.781525000E0,3.909716383E-3,-1.026997063E-2,-1.905403915E-4
1.791535000E0,1.989526115E-2,-2.190572955E-2,5.412626080E-3
1.801545000E0,2.836246975E-2,-1.010734588E-2,9.734932333E-3
1.811551000E0,1.129380614E-2,8.992876858E-3,4.082018044E-3
1.821561000E0,6.475680275E-4,9.993446060E-3,7.329107611E-4
1.831577000E0,-2.651897259E-3,3.607636318E-3,1.033664960E-2
1.841608000E0,1.443764777E-3,-9.112488478E-3,2.861661464E-2
