"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-4.974541009E-1,-3.012204290E-1,4.979502737E-1
9.993999964E-3,-2.403074071E-1,-5.357323591E-2,4.603427002E-1
2.000399999E-2,-2.447282310E-1,-5.541392113E-2,4.699608949E-1
2.999499999E-2,-2.510753471E-1,-3.124794985E-2,3.992235457E-1
4.002000001E-2,-1.194250491E-1,-1.074532314E-1,2.886450233E-1
5.002999998E-2,-1.182734583E-1,-1.085007144E-1,2.950474320E-1
6.005099998E-2,-1.357962114E-1,7.647342204E-2,4.250174778E-1
7.003999996E-2,-2.710656800E-1,1.869545061E-1,6.762733942E-1
8.004999999E-2,-2.892824611E-1,1.832490525E-1,6.920578797E-1
9.004699998E-2,-3.677455719E-1,6.272643714E-1,5.843470145E-1
1.000710000E-1,-2.774594276E-1,7.022017025E-1,5.114578900E-1
1.100810000E-1,-2.944062483E-1,6.998392081E-1,5.209337050E-1
1.200720000E-1,-2.213388385E-1,1.620329238E-1,4.284468697E-1
1.300980000E-1,-1.210548874E-1,-2.945227541E-1,2.837962379E-1
1.401080000E-1,-1.340819722E-1,-2.949838801E-1,2.833702683E-1
1.500990000E-1,-4.994561418E-2,-5.820437597E-1,-1.056335779E-1
1.601230000E-1,-2.089626767E-1,-4.875164290E-1,-1.100336716E-1
1.701330000E-1,-2.313773749E-1,-4.908937807E-1,-9.515183168E-2
1.801550000E-1,-3.174436567E-1,-1.482840094E-1,1.588317377E-1
1.901500000E-1,-3.178322042E-1,-3.798317255E-2,2.394920859E-1
2.001600000E-1,-3.335040212E-1,-4.035006835E-2,2.503944753E-1
2.101810000E-1,-3.701213687E-1,-2.532388899E-1,3.200135080E-1
2.201690000E-1,-3.613308474E-1,-2.332974909E-1,2.864885701E-1
2.301790000E-1,-3.726731301E-1,-2.338877673E-1,2.880454644E-1
2.401760000E-1,-2.723159061E-1,-6.374382343E-2,1.778483083E-1
2.502020000E-1,-2.935592060E-1,3.643496918E-2,2.261892866E-1
