"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.275268555E-1,9.921368408E0,7.828720093E-2
1.004100003E-2,-2.281256104E-1,9.871671753E0,8.128097534E-2
2.011099999E-2,-2.369572449E-1,9.935139771E0,2.694396973E-2
3.018200002E-2,-1.938468933E-1,9.874964905E0,-1.025367737E-1
4.023500002E-2,-1.895059204E-1,9.834099884E0,-1.240919495E-1
5.027300003E-2,-2.869532776E-1,9.835896149E0,-1.778302002E-1
6.036400003E-2,-2.664459229E-1,9.904303894E0,-2.026785278E-1
7.040500001E-2,-2.261796570E-1,9.886640625E0,-2.454895020E-2
8.048400003E-2,-2.201921082E-1,9.948462067E0,9.430389404E-3
9.054300003E-2,-1.920506287E-1,9.939031677E0,-6.885681152E-3
1.006040000E-1,-2.125579834E-1,9.938732300E0,1.152603149E-2
1.106660000E-1,-2.125579834E-1,9.896520081E0,-3.637435913E-2
1.207240000E-1,-2.245330811E-1,9.882898407E0,-5.748046875E-2
1.307850000E-1,-2.359094238E-1,9.900711365E0,-1.333726501E-1
1.408420000E-1,-2.718347168E-1,9.926757202E0,-8.487350464E-2
1.508860000E-1,-2.767744446E-1,9.979447632E0,-6.750961304E-2
1.609600000E-1,-2.418969727E-1,9.975256348E0,-2.080673218E-2
1.709890000E-1,-2.981799316E-1,1.000040405E1,-1.496887207E-2
1.810750000E-1,-3.046165466E-1,1.000414627E1,-4.685256958E-2
1.911380000E-1,-2.197430420E-1,9.973609772E0,3.068618774E-2
2.012000000E-1,-2.371069336E-1,9.940378876E0,2.005828857E-2
2.112560000E-1,-2.586621094E-1,9.966574402E0,-1.481918335E-2
2.212910000E-1,-2.553689575E-1,9.952054596E0,-7.439529419E-2
2.313810000E-1,-2.139051819E-1,9.962832184E0,-7.259902954E-2
2.414390000E-1,-1.977388000E-1,9.892927551E0,-6.406677246E-2
2.515030000E-1,-2.112107849E-1,9.875413971E0,-6.526428223E-2
2.615360000E-1,-2.068698120E-1,9.890682220E0,-3.248245239E-2
2.716030000E-1,-2.254312134E-1,9.882599030E0,-3.038681030E-2
2.816850000E-1,-2.357597351E-1,9.893526306E0,-8.532257080E-2
2.917460000E-1,-2.125579834E-1,9.864337006E0,-8.562194824E-2
3.017860000E-1,-2.956352234E-1,9.917925568E0,-1.622625732E-1
3.118700000E-1,-2.939886475E-1,9.959389343E0,-2.037263489E-1
3.219280000E-1,-2.784210205E-1,9.979297943E0,-5.343887329E-2
3.319850000E-1,-2.462379456E-1,9.942025452E0,-4.281097412E-2
3.420520000E-1,-2.412982178E-1,9.912536774E0,6.286926270E-3
3.521140000E-1,-2.680924988E-1,9.963730316E0,1.646575928E-2
3.621670000E-1,-3.290158081E-1,9.982291718E0,2.948867798E-2
3.722360000E-1,-2.722837830E-1,9.917925568E0,-4.206253052E-2
3.822980000E-1,-2.490820312E-1,9.897867279E0,-2.454895020E-2
3.923490000E-1,-3.122506714E-1,9.933343506E0,-1.088237000E-1
4.024190000E-1,-2.290237427E-1,9.892029419E0,-7.454498291E-2
4.124780000E-1,-2.727328491E-1,1.001642075E1,-7.634124756E-3
4.225300000E-1,-2.776725769E-1,9.932894440E0,-3.697311401E-2
4.325930000E-1,-3.061134338E-1,9.985884247E0,-2.993774414E-2
4.426590000E-1,-2.936892700E-1,9.920919342E0,-4.879852295E-2
4.527130000E-1,-2.826123047E-1,9.931846619E0,-1.196012878E-1
4.627760000E-1,-2.945874023E-1,9.950557709E0,-1.441502380E-1
4.728400000E-1,-2.442919922E-1,9.956096191E0,-9.804611206E-2
4.829020000E-1,-2.052232361E-1,9.917476501E0,-8.053253174E-2
4.929560000E-1,-2.414479065E-1,9.957443390E0,-5.089416504E-2
5.029950000E-1,-2.228865051E-1,9.921518097E0,-7.649093628E-2
5.130620000E-1,-2.487826538E-1,9.928553467E0,-8.158035278E-2
5.231290000E-1,-2.577639771E-1,9.926906891E0,-3.652404785E-2
5.332190000E-1,-3.129991150E-1,9.953850861E0,-8.457412720E-2
5.432500000E-1,-3.061134338E-1,1.005040009E1,-1.871109009E-2
5.533120000E-1,-2.698887634E-1,9.960886230E0,-2.814147949E-2
5.634020000E-1,-2.782713318E-1,9.979297943E0,-8.307723999E-2
5.734640000E-1,-2.857557678E-1,9.988578644E0,-5.508544922E-2
5.835250000E-1,-2.579136658E-1,9.946067047E0,-1.040336609E-1
5.935850000E-1,-2.984793091E-1,9.968969421E0,-7.259902954E-2
6.036160000E-1,-2.853067017E-1,1.000354752E1,-1.402583313E-1
6.137070000E-1,-2.996768188E-1,9.972861328E0,-1.143621826E-1
6.237680000E-1,-2.439926147E-1,9.930649109E0,-1.065783691E-1
6.338290000E-1,-2.242337036E-1,9.906698914E0,-1.636097717E-1
6.438890000E-1,-2.426454163E-1,9.859846344E0,-2.044747925E-1
6.539510000E-1,-2.948867798E-1,9.921667786E0,-2.122586060E-1
