"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,7.332563400E-4,1.418545842E-2,-3.988054115E-3
1.002200000E-2,-2.485850593E-3,2.590351924E-2,-5.155737046E-3
2.003200003E-2,-2.487182384E-3,2.163873240E-2,-4.066237714E-3
3.005200002E-2,6.329395110E-4,1.741707884E-2,4.539508838E-3
4.005200003E-2,-4.750695080E-3,1.207232662E-2,9.839963168E-3
5.006199999E-2,3.730674041E-3,1.213570870E-2,1.528958976E-2
6.004400004E-2,1.762306318E-2,7.940138690E-3,1.548723597E-2
7.008100004E-2,1.977131888E-2,1.552685862E-3,1.661285572E-2
8.009100001E-2,8.027045056E-3,-8.105531335E-3,1.864777692E-2
9.009700001E-2,-2.500492148E-3,-1.244778652E-2,1.216682512E-2
1.000800000E-1,-4.547107033E-3,-1.781671681E-2,5.757649429E-3
1.100900000E-1,-6.593213417E-3,-1.998825930E-2,-1.736219856E-3
1.200890000E-1,-8.687566966E-3,-1.148081943E-2,-7.146242075E-3
1.301090000E-1,-8.620139211E-3,-1.256628986E-2,-1.248237398E-2
1.401190000E-1,-1.075013541E-2,-5.115031265E-3,-1.468320936E-2
1.501420000E-1,-7.519443985E-3,2.265080839E-4,-1.787297428E-2
1.601380000E-1,-5.380706862E-3,-6.157173775E-3,-1.568079181E-2
1.701480000E-1,-1.177868526E-2,-9.392115287E-3,-1.574630477E-2
1.801330000E-1,-1.392686740E-2,-2.219367400E-2,-1.143910922E-2
1.901560000E-1,-7.925607497E-5,-1.784474775E-2,-9.147817269E-3
2.001660000E-1,1.586642116E-2,-1.880561560E-2,-2.529595513E-3
2.101860000E-1,2.440912463E-2,-1.982784830E-2,-2.417294541E-3
2.201780000E-1,3.074746020E-2,-1.764127426E-2,2.988715656E-3
2.301880000E-1,3.715742379E-2,4.783342127E-3,-2.382613719E-3
2.402080000E-1,3.930852190E-2,3.723883070E-3,-3.418548265E-3
2.501880000E-1,3.716697544E-2,9.048700333E-3,-3.477264196E-3
2.601980000E-1,2.552652918E-2,2.558471402E-3,-1.107051596E-2
2.702310000E-1,2.443207428E-2,-1.704365830E-3,-7.859733887E-3
2.802380000E-1,3.192225471E-2,-8.067792282E-3,-7.734708488E-3
2.902480000E-1,4.143381491E-2,-2.655668650E-3,-1.657497633E-4
3.002450000E-1,4.140027240E-2,1.121715177E-2,-2.380553924E-4
3.102290000E-1,2.854569070E-2,2.609392442E-2,5.904592690E-4
3.202390000E-1,1.894496195E-2,2.604385652E-2,4.652269999E-4
3.302750000E-1,1.999393292E-2,3.032192402E-2,1.527083572E-3
3.402820000E-1,2.744442597E-2,3.570070863E-2,2.668543253E-3
3.502920000E-1,4.556727037E-2,2.727372013E-2,7.216270082E-3
3.602890000E-1,4.670675099E-2,2.299232595E-2,1.913173823E-3
3.702820000E-1,3.180054203E-2,1.650401950E-2,-3.808779875E-4
3.802920000E-1,1.368017402E-2,1.746485569E-2,-3.822022351E-3
3.903170000E-1,1.259897463E-2,8.933546022E-3,-5.939914263E-4
4.002960000E-1,1.896726526E-2,2.579258522E-3,3.787593916E-3
4.103060000E-1,2.427958511E-2,1.114418637E-2,3.811758012E-3
