"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-4.672676308E-2,1.196451968E-1,-1.622072074E-1
1.002200000E-2,-1.491868994E-2,1.681056228E-1,-8.695388915E-2
2.003200003E-2,-1.439778068E-2,1.681193272E-1,-8.719682269E-2
3.005200002E-2,-6.413928707E-2,1.933670562E-1,-7.285195359E-2
4.005200003E-2,1.177556827E-2,1.665000870E-1,-2.497936008E-2
5.006199999E-2,1.044331902E-2,1.664685486E-1,-2.495020623E-2
6.004400004E-2,-8.050886194E-3,1.331863432E-1,-3.101013491E-2
7.008100004E-2,-2.604784510E-2,1.448138148E-1,-1.136401154E-1
8.009100001E-2,-2.783218691E-2,1.447675487E-1,-1.124452826E-1
9.009700001E-2,1.089274835E-2,1.554538012E-1,-1.025189305E-1
1.000800000E-1,1.183069199E-2,6.797849121E-2,-8.896771590E-2
1.100900000E-1,1.183902884E-2,6.798038242E-2,-8.966136013E-2
1.200890000E-1,1.558073751E-2,8.322805247E-2,-5.389513884E-2
1.301090000E-1,-1.146556192E-2,8.610306446E-2,-1.008651461E-1
1.401190000E-1,-1.007768303E-2,8.613665854E-2,-1.019336791E-1
1.501420000E-1,1.396946186E-2,5.695938134E-2,-9.700155267E-2
1.601380000E-1,-6.233357552E-2,1.521248992E-1,-2.035652946E-1
1.701480000E-1,-6.073789320E-2,1.521627507E-1,-2.044774968E-1
1.801330000E-1,-4.169194038E-2,1.721546917E-1,-5.275815689E-2
1.901560000E-1,-3.367981369E-3,1.054228680E-1,8.740520740E-3
2.001660000E-1,-2.957796907E-3,1.054332011E-1,9.940555544E-3
2.101860000E-1,-2.823073633E-2,1.566643759E-1,2.136836409E-2
2.201780000E-1,-2.857533833E-2,1.109550831E-1,-3.604778757E-2
2.301880000E-1,-2.855289507E-2,1.109585092E-1,-3.245374165E-2
2.402080000E-1,-4.818692132E-3,9.091884040E-2,-1.048611104E-2
2.501880000E-1,-6.481391415E-2,1.264892622E-1,-8.680474861E-2
2.601980000E-1,1.845339347E-2,8.518920860E-2,-4.733865593E-2
2.702310000E-1,-2.356172092E-2,2.096279071E-1,2.114100334E-2
2.802380000E-1,-2.668449953E-2,1.261577616E-1,-5.025566508E-3
2.902480000E-1,-5.294959382E-2,1.792160269E-1,5.649682547E-3
3.002450000E-1,-3.914931064E-2,1.143047885E-1,-8.543290274E-3
3.102290000E-1,-2.723356222E-2,1.252806336E-1,-7.328469780E-2
3.202390000E-1,-3.806651365E-2,1.440491908E-1,-9.230722521E-2
3.302750000E-1,1.150694810E-2,1.495882125E-1,-4.265584018E-2
3.402820000E-1,4.848151250E-2,1.109337317E-1,-2.177271048E-2
3.502920000E-1,1.111223820E-2,1.508944988E-1,1.165292407E-2
3.602890000E-1,2.831387414E-2,1.149690322E-1,-8.713689786E-3
3.702820000E-1,2.312595346E-3,1.220296730E-1,-9.870680175E-3
3.802920000E-1,-6.199308255E-3,1.203994511E-1,3.577465179E-2
3.903170000E-1,-5.954468206E-2,1.474040491E-1,-1.066989406E-2
4.002960000E-1,-5.160558389E-2,2.439801894E-1,5.514455635E-2
4.103060000E-1,-1.543150560E-2,1.544721634E-1,4.665568287E-2
4.203310000E-1,-2.381691991E-2,1.729096220E-1,-4.969048372E-3
4.303490000E-1,-3.142002473E-2,1.822149541E-1,2.642771997E-2
4.403590000E-1,-4.149447180E-3,1.397298526E-1,-1.769421360E-2
4.503610000E-1,-4.392252525E-2,1.626820013E-1,1.699969343E-2
4.603710000E-1,-3.081820234E-2,1.973003320E-1,-4.617530212E-2
