"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.353036346E0,9.802216187E0,3.631448364E-1
1.605400001E-2,-1.334025879E0,9.801467743E0,4.375401306E-1
2.609599999E-2,-1.254092102E0,9.819729767E0,4.052073669E-1
3.616600001E-2,-1.192270660E0,9.721533966E0,3.353027344E-1
4.620699998E-2,-8.186476135E-1,9.633966064E0,8.529263306E-1
5.627599999E-2,-1.629511414E0,9.683812408E0,1.257385254E-2
6.634600001E-2,-1.223705292E0,1.033780243E1,2.306703186E-1
7.638499996E-2,-1.336121521E0,9.864935760E0,2.115101624E-1
8.643799997E-2,-1.305585022E0,9.787696381E0,4.067042542E-1
9.651999996E-2,-1.178798676E0,9.792636108E0,4.134402466E-1
1.065550000E-1,-1.199455719E0,9.706265717E0,2.197430420E-1
1.166080000E-1,-1.196761322E0,9.716594238E0,9.415420532E-2
1.266790000E-1,-1.126707001E0,9.760303345E0,1.751358032E-2
1.367190000E-1,-1.213077393E0,9.776619415E0,-2.110610962E-2
1.467900000E-1,-1.273102570E0,9.780211945E0,4.670288086E-2
1.568310000E-1,-1.217568054E0,9.746232605E0,1.910028076E-1
1.669010000E-1,-1.216520233E0,9.701325989E0,3.546125793E-1
1.769430000E-1,-1.210832062E0,9.692943420E0,5.309458923E-1
1.870120000E-1,-1.184486847E0,9.734107819E0,5.278024292E-1
1.970830000E-1,-1.302441559E0,9.815538483E0,4.776567078E-1
2.071240000E-1,-1.286574554E0,9.749675446E0,2.297721863E-1
2.171880000E-1,-1.278790741E0,9.765841827E0,1.155596924E-1
2.272350000E-1,-1.356628876E0,9.801767120E0,1.588197327E-1
2.373050000E-1,-1.397643585E0,9.845476227E0,2.597099304E-1
2.473744583E-1,-1.314865723E0,9.885742493E0,3.671864319E-1
2.574274583E-1,-1.313668213E0,9.842183075E0,4.222718811E-1
2.674824583E-1,-1.308279419E0,9.812395020E0,3.878434753E-1
2.775074583E-1,-1.329086151E0,9.864337006E0,4.632865906E-1
2.875784583E-1,-1.284179535E0,9.768685913E0,4.834945679E-1
2.976204583E-1,-1.296603699E0,9.780062256E0,4.411326599E-1
3.076904583E-1,-1.299597473E0,9.818083191E0,3.872447205E-1
3.177424583E-1,-1.327439575E0,9.788444824E0,4.252656555E-1
3.277824583E-1,-1.334474945E0,9.768386536E0,4.869374084E-1
3.378694583E-1,-1.387165375E0,9.795180817E0,4.855902100E-1
3.479124583E-1,-1.457219696E0,9.867031403E0,3.974235535E-1
3.579814583E-1,-1.376687164E0,9.839788055E0,3.790118408E-1
3.680064583E-1,-1.284478912E0,9.761500854E0,2.603086853E-1
3.780634583E-1,-1.299597473E0,9.686506805E0,1.049317932E-1
3.881174583E-1,-1.276844788E0,9.605824585E0,-6.735992432E-2
3.981724583E-1,-1.329235840E0,9.722731476E0,-3.757186890E-2
4.082454583E-1,-1.396895142E0,9.816436615E0,1.076261902E-1
4.183134583E-1,-1.459315338E0,9.889484711E0,2.622546387E-1
4.283694583E-1,-1.471589813E0,9.945767670E0,3.381468201E-1
4.383974583E-1,-1.472188568E0,9.968520355E0,2.957849121E-1
4.484804583E-1,-1.450483704E0,9.938881989E0,2.853067017E-1
4.585044583E-1,-1.345402222E0,9.859696655E0,1.797761536E-1
4.685794583E-1,-1.300944672E0,9.809850311E0,1.895059204E-1
4.786354583E-1,-1.284329224E0,9.766590271E0,1.592687988E-1
4.886934583E-1,-1.306632843E0,9.758357391E0,1.240919495E-1
4.987304583E-1,-1.272952881E0,9.753567352E0,1.722917175E-1
5.088134583E-1,-1.294358368E0,9.712702332E0,2.222877502E-1
5.188364583E-1,-1.330433350E0,9.738448792E0,2.600093079E-1
5.289124583E-1,-1.356030121E0,9.744436340E0,2.447410583E-1
5.389764583E-1,-1.451830902E0,9.817783813E0,2.339634705E-1
