"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,-1.009387076E-1,-8.494062722E-2,-7.857122459E-3
1.000700000E-2,-6.133266911E-2,-1.018262729E-1,-1.261033583E-2
2.001700003E-2,-1.527657150E-3,-7.912576199E-2,-1.837075315E-2
2.999499999E-2,4.653446376E-2,-5.222178623E-2,-2.537007816E-2
4.000400001E-2,8.387736976E-2,-2.749308385E-2,-2.822179534E-2
5.001400004E-2,6.687334925E-2,-1.587770693E-2,-3.811144456E-2
6.002300000E-2,1.353268791E-2,-1.722975820E-2,-4.091649503E-2
7.006200001E-2,-2.596140280E-2,-4.516320303E-2,-3.593958542E-2
8.007200004E-2,-3.342304751E-2,-6.439948082E-2,-3.273420408E-2
9.006145835E-2,-3.561265767E-2,-5.799704790E-2,-2.958312258E-2
1.001014584E-1,-2.807823196E-2,-5.049331859E-2,-2.948412299E-2
1.101114583E-1,-1.627670042E-2,-4.938331246E-2,-3.468101472E-2
1.201194584E-1,2.901573200E-3,-4.927184060E-2,-3.123045713E-2
1.300984584E-1,3.497608379E-2,-4.485474527E-2,-3.618234023E-2
1.401084583E-1,5.523367971E-2,-3.834198788E-2,-3.488804400E-2
1.501164584E-1,5.843074620E-2,-3.619096056E-2,-3.485520929E-2
1.601564583E-1,6.696663797E-2,-3.507934138E-2,-3.475039825E-2
1.701664584E-1,9.359958023E-2,-2.105939575E-2,-3.234369680E-2
1.801744584E-1,1.223563552E-1,-4.894623067E-3,-2.992166579E-2
1.901764583E-1,1.382864118E-1,1.867357641E-2,-2.770272456E-2
2.001864584E-1,1.489204168E-1,3.580356389E-2,-2.765212394E-2
2.102024584E-1,1.457052678E-1,4.219006002E-2,-2.771990746E-2
2.202084584E-1,1.158382222E-1,3.563231230E-2,-2.806456946E-2
2.302184583E-1,5.924817920E-2,3.213824332E-2,-2.770024911E-2
2.401984584E-1,1.226379536E-2,2.337280288E-2,-2.398007922E-2
2.502344584E-1,1.618208131E-3,5.184680689E-3,-2.188986540E-2
2.602444583E-1,2.505482361E-2,-1.706842333E-2,-1.186546031E-2
2.702554584E-1,4.422723502E-2,-1.055797748E-2,-9.521001019E-3
2.802644583E-1,4.420163855E-2,3.310862696E-3,-1.066255663E-2
2.902744584E-1,4.418699071E-2,4.381719511E-3,-9.599688463E-3
3.002534584E-1,3.882279247E-2,1.182809845E-2,-8.632652462E-3
3.102924583E-1,3.029027767E-2,9.649555199E-3,-8.723699488E-3
3.203024584E-1,1.428068709E-2,7.431405596E-3,-8.916778490E-3
3.302824583E-1,-6.008631084E-3,-2.266680356E-3,-5.916298833E-3
3.403194583E-1,-1.131870318E-2,-1.189826895E-2,-5.927529186E-3
3.503294584E-1,-9.183380753E-3,-1.188708562E-2,-5.900364835E-3
3.603394583E-1,-6.052490789E-4,-8.656220511E-3,-1.007679012E-2
3.703214583E-1,-4.828299861E-3,-4.428810440E-3,-1.549179107E-2
3.803314583E-1,-9.158866480E-3,-4.432539456E-3,-1.020515058E-2
3.903664583E-1,-2.745403675E-3,-1.186468638E-2,-9.024844505E-3
4.003504583E-1,4.367307702E-4,-1.183980145E-2,-6.849142723E-3
4.103604584E-1,-3.864541650E-3,-2.358194627E-2,-1.503912150E-3
4.203944583E-1,-6.012422033E-3,-2.785395458E-2,6.285476848E-4
