"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.231494148E-1,3.514787595E-2,-1.742506079E-1
1.000700000E-2,1.306106813E-1,-1.772092579E-2,1.572758119E-1
2.001700003E-2,1.318711034E-1,-1.743906829E-2,1.544885539E-1
2.999499999E-2,1.603252080E-1,2.391193488E-2,1.540692719E-1
4.000400001E-2,6.081177369E-2,3.957235669E-2,-1.370357298E-1
5.001400004E-2,6.418120430E-2,3.977323595E-2,-1.298915012E-1
6.002300000E-2,6.685183325E-2,5.412480650E-2,-2.129194875E-1
7.006200001E-2,-4.849005948E-2,1.343237729E-1,-7.105087413E-2
8.007200004E-2,-4.545102397E-2,1.348834062E-1,-7.504720392E-2
9.006145835E-2,3.376096437E-2,1.748962684E-1,2.546774192E-2
1.001014584E-1,3.789610386E-2,1.015927955E-1,3.537849379E-2
1.101114583E-1,4.094904707E-2,1.021087849E-1,3.284518761E-2
1.201194584E-1,1.950671113E-2,1.543296558E-1,9.838320404E-2
1.300984584E-1,4.917211435E-2,6.995157018E-2,6.865729813E-2
1.401084583E-1,5.247070685E-2,7.023896540E-2,7.312457546E-2
1.501164584E-1,4.794604002E-2,1.078979030E-1,2.320059825E-2
1.601564583E-1,1.407940550E-2,5.828931683E-2,1.242899417E-1
1.701664584E-1,1.719164085E-2,5.842736594E-2,1.322680197E-1
1.801744584E-1,-3.106592329E-2,8.574259275E-2,1.335906508E-1
1.901764583E-1,-1.310694273E-2,1.310259067E-1,3.741762803E-2
2.001864584E-1,-1.036695575E-2,1.309071534E-1,5.205512514E-2
2.102024584E-1,7.942129581E-2,5.165679728E-2,-4.759493299E-2
2.202084584E-1,8.644843390E-2,-1.048341447E-1,-3.513292581E-1
2.302184583E-1,8.927058340E-2,-1.046574400E-1,-3.437070471E-1
2.401984584E-1,3.740865621E-2,1.178471483E-2,-2.942736810E-1
2.502344584E-1,-8.970508634E-2,1.787425851E-1,1.374871120E-2
2.602444583E-1,-8.841334504E-2,1.788853851E-1,1.529655369E-2
2.702554584E-1,-9.649604260E-2,2.357697119E-1,9.084765969E-2
2.802644583E-1,-7.162756034E-2,2.293602134E-1,4.027087055E-2
2.902744584E-1,-7.062755399E-2,2.293955342E-1,4.453718182E-2
3.002534584E-1,3.278494074E-2,1.497995985E-1,-5.388859270E-2
3.102924583E-1,9.071649933E-2,5.612310616E-2,-6.915348463E-2
3.203024584E-1,9.165206297E-2,5.620909221E-2,-6.716629012E-2
3.302824583E-1,6.670080607E-2,4.749921225E-2,-9.791737282E-2
3.403194583E-1,7.496318674E-2,1.257238874E-3,1.170832201E-3
3.503294584E-1,7.556086811E-2,1.365777386E-3,1.085063212E-4
3.603394583E-1,3.856253798E-2,2.702758948E-2,3.584752957E-2
3.703214583E-1,-8.212266376E-2,1.064900853E-1,8.633685144E-3
3.803314583E-1,-8.104235413E-2,1.066601023E-1,7.877026317E-3
3.903664583E-1,-8.437203281E-2,9.940685051E-2,-6.633356666E-3
4.003504583E-1,-2.755653637E-2,8.983371595E-2,-3.415865269E-2
4.103604584E-1,-2.735230638E-2,8.987547786E-2,-3.471079887E-2
4.203944583E-1,1.099786004E-2,5.848232063E-2,-6.605332287E-3
4.303804584E-1,3.388061987E-2,5.705288654E-2,-4.164893594E-2
4.403904583E-1,3.385536721E-2,5.711495382E-2,-4.444381823E-2
4.504214583E-1,-2.849506473E-2,1.406251253E-2,-6.300139150E-2
4.604184583E-1,-4.597242658E-2,7.394441905E-2,-4.052500059E-2
4.704284584E-1,-4.576896175E-2,7.404643469E-2,-4.354857753E-2
4.804484583E-1,-8.305609865E-2,1.144493792E-1,7.261114424E-2
4.904384583E-1,-4.351049926E-3,1.244851747E-1,2.112533691E-2
5.004484584E-1,-4.857365411E-3,1.244039989E-1,2.149749163E-2
5.104454583E-1,1.507819216E-2,1.153448986E-1,6.368228834E-3
5.204744583E-1,-5.618345196E-4,1.097596747E-1,5.840948739E-3
5.304844584E-1,-1.509341234E-3,1.095942168E-1,7.114632764E-3
5.405044584E-1,-8.643339902E-3,1.445607308E-1,1.720051217E-2
5.505034584E-1,2.867658423E-2,1.099409841E-1,-5.753603557E-2
5.605134583E-1,2.811119959E-2,1.098069641E-1,-5.529059513E-2
5.705004584E-1,7.266723183E-3,8.435960747E-2,-7.710487565E-2
5.805124583E-1,5.608239835E-3,4.093638419E-2,-4.178381933E-2
5.905224584E-1,5.014077072E-3,4.085857054E-2,-4.203662004E-2
6.005294584E-1,2.253612158E-2,4.121113937E-2,-3.927223464E-2
6.105564584E-1,1.736033759E-2,9.458963103E-2,1.961488233E-2
6.205664583E-1,-1.721621286E-3,7.741140679E-2,-6.340625865E-3
6.305854584E-1,-1.253295515E-2,9.952403236E-2,1.455258915E-2
6.405824583E-1,-4.265780905E-2,9.729811613E-2,-2.501239000E-3
6.505924584E-1,-2.336171874E-2,1.348639094E-1,-1.042841890E-2
6.605834584E-1,-1.106304850E-2,8.008479034E-2,-1.078105546E-4
6.705934583E-1,-1.225730575E-2,7.995362084E-2,-1.605490244E-3
6.806034584E-1,-4.446385237E-3,9.098613820E-2,1.951043644E-2
6.906104584E-1,-1.767045586E-2,1.048134328E-1,5.761279855E-2
7.006204583E-1,-1.844708716E-2,1.046472896E-1,5.998130004E-2
7.106304584E-1,-3.222225815E-2,1.069770944E-1,1.790395963E-2
7.206694583E-1,8.995220658E-3,8.040949353E-2,-9.298031283E-2
7.306474583E-1,8.492215644E-3,8.027053080E-2,-9.000702194E-2
7.406574584E-1,2.308677598E-3,4.611771162E-2,-1.278064572E-1
7.506964583E-1,1.779937098E-2,6.882068669E-2,-5.522388205E-2
7.606754584E-1,1.774034265E-2,5.282186870E-2,1.063360477E-2
7.706854583E-1,1.686962144E-2,5.276466192E-2,7.823334145E-3
7.807024583E-1,3.041770119E-3,1.179117623E-1,1.123964218E-1
7.907024584E-1,1.868495321E-3,1.177162917E-1,1.137862045E-1
8.007124583E-1,-2.529775468E-2,7.508408706E-2,3.876999079E-2
8.107214583E-1,-2.766664218E-2,8.458250516E-2,-7.942836729E-2
8.207304584E-1,-2.846968416E-2,8.441152892E-2,-7.675235250E-2
8.307404583E-1,-2.681704403E-2,8.232293090E-2,-1.029283270E-1
8.407484583E-1,-7.042457795E-2,1.316788214E-1,-5.947916126E-2
8.507584584E-1,-7.155497721E-2,1.315410373E-1,-6.037098042E-2
8.607684583E-1,-9.054522160E-2,1.704570257E-1,-4.550120952E-2
8.708064583E-1,-5.242751055E-2,1.564927601E-1,5.726636473E-2
8.808154584E-1,-5.433609656E-2,1.562410740E-1,5.668420132E-2
8.908254583E-1,-4.100114211E-2,1.586507116E-1,5.117126368E-2
9.008034584E-1,5.175954839E-2,1.191543961E-1,4.241942994E-2
9.108434584E-1,6.505900384E-2,1.284013017E-1,6.060260325E-2
9.208534583E-1,6.303329994E-2,1.280863195E-1,6.225803680E-2
9.308324584E-1,4.241078303E-3,7.512034436E-2,1.554297957E-2
9.408704584E-1,2.700855177E-3,7.487223969E-2,1.724617527E-2
9.508804583E-1,-4.882727937E-2,5.414320696E-2,2.489045728E-2
