"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.076481934E0,9.626032562E0,2.009271698E0
1.811100001E-2,-2.123035126E0,9.104517059E0,2.777623901E0
2.815100003E-2,-2.250120850E0,9.185648346E0,2.677931213E0
3.822200000E-2,-2.298170929E0,9.429042206E0,2.377206573E0
4.828799999E-2,-2.136357422E0,9.428144073E0,2.193987579E0
5.836400000E-2,-1.975591736E0,9.441017303E0,2.213297424E0
6.842500000E-2,-1.826801147E0,9.434131622E0,2.252515869E0
7.847300003E-2,-1.634002075E0,9.415270844E0,2.459235992E0
8.854299999E-2,-1.545985107E0,9.516310730E0,2.659818878E0
9.860000003E-2,-1.644480286E0,9.328301697E0,2.619702301E0
1.086530000E-1,-1.749861145E0,9.374555511E0,2.605182495E0
1.187250000E-1,-1.891316986E0,9.320817261E0,2.615211639E0
1.287600000E-1,-1.702110443E0,9.396709442E0,2.631378021E0
1.388370000E-1,-1.384321289E0,9.396559753E0,2.641556854E0
1.488770000E-1,-1.012644196E0,9.403894501E0,2.617756348E0
1.589470000E-1,-8.840615845E-1,9.485624542E0,2.617606659E0
1.689880000E-1,-7.825726318E-1,9.595945129E0,2.487377472E0
1.790560000E-1,-7.520361328E-1,9.656119995E0,2.558629303E0
1.891290000E-1,-9.145980835E-1,9.846973114E0,2.619851990E0
1.991670000E-1,-1.220711517E0,9.765392761E0,2.668201447E0
2.092190000E-1,-1.397493896E0,9.603878632E0,2.592009888E0
2.192940000E-1,-1.451531525E0,9.669591980E0,2.672692108E0
2.293540000E-1,-1.452130280E0,9.578730927E0,2.702180786E0
2.393970000E-1,-1.428629150E0,9.301806793E0,2.625390472E0
2.494570000E-1,-1.472038879E0,9.317224731E0,2.545307007E0
2.595320000E-1,-1.530567169E0,9.355395355E0,2.333946533E0
2.696040000E-1,-1.572030945E0,9.366771698E0,2.279908905E0
2.796620000E-1,-1.455273743E0,9.428892517E0,2.231260071E0
2.897070000E-1,-1.113235016E0,9.390871582E0,2.142344971E0
2.997790000E-1,-8.863069153E-1,9.474248199E0,2.140698395E0
3.098060000E-1,-7.047344971E-1,9.586514740E0,2.076631622E0
3.198820000E-1,-6.403683472E-1,9.743238831E0,2.033371582E0
3.299220000E-1,-6.327342224E-1,9.783954163E0,2.154170380E0
3.400110000E-1,-6.405180359E-1,9.750423889E0,2.157912598E0
3.500480000E-1,-6.309379578E-1,9.713450775E0,2.203268280E0
3.601260000E-1,-6.403683472E-1,9.528285828E0,2.138752441E0
3.701560000E-1,-6.982978821E-1,9.507179718E0,2.191592560E0
3.802300000E-1,-8.716374207E-1,9.450447693E0,1.980830841E0
3.902710000E-1,-9.845027161E-1,9.445507965E0,2.226769409E0
4.003300000E-1,-1.207089844E0,9.477840729E0,2.084265747E0
4.104120000E-1,-1.261726227E0,9.479337616E0,2.009720764E0
4.204460000E-1,-1.195114746E0,9.546697540E0,2.062860260E0
