"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
0.000000000E0,-9.954313189E-2,3.455584645E-1,5.207236409E-1
1.001299999E-2,-5.197878927E-2,2.976383865E-1,4.799013734E-1
2.001599997E-2,-3.047138220E-3,2.016473711E-1,4.233094752E-1
3.002599999E-2,5.455357581E-2,1.024621800E-1,3.561602533E-1
4.003999999E-2,1.097595394E-1,4.706390575E-2,3.004982769E-1
5.004199996E-2,1.326265782E-1,6.516986340E-2,2.568970025E-1
6.005199999E-2,1.414328516E-1,1.269775629E-1,2.193099260E-1
7.007899997E-2,1.715910733E-1,1.654391289E-1,1.874526590E-1
8.006799995E-2,2.348867506E-1,1.880671382E-1,1.560963243E-1
9.007799998E-2,2.883670330E-1,1.925817430E-1,1.471403837E-1
1.001040000E-1,3.039985299E-1,1.831884235E-1,1.837106347E-1
1.100940000E-1,2.851479352E-1,1.662506461E-1,2.497929633E-1
1.201040000E-1,2.576547861E-1,1.130452082E-1,3.330388665E-1
1.301430000E-1,2.261014283E-1,7.148144394E-2,3.948079348E-1
1.401490000E-1,1.929193735E-1,4.677627981E-2,4.041945934E-1
1.501590000E-1,1.646025032E-1,2.940580808E-2,3.622535467E-1
1.601380000E-1,1.504502594E-1,1.308588218E-2,2.948470712E-1
1.701670000E-1,1.523156017E-1,1.497612149E-2,2.232810110E-1
1.801770000E-1,1.778638363E-1,-3.330983222E-3,1.392966360E-1
1.901640000E-1,2.269406319E-1,-2.792508528E-2,5.350662023E-2
2.001960000E-1,2.480598092E-1,-1.634866558E-2,-2.320387959E-2
2.102060000E-1,2.625106573E-1,1.873421855E-2,-8.195374161E-2
2.202210000E-1,2.430638075E-1,1.008101106E-1,-8.047197014E-2
2.302260000E-1,1.785487831E-1,1.581966281E-1,-5.380148441E-2
2.402360000E-1,1.238224208E-1,1.292070597E-1,-2.337273769E-2
2.502149999E-1,7.740304619E-2,9.820271283E-2,2.853918821E-2
2.602240000E-1,4.070181400E-2,6.188325956E-2,7.205443084E-2
2.702340000E-1,6.194437854E-3,1.169465203E-2,1.135297045E-1
2.802710000E-1,-5.772149190E-3,9.569907561E-3,1.336866170E-1
2.902540000E-1,8.192728274E-3,1.388148870E-2,1.252963245E-1
3.002640000E-1,4.801444337E-2,3.531540930E-2,9.257833660E-2
3.102660000E-1,9.941073507E-2,5.465726554E-2,6.546381116E-2
3.202829999E-1,1.603766829E-1,5.920746550E-2,5.553473905E-2
3.302930000E-1,1.625452936E-1,7.946799695E-2,4.798334837E-2
3.402930000E-1,8.458478004E-2,1.067903563E-1,4.258058593E-2
3.503120000E-1,1.529737841E-2,9.572964162E-2,3.427364677E-2
3.603220000E-1,-9.108362719E-3,4.970329255E-2,3.098570555E-2
3.703480000E-1,-8.068927564E-3,1.343408413E-2,3.763031214E-2
3.803420000E-1,-8.992716670E-3,-5.809457041E-3,2.916704491E-2
3.903520000E-1,-2.704708464E-2,-5.934358574E-3,2.039059624E-2
4.003740000E-1,-4.407234862E-2,-4.975165706E-3,1.482697949E-2
4.103709999E-1,-1.642086729E-2,-3.043250181E-2,2.390792593E-2
