"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,9.930801429E-1,3.783277577E-3,6.553397774E-1
1.001299999E-2,1.081610350E0,7.703168496E-2,6.553084217E-1
2.001599997E-2,1.176882689E0,2.392846194E-1,5.993989536E-1
3.002599999E-2,1.144179870E0,2.313738483E-1,6.055228887E-1
4.003999999E-2,9.531536002E-1,4.144315324E-1,6.769770335E-1
5.004199996E-2,4.460502414E-1,1.638809364E-1,6.622719439E-1
6.005199999E-2,4.266219537E-1,1.569985260E-1,6.775497682E-1
7.007899997E-2,3.571235565E-1,2.160808212E-1,7.763815999E-1
8.006799995E-2,3.680468497E-1,-1.587590130E-1,7.530257010E-1
9.007799998E-2,3.577410590E-1,-1.665390440E-1,7.827269983E-1
1.001040000E-1,3.014071561E-1,-1.597063533E-1,7.345705727E-1
1.100940000E-1,1.826293390E-1,-1.194751068E-1,4.999120511E-1
1.201040000E-1,1.552088029E-1,-1.295982450E-1,5.272820636E-1
1.301430000E-1,2.370038033E-1,-7.809795214E-2,5.022635454E-1
1.401490000E-1,6.777161215E-1,-4.896877286E-2,3.805079240E-1
1.501590000E-1,6.424404542E-1,-5.779886335E-2,3.973939519E-1
1.601380000E-1,7.944807789E-1,4.706387334E-2,3.482420013E-1
1.701670000E-1,8.436663875E-1,2.383072573E-1,4.404124291E-1
1.801770000E-1,8.281482426E-1,2.330187066E-1,4.566562135E-1
1.901640000E-1,8.128453483E-1,1.947611055E-1,4.806697049E-1
2.001960000E-1,8.129430699E-1,-3.138991157E-2,4.844895812E-1
2.102060000E-1,8.197455014E-1,-3.464129238E-2,5.094604446E-1
2.202210000E-1,7.712019170E-1,-5.859431308E-2,5.876481698E-1
2.302260000E-1,4.932406704E-1,-1.224613163E-1,6.436275121E-1
2.402360000E-1,4.984779118E-1,-1.241291706E-1,6.586770757E-1
2.502149999E-1,2.761296794E-1,-9.341262306E-2,5.262961864E-1
2.602240000E-1,2.833255005E-1,-2.620844482E-2,5.105118836E-1
2.702340000E-1,2.737162229E-1,-2.798157870E-2,5.123263843E-1
2.802710000E-1,2.832280713E-1,-4.372534446E-3,4.582960651E-1
2.902540000E-1,5.276029661E-1,-1.342727194E-1,5.989872000E-1
3.002640000E-1,5.182792518E-1,-1.363126667E-1,6.029388214E-1
3.102660000E-1,4.568641916E-1,2.620153322E-3,5.400627613E-1
3.202829999E-1,2.892345140E-1,1.671540798E-2,4.043810823E-1
3.302930000E-1,2.856498419E-1,1.339519448E-2,4.214141677E-1
3.402930000E-1,1.706803528E-1,1.094492881E-1,2.425334969E-1
3.503120000E-1,6.794373682E-2,1.565534250E-1,2.031840014E-1
3.603220000E-1,6.597944695E-2,1.562175390E-1,2.035424357E-1
3.703480000E-1,1.392433552E-1,2.056627457E-1,2.344937946E-1
