"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-5.766099691E-1,1.014073753E1,1.583965540E0
4.962500000E-3,-8.757127523E-1,1.010723686E1,1.445178509E0
9.925000000E-3,-9.690291882E-1,1.021490955E1,1.394928932E0
1.488906300E-2,-9.881732464E-1,1.023405361E1,1.210690260E0
1.985156300E-2,-1.055172563E0,1.019098663E1,1.019259572E0
2.481562500E-2,-9.427121878E-1,1.032976341E1,8.804724813E-1
2.977812500E-2,-8.493957520E-1,1.023884201E1,7.297335267E-1
3.474218800E-2,-6.220710278E-1,1.025798607E1,4.617361724E-1
3.970468800E-2,-4.330440462E-1,1.004741096E1,2.655169666E-1
4.466718800E-2,-2.248634249E-1,1.002588272E1,1.427901909E-2
4.963125000E-2,3.595133126E-2,9.865556717E0,-1.771422029E-1
5.459375000E-2,1.101237014E-1,9.870346069E0,-4.331781268E-1
5.955781300E-2,1.531905979E-1,9.757884979E0,-5.887054205E-1
6.452031300E-2,1.436233670E-1,9.678915024E0,-7.968860865E-1
6.948437500E-2,1.316523552E-1,9.640635490E0,-8.303857446E-1
7.444843800E-2,6.705679744E-2,9.635848045E0,-8.758468628E-1
7.941093800E-2,2.398990095E-2,9.602347374E0,-7.777420878E-1
8.437343800E-2,-8.608591557E-2,9.549704552E0,-9.524134398E-1
8.933593800E-2,-2.416132689E-1,9.552098274E0,-8.423471451E-1
9.430000000E-2,-3.588621020E-1,9.528165817E0,-6.772430539E-1
9.926250000E-2,-4.282556474E-1,9.520993233E0,-4.523125887E-1
1.042250000E-1,-5.431103110E-1,9.585598946E0,-4.315309227E-2
1.091890630E-1,-5.215719938E-1,9.576031685E0,9.563399851E-2
1.141515630E-1,-5.000433922E-1,9.621492386E0,2.942378223E-1
1.191156250E-1,-5.287546515E-1,9.609530449E0,4.210538864E-1
1.240781250E-1,-5.478987098E-1,9.669347763E0,5.095914602E-1
1.290421880E-1,-6.795032024E-1,9.712413788E0,5.239470601E-1
1.340062500E-1,-6.603591442E-1,9.769846916E0,5.741965771E-1
1.389687500E-1,-6.675417423E-1,9.796163559E0,6.507631540E-1
1.439312500E-1,-6.795032024E-1,9.848807335E0,8.015117049E-1
1.488937500E-1,-6.627533436E-1,9.834450722E0,8.206557035E-1
1.538593750E-1,-7.249643207E-1,9.906239510E0,7.058010697E-1
1.588218750E-1,-7.584639192E-1,9.896661758E0,7.512621880E-1
1.637843750E-1,-6.771089435E-1,9.970844269E0,7.656177878E-1
1.687468750E-1,-5.526775122E-1,1.000195026E1,6.770898700E-1
