"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,8.635888994E-2,2.435607016E-1,7.851538062E-1
4.962500000E-3,0.000000000E0,0.000000000E0,0.000000000E0
9.925000000E-3,0.000000000E0,0.000000000E0,0.000000000E0
1.488906300E-2,9.773843922E-4,2.443460980E-4,-1.902408898E-3
1.985156300E-2,9.773843922E-4,2.443460980E-4,-1.902408898E-3
2.481562500E-2,2.181661548E-3,1.094321441E-2,-1.588249579E-3
2.977812500E-2,2.181661548E-3,1.094321441E-2,-1.588249579E-3
3.474218800E-2,4.502949305E-3,2.581341937E-2,-5.585053586E-4
3.970468800E-2,4.502949305E-3,2.581341937E-2,-5.585053586E-4
4.466718800E-2,3.648261726E-1,1.860922456E0,4.373795167E-2
4.963125000E-2,3.648261726E-1,1.860922456E0,4.373795167E-2
5.459375000E-2,4.320562482E-1,2.244336367E0,1.089783609E-1
5.955781300E-2,4.320562482E-1,2.244336367E0,1.089783609E-1
6.452031300E-2,5.287998319E-1,2.611518621E0,1.963146329E-1
6.948437500E-2,5.287998319E-1,2.611518621E0,1.963146329E-1
7.444843800E-2,6.159616113E-1,2.858028889E0,2.944195867E-1
7.941093800E-2,6.159616113E-1,2.858028889E0,2.944195867E-1
8.437343800E-2,6.733654737E-1,2.958577394E0,3.382622600E-1
8.933593800E-2,6.733654737E-1,2.958577394E0,3.382622600E-1
9.430000000E-2,7.123212218E-1,2.946185589E0,3.656290174E-1
9.926250000E-2,7.123212218E-1,2.946185589E0,3.656290174E-1
1.042250000E-1,7.095461488E-1,2.877192736E0,3.882485032E-1
1.091890630E-1,7.095461488E-1,2.877192736E0,3.882485032E-1
1.141515630E-1,6.620208621E-1,2.752855539E0,3.886848092E-1
1.191156250E-1,6.620208621E-1,2.752855539E0,3.886848092E-1
1.240781250E-1,5.894500613E-1,2.642271280E0,3.712315261E-1
1.290421880E-1,5.894500613E-1,2.642271280E0,3.712315261E-1
1.340062500E-1,5.180311799E-1,2.446707249E0,3.361329734E-1
1.389687500E-1,5.180311799E-1,2.446707249E0,3.361329734E-1
1.439312500E-1,4.517959356E-1,2.284496307E0,3.006853163E-1
1.488937500E-1,4.517959356E-1,2.284496307E0,3.006853163E-1
1.538593750E-1,4.018795192E-1,2.093033791E0,2.664070427E-1
1.588218750E-1,4.018795192E-1,2.093033791E0,2.664070427E-1
1.637843750E-1,3.423637748E-1,1.958224535E0,2.398256958E-1
1.687468750E-1,3.423637748E-1,1.958224535E0,2.398256958E-1
1.737109380E-1,2.683618367E-1,1.871516585E0,2.227912843E-1
1.786734380E-1,2.683618367E-1,1.871516585E0,2.227912843E-1
1.836359380E-1,1.935570091E-1,1.712970853E0,2.021963894E-1
1.886000000E-1,1.935570091E-1,1.712970853E0,2.021963894E-1
1.935625000E-1,1.285784096E-1,1.559189916E0,1.795769334E-1
1.985265630E-1,1.285784096E-1,1.559189916E0,1.795769334E-1
2.034890630E-1,8.133234084E-2,1.433561087E0,1.580046564E-1
2.084515630E-1,8.133234084E-2,1.433561087E0,1.580046564E-1
2.134156250E-1,5.773549154E-2,1.284841537E0,1.388234943E-1
2.183781250E-1,5.773549154E-2,1.284841537E0,1.388234943E-1
2.233421880E-1,4.817108810E-2,1.201711535E0,1.267283559E-1
2.283046880E-1,4.817108810E-2,1.201711535E0,1.267283559E-1
2.332687500E-1,4.242895544E-2,1.139787316E0,1.188569218E-1
2.382312500E-1,4.242895544E-2,1.139787316E0,1.188569218E-1
2.431937500E-1,3.637266159E-2,1.065907478E0,1.103048101E-1
2.481578130E-1,3.637266159E-2,1.065907478E0,1.103048101E-1
2.531218750E-1,3.221877664E-2,9.804736376E-1,1.035154760E-1
2.580843750E-1,3.221877664E-2,9.804736376E-1,1.035154760E-1
2.630468750E-1,2.883283980E-2,9.013927579E-1,1.060462072E-1
2.680109380E-1,2.883283980E-2,9.013927579E-1,1.060462072E-1
2.729734380E-1,2.607521974E-2,8.367632031E-1,1.158549562E-1
2.779359380E-1,2.607521974E-2,8.367632031E-1,1.158549562E-1
2.829000000E-1,2.274163999E-2,7.837750316E-1,1.233249679E-1
2.878625000E-1,2.274163999E-2,7.837750316E-1,1.233249679E-1
2.928281250E-1,2.024581842E-2,7.116230726E-1,1.213527396E-1
2.977890630E-1,2.024581842E-2,7.116230726E-1,1.213527396E-1
3.027531250E-1,1.513200440E-2,6.510252357E-1,1.107935011E-1
3.077156250E-1,1.513200440E-2,6.510252357E-1,1.107935011E-1
3.126781250E-1,4.363323096E-3,6.027145386E-1,9.857619554E-2
3.176437500E-1,4.363323096E-3,6.027145386E-1,9.857619554E-2
3.226062500E-1,-1.937315450E-3,5.922774673E-1,9.162978828E-2
3.275687500E-1,-1.937315450E-3,5.922774673E-1,9.162978828E-2
3.325312500E-1,-3.036872949E-3,5.724679828E-1,9.440486133E-2
3.374953130E-1,-3.036872949E-3,5.724679828E-1,9.440486133E-2
3.424593750E-1,-4.223696887E-3,5.474748611E-1,1.016479731E-1
3.474218750E-1,-4.223696887E-3,5.474748611E-1,1.016479731E-1
3.523859380E-1,-5.742133129E-3,5.068610907E-1,1.056971401E-1
3.573484380E-1,-5.742133129E-3,5.068610907E-1,1.056971401E-1
3.623109380E-1,-1.319468953E-2,4.783772826E-1,1.032187715E-1
3.672734380E-1,-1.319468953E-2,4.783772826E-1,1.032187715E-1
3.722375000E-1,-2.872812003E-2,4.205196202E-1,9.155996889E-2
