"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-1.570999920E-1,5.904999971E-1,2.108199835E0
9.925000000E-3,-3.210999966E-1,6.704999804E-1,1.331399918E0
1.985156300E-2,-2.859999835E-1,6.830999851E-1,3.623999953E-1
2.977812500E-2,-1.053999960E-1,7.570999861E-1,-2.536000013E-1
3.970468800E-2,2.996999919E-1,5.550000072E-1,-6.870999932E-1
4.963125000E-2,6.603999734E-1,3.341999948E-1,-7.981999516E-1
5.955781300E-2,5.683999658E-1,1.885999888E-1,-8.416000009E-1
6.948437500E-2,3.208000064E-1,6.140000001E-2,-7.257999778E-1
7.941093800E-2,4.259999841E-2,2.859999985E-2,-3.739999831E-1
8.933593800E-2,-2.606000006E-1,-8.100000210E-3,-2.082999945E-1
9.926250000E-2,-3.553999960E-1,-3.309999779E-2,2.447999865E-1
1.091890630E-1,-3.179999888E-1,9.099999443E-3,6.599999666E-1
1.191156250E-1,-1.941999942E-1,4.069999978E-2,7.412999868E-1
1.290421880E-1,-2.012999952E-1,1.493999958E-1,5.842999816E-1
1.389687500E-1,-1.086999997E-1,2.351999879E-1,4.118999839E-1
1.488937500E-1,-6.469999999E-2,2.866999805E-1,3.355000019E-1
1.588218750E-1,-1.195999980E-1,3.655000031E-1,1.384999901E-1
1.687468750E-1,9.439999610E-2,4.763999879E-1,1.399999950E-2
1.786734380E-1,8.240000159E-2,4.375999868E-1,2.669999935E-2
1.886000000E-1,6.939999759E-2,4.654999971E-1,-9.200000204E-3
1.985265630E-1,1.085999981E-1,5.090999603E-1,-2.190000005E-2
2.084515630E-1,1.371999979E-1,5.008000135E-1,-1.507000029E-1
2.183781250E-1,1.228999943E-1,4.053999782E-1,-2.849999964E-1
2.283046880E-1,1.842999905E-1,2.900999784E-1,-1.944999993E-1
2.382312500E-1,2.228999883E-1,2.259999961E-1,1.099999994E-3
2.481578130E-1,2.117999941E-1,1.827999949E-1,-5.200000014E-3
2.580843750E-1,6.309999526E-2,1.911999881E-1,2.929999866E-2
2.680109380E-1,-1.008000001E-1,2.203999907E-1,-6.579999626E-2
2.779359380E-1,-3.057999909E-1,2.117999941E-1,7.159999758E-2
2.878625000E-1,-2.766999900E-1,3.233000040E-1,3.307999969E-1
2.977890630E-1,-2.435999960E-1,3.888999820E-1,2.938999832E-1
3.077156250E-1,-1.410000026E-1,4.573999941E-1,3.299999833E-1
3.176437500E-1,-9.899999946E-3,4.023999870E-1,3.191999793E-1
3.275687500E-1,1.131999940E-1,5.115000010E-1,2.674999833E-1
3.374953130E-1,4.189999774E-2,4.878000021E-1,1.322000027E-1
3.474218750E-1,-2.599999867E-2,4.491999745E-1,-1.175999939E-1
3.573484380E-1,-1.289999951E-2,5.033000112E-1,-2.078000009E-1
3.672734380E-1,-3.429999948E-2,4.960999787E-1,-1.731999964E-1
3.772015630E-1,-4.989999905E-2,3.819999993E-1,-7.779999822E-2
3.871265630E-1,-9.389999509E-2,4.465000033E-1,2.029999904E-2
3.970531250E-1,-1.020999998E-1,3.762999773E-1,-3.599999938E-3
4.069796880E-1,2.199999988E-2,3.761999905E-1,2.199999988E-2
4.169062500E-1,2.699999884E-2,3.473999798E-1,3.610000014E-2
4.268328130E-1,-4.769999906E-2,3.471999764E-1,-2.939999849E-2
4.367578130E-1,-4.659999907E-2,3.441999853E-1,-1.385999918E-1
4.466859380E-1,-2.769999951E-2,3.093999922E-1,-2.915999889E-1
4.566109380E-1,-3.909999877E-2,2.771999836E-1,-1.498999894E-1
4.665375000E-1,1.049999986E-2,2.443999946E-1,-1.439999938E-1
4.764640630E-1,7.499999553E-2,2.409999967E-1,-9.300000034E-3
4.863906250E-1,1.616999954E-1,2.377999872E-1,3.419999778E-2
4.963171880E-1,1.317999959E-1,2.673999965E-1,2.672999799E-1
5.062437500E-1,1.075999960E-1,3.088999987E-1,4.393000007E-1
5.161687500E-1,5.169999972E-2,3.141999841E-1,3.262999952E-1
