"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-7.919636369E-1,9.791384697E0,1.344689012E0
4.964063000E-3,-7.369257212E-1,9.824884415E0,1.758646488E0
9.926563000E-3,-6.196768880E-1,9.879913330E0,1.911779642E0
1.489062500E-2,-6.364266872E-1,9.865556717E0,1.902212381E0
1.985312500E-2,-6.340420246E-1,9.927767754E0,1.763425350E0
2.481718800E-2,-4.761109650E-1,9.937344551E0,1.641397715E0
2.977968800E-2,-3.851887584E-1,9.906239510E0,1.548071623E0
3.474218800E-2,-2.607572973E-1,9.860768318E0,1.555254221E0
3.970625000E-2,-3.181893826E-1,9.836845398E0,1.658147454E0
4.466875000E-2,-3.660447001E-1,9.822490692E0,1.650964856E0
4.963281300E-2,-4.258614480E-1,9.855990410E0,1.552860141E0
5.459531300E-2,-5.167931914E-1,9.879913330E0,1.466716647E0
5.955937500E-2,-5.311488509E-1,9.853595734E0,1.457149386E0
6.452187500E-2,-5.622543097E-1,9.918201447E0,1.284862638E0
6.948437500E-2,-5.837925673E-1,9.872738838E0,1.150864005E0
7.444843800E-2,-6.483976841E-1,9.867951393E0,1.198719382E0
7.941093800E-2,-6.053212285E-1,9.865556717E0,1.110191226E0
8.437500000E-2,-5.455045104E-1,9.891883850E0,1.112575889E0
8.933750000E-2,-7.704253793E-1,9.853595734E0,1.184363604E0
9.430156300E-2,-1.074316621E0,9.671741486E0,1.390150189E0
9.926406300E-2,-3.014395833E-1,9.946911812E0,7.273392677E-1
1.042265630E-1,-3.708235621E-1,9.985199928E0,7.823676467E-1
1.091906250E-1,-6.914646029E-1,9.918201447E0,8.493670225E-1
1.141531250E-1,-1.045605302E0,9.662164688E0,1.181969523E0
1.191171880E-1,-1.074316621E0,9.777029037E0,1.686858773E0
1.240796880E-1,-9.307506680E-1,9.927767754E0,1.473899245E0
1.290421880E-1,-7.728195786E-1,9.781807899E0,1.483466506E0
1.340062500E-1,-8.182806969E-1,9.647809982E0,1.414072990E0
1.389687500E-1,-8.828954101E-1,9.556886673E0,1.323150754E0
1.439328130E-1,-9.953558445E-1,9.542531013E0,1.131719947E0
1.488953130E-1,-7.345410585E-1,9.604742050E0,1.146075726E0
1.538593750E-1,-6.196768880E-1,9.604742050E0,1.158046603E0
1.588218750E-1,-5.407160521E-1,9.602347374E0,1.397323132E0
1.637859380E-1,-5.790041685E-1,9.616703987E0,1.469110847E0
1.687484380E-1,-5.646485090E-1,9.669347763E0,1.665320516E0
1.737109380E-1,-4.426112771E-1,9.707635880E0,1.820857406E0
1.786750000E-1,-3.014395833E-1,9.652597427E0,1.868712783E0
1.836375000E-1,-1.985463500E-1,9.645415306E0,2.000317335E0
1.886015630E-1,-1.770081222E-1,9.626279831E0,2.155854225E0
1.935640630E-1,-1.435084492E-1,9.616703987E0,2.189353704E0
1.985281250E-1,8.620083332E-2,9.609530449E0,2.273102999E0
2.034906250E-1,2.584780157E-1,9.559281349E0,2.340102196E0
2.084546880E-1,4.498992264E-1,9.619097710E0,2.172604084E0
2.134171880E-1,4.259763658E-1,9.666953087E0,1.830424666E0
2.183812500E-1,3.039391041E-1,9.688490868E0,1.567215681E0
2.233437500E-1,3.972555101E-1,9.676529884E0,1.658147454E0
2.283062500E-1,4.163995683E-1,9.678915024E0,1.792146087E0
2.332703130E-1,3.805056810E-1,9.738740921E0,1.971606016E0
2.382328130E-1,1.436233670E-1,9.779414177E0,2.122354507E0
2.431953130E-1,8.859504014E-2,9.872738838E0,2.246776342E0
2.481593750E-1,3.116292879E-2,9.860768318E0,2.112777472E0
2.531218750E-1,2.398990095E-2,9.731558800E0,2.110383511E0
2.580859380E-1,-1.578640938E-1,9.887095451E0,2.163027048E0
2.630484380E-1,-1.387200505E-1,9.894268990E0,1.945279241E0
2.680109380E-1,-2.751129270E-1,9.944517136E0,1.974000096E0
2.729750000E-1,-3.110068142E-1,9.812912941E0,1.954856038E0
2.779375000E-1,-5.072164536E-1,9.999555588E0,1.720358372E0
2.829015630E-1,-5.550717115E-1,9.858384132E0,1.452361107E0
2.878640630E-1,-7.369257212E-1,9.899056435E0,1.452361107E0
2.928281250E-1,-8.589629531E-1,9.911018372E0,1.648570657E0
2.977906250E-1,-9.666445851E-1,9.877518654E0,1.658147454E0
3.027531250E-1,-1.342314005E0,1.002109337E1,1.344689012E0
3.077171880E-1,-8.541745543E-1,9.994767189E0,1.409294248E0
3.126796880E-1,-6.244652867E-1,1.001870060E1,1.488254905E0
3.176437500E-1,-5.861771703E-1,1.003305531E1,1.725146890E0
3.226062500E-1,-5.024375916E-1,9.925383568E0,2.002711535E0
3.275687500E-1,-4.282556474E-1,9.851201057E0,2.151065588E0
3.325328130E-1,-3.253624141E-1,9.772240639E0,2.222853422E0
3.374953130E-1,-2.775071263E-1,9.745914459E0,2.191748142E0
3.424593750E-1,-8.369170874E-2,9.796163559E0,2.086460590E0
3.474218750E-1,-3.583640978E-2,9.774634361E0,2.029028416E0
3.523859380E-1,-3.104800731E-2,9.800951958E0,1.974000096E0
3.573484380E-1,-3.344221041E-2,9.822490692E0,2.000317335E0
3.623109380E-1,-5.975927413E-2,9.894268990E0,2.009884357E0
3.672750000E-1,-1.004415527E-1,9.844018936E0,2.036211014E0
3.722375000E-1,2.159569971E-2,9.812912941E0,2.043384075E0
3.772015630E-1,9.815269709E-2,9.710029602E0,2.050566673E0
3.821640630E-1,1.914786696E-1,9.561666489E0,2.045778275E0
3.871281250E-1,3.972555101E-1,9.425282478E0,1.914173841E0
3.920906250E-1,4.546876252E-1,9.284101486E0,1.938106298E0
3.970546880E-1,5.073313117E-1,9.336745262E0,1.969211817E0
4.020171880E-1,4.762258530E-1,9.394176483E0,1.933317900E0
4.069796880E-1,4.331493974E-1,9.355888367E0,1.993134618E0
4.119437500E-1,3.685442507E-1,9.386994362E0,2.005105495E0
4.169062500E-1,2.871892750E-1,9.415705681E0,1.954856038E0
4.218703130E-1,2.273725420E-1,9.544916153E0,1.985961556E0
4.268328130E-1,1.388349682E-1,9.659780502E0,1.923750639E0
4.317953130E-1,5.988377333E-2,9.774634361E0,1.813674808E0
4.367593750E-1,-1.004415527E-1,9.805740356E0,1.610292196E0
4.417218750E-1,-1.961521655E-1,9.786596298E0,1.528927565E0
4.466859380E-1,-1.961521655E-1,9.786596298E0,1.438005328E0
4.516484380E-1,-1.124029830E-1,9.786596298E0,1.583965540E0
4.566125000E-1,1.005468965E-1,9.791384697E0,1.622253656E0
4.615750000E-1,2.608722150E-1,9.762663841E0,1.660541654E0
4.665375000E-1,3.302561939E-1,9.786596298E0,1.761031151E0
4.715015630E-1,3.230831623E-1,9.724386215E0,1.895029783E0
4.764640630E-1,4.546876252E-1,9.638241768E0,1.942894697E0
4.814265630E-1,4.618606567E-1,9.628664970E0,2.026634216E0
4.863906250E-1,3.852941096E-1,9.587991714E0,2.088854790E0
4.913531250E-1,3.757268786E-1,9.537743568E0,1.997923017E0
4.963171880E-1,3.326503932E-1,9.525781631E0,1.878279924E0
5.012796880E-1,3.254773617E-1,9.568848610E0,1.792146087E0
5.062437500E-1,2.704394460E-1,9.631059647E0,1.811280608E0
5.112062500E-1,1.842960715E-1,9.657385826E0,1.787357807E0
5.161687500E-1,1.053352952E-1,9.633453369E0,1.753858089E0
5.211328130E-1,3.116292879E-2,9.659780502E0,1.847174406E0
5.260968750E-1,-1.190397050E-2,9.688490868E0,1.859145522E0
5.310593750E-1,-4.721365869E-3,9.676529884E0,1.911779642E0
5.360218750E-1,-9.325893968E-2,9.686098099E0,1.851962924E0
5.409843750E-1,-1.578640938E-1,9.686098099E0,1.832818866E0
5.459484380E-1,-2.487958670E-1,9.643030167E0,1.722752571E0
5.509125000E-1,-3.110068142E-1,9.621492386E0,1.655753255E0
5.558750000E-1,-4.139000177E-1,9.695664406E0,1.682070255E0
5.608390630E-1,-4.210730195E-1,9.695664406E0,1.629426599E0
5.658000000E-1,-4.043232203E-1,9.590386391E0,1.804107547E0
5.707640630E-1,-4.497938752E-1,9.449205399E0,2.045778275E0
5.757265630E-1,-3.564679027E-1,9.264957428E0,2.311381578E0
5.806906250E-1,-2.296518236E-1,9.430061340E0,2.165421486E0
5.856546880E-1,-2.440074682E-1,9.530560493E0,1.749069691E0
5.906171880E-1,-4.928607643E-1,9.745914459E0,1.382967472E0
5.955796880E-1,-6.818974018E-1,9.841633797E0,1.359044671E0
6.005437500E-1,-7.680407763E-1,9.779414177E0,1.119758487E0
6.055078130E-1,-7.847905755E-1,9.786596298E0,1.043192029E0
6.104703130E-1,-8.972510099E-1,9.753096581E0,9.570485950E-1
6.154328130E-1,-8.350304961E-1,9.812912941E0,9.690100551E-1
6.203968750E-1,-7.991462350E-1,9.884700775E0,1.055153489E0
6.253593750E-1,-8.661455512E-1,9.846412659E0,1.134114146E0
6.303234380E-1,-6.651475430E-1,9.803345680E0,1.248968840E0
6.352859380E-1,-5.622543097E-1,9.784202576E0,1.502610564E0
6.402484380E-1,-5.311488509E-1,9.781807899E0,1.689252973E0
6.452125000E-1,-5.335431099E-1,9.834450722E0,1.868712783E0
6.501750000E-1,-6.196768880E-1,9.946911812E0,1.777781010E0
6.551390630E-1,-6.125038266E-1,9.992383003E0,1.820857406E0
6.601015630E-1,-5.335431099E-1,1.001630592E1,1.715570092E0
6.650640630E-1,-4.258614480E-1,9.930162430E0,1.634215117E0
6.700281250E-1,-1.865849346E-1,9.855990410E0,1.552860141E0
6.749906250E-1,-9.086474776E-2,9.827268600E0,1.490649223E0
6.799546880E-1,-4.061523825E-2,9.796163559E0,1.545677543E0
6.849171880E-1,1.920149848E-2,9.853595734E0,1.476293445E0
6.898812500E-1,6.705679744E-2,9.829663277E0,1.572004199E0
6.948437500E-1,4.845864139E-3,9.889489174E0,1.505004764E0
6.998078130E-1,-4.061523825E-2,9.875133514E0,1.536110282E0
7.047703130E-1,-6.933607906E-2,9.817702293E0,1.588753939E0
7.097328130E-1,-1.124029830E-1,9.779414177E0,1.569609880E0
7.146953130E-1,-1.889695525E-1,9.820096016E0,1.624647856E0
7.196593750E-1,-2.775071263E-1,9.901451111E0,1.629426599E0
7.246234380E-1,-2.990453839E-1,9.903844833E0,1.706002831E0
7.295859380E-1,-3.492948711E-1,9.913412094E0,1.662926316E0
7.345500000E-1,-3.564679027E-1,9.822490692E0,1.622253656E0
7.395125000E-1,-2.751129270E-1,9.793779373E0,1.514572024E0
7.444750000E-1,-1.913637519E-1,9.774634361E0,1.629426599E0
7.494390630E-1,-5.736507475E-2,9.834450722E0,1.720358372E0
7.544015630E-1,2.451662440E-3,9.860768318E0,1.722752571E0
7.593656250E-1,4.073973373E-2,9.815307617E0,1.737108231E0
7.643281250E-1,4.552813992E-2,9.803345680E0,1.777781010E0
7.692906250E-1,5.030696467E-2,9.827268600E0,1.837607265E0
7.742546880E-1,4.845864139E-3,9.719596863E0,1.856751323E0
7.792171880E-1,1.680729724E-2,9.678915024E0,1.722752571E0
7.841812500E-1,1.202846877E-2,9.640635490E0,1.679676175E0
7.891437500E-1,5.748957023E-2,9.614309311E0,1.533716083E0
7.941078130E-1,7.423940301E-2,9.561666489E0,1.478678107E0
7.990703130E-1,5.509537086E-2,9.537743568E0,1.380573392E0
8.040328130E-1,1.938728839E-1,9.571242332E0,1.490649223E0
8.089968750E-1,3.446213901E-1,9.511416435E0,1.497822165E0
8.139593750E-1,4.187937677E-1,9.465954781E0,1.629426599E0
8.189218750E-1,3.374387920E-1,9.418099403E0,1.706002831E0
8.238859380E-1,3.278715611E-1,9.339139938E0,1.761031151E0
8.288500000E-1,1.460079998E-1,9.372638702E0,1.725146890E0
8.338125000E-1,-5.975927413E-2,9.461176872E0,1.574398279E0
8.387750000E-1,-1.435084492E-1,9.497060776E0,1.552860141E0
8.437390630E-1,-2.870743573E-1,9.547310829E0,1.461928368E0
8.487015630E-1,-3.708235621E-1,9.611914635E0,1.382967472E0
8.536640630E-1,-5.215719938E-1,9.676529884E0,1.327939153E0
8.586265630E-1,-6.196768880E-1,9.741134644E0,1.335112214E0
8.635906250E-1,-7.034260035E-1,9.867951393E0,1.330323815E0
8.685531250E-1,-7.417141199E-1,9.915806770E0,1.449966788E0
8.735171880E-1,-8.158960342E-1,9.985199928E0,1.394928932E0
8.784796880E-1,-8.757127523E-1,9.980412483E0,1.411678791E0
8.834421880E-1,-9.762117863E-1,1.003784370E1,1.308795214E0
8.884062500E-1,-1.002528906E0,1.004741096E1,1.184363604E0
8.933687500E-1,-8.900684118E-1,1.012876606E1,1.083864689E0
8.983328130E-1,-5.909655690E-1,1.028669739E1,7.991175056E-1
9.032953130E-1,-2.775071263E-1,1.033455276E1,1.913446039E-1
9.082593750E-1,-2.176903933E-1,1.023644733E1,1.578449309E-1
9.132218750E-1,-4.330440462E-1,1.003784370E1,9.044048786E-1
9.181843750E-1,-4.880723953E-1,9.997160912E0,1.885462523E0
9.231484380E-1,-3.205740452E-1,1.000434399E1,2.598522902E0
9.281109380E-1,-8.369170874E-2,1.013834286E1,2.876087427E0
9.330750000E-1,2.536896169E-1,9.994767189E0,2.507600546E0
9.380375000E-1,3.685442507E-1,9.949306488E0,2.012278795E0
9.430015630E-1,2.847950757E-1,9.867951393E0,1.471505165E0
9.479640630E-1,3.613712192E-1,9.784202576E0,1.201113582E0
9.529281250E-1,3.924766779E-1,9.788990021E0,1.318362474E0
9.578921880E-1,2.991507351E-1,9.719596863E0,1.603109598E0
9.628531250E-1,2.776220441E-1,9.647809982E0,1.768213749E0
9.678171880E-1,2.608722150E-1,9.602347374E0,1.753858089E0
9.727796880E-1,2.560837865E-1,9.587991714E0,1.679676175E0
9.777437500E-1,3.159005344E-1,9.578415871E0,1.627041936E0
9.827062500E-1,3.350445926E-1,9.609530449E0,1.528927565E0
9.876687500E-1,2.489012182E-1,9.604742050E0,1.610292196E0
9.926328130E-1,1.771230400E-1,9.583204269E0,1.591148138E0
9.975968750E-1,1.029410958E-1,9.587991714E0,1.536110282E0
1.002559375E0,4.552813992E-2,9.657385826E0,1.550465822E0
1.007521875E0,-4.540364072E-2,9.669347763E0,1.414072990E0
1.012484375E0,-9.804734588E-2,9.702846527E0,1.323150754E0
1.017448438E0,-1.674408913E-1,9.604742050E0,1.177190661E0
1.022410938E0,-1.794023216E-1,9.654992104E0,1.150864005E0
1.027375000E0,-1.411142498E-1,9.659780502E0,1.126941204E0
1.032337500E0,-7.890331000E-2,9.619097710E0,1.213074923E0
1.037301563E0,-5.736507475E-2,9.647809982E0,1.248968840E0
1.042265625E0,9.634267539E-3,9.585598946E0,1.292045236E0
1.047226563E0,5.270116776E-2,9.585598946E0,1.299218416E0
1.052190625E0,6.227797270E-2,9.573637009E0,1.315968156E0
1.057153125E0,7.423940301E-2,9.621492386E0,1.344689012E0
1.062118750E0,1.531905979E-1,9.621492386E0,1.490649223E0
1.067081250E0,-7.172070444E-2,9.762663841E0,1.509793162E0
1.072043750E0,-2.057193965E-1,9.791384697E0,1.562427282E0
1.077007813E0,-2.799013257E-1,9.867951393E0,1.622253656E0
1.081998438E0,-3.612563312E-1,9.781807899E0,1.471505165E0
1.086932813E0,-3.804003298E-1,9.760279655E0,1.471505165E0
1.091895313E0,-3.612563312E-1,9.736346245E0,1.256151438E0
1.096859375E0,-2.918627560E-1,9.748308182E0,1.181969523E0
1.101821875E0,-1.578640938E-1,9.872738838E0,1.052759290E0
1.106785938E0,-1.698351055E-1,9.808135033E0,1.114970207E0
1.111748438E0,-1.961521655E-1,9.894268990E0,1.339900613E0
1.116710938E0,-3.205740452E-1,9.879913330E0,1.624647856E0
1.121675000E0,-3.564679027E-1,9.978017807E0,1.710781574E0
1.126637500E0,-3.397180736E-1,1.004023838E1,1.588753939E0
1.131601563E0,-3.612563312E-1,1.003066158E1,1.447572589E0
1.136564063E0,-3.397180736E-1,9.934949875E0,1.356650352E0
1.141528125E0,-4.306498468E-1,9.844018936E0,1.232218981E0
1.146490625E0,-3.875733614E-1,9.772240639E0,1.198719382E0
1.151453125E0,-3.157951832E-1,9.719596863E0,1.162825465E0
1.156417188E0,-2.942569554E-1,9.738740921E0,1.153258204E0
1.161379688E0,-1.698351055E-1,9.757884979E0,1.088653088E0
1.166343750E0,-6.933607906E-2,9.743529320E0,1.129325747E0
1.171306250E0,5.270116776E-2,9.719596863E0,1.136508465E0
1.176270313E0,1.316523552E-1,9.595166206E0,1.100614548E0
