"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,3.576877713E-1,3.237236738E-1,-3.816860616E-1
4.964063000E-3,-2.914699726E-3,-3.839724232E-3,-6.981316983E-5
9.926563000E-3,-2.914699726E-3,-3.839724232E-3,-6.981316983E-5
1.489062500E-2,-2.914699726E-3,-3.839724232E-3,-6.981316983E-5
1.985312500E-2,-5.672320258E-3,-7.557275705E-3,-1.396263397E-4
2.481718800E-2,-5.672320258E-3,-7.557275705E-3,-1.396263397E-4
2.977968800E-2,-6.824237294E-3,-1.233947743E-2,7.853981806E-4
3.474218800E-2,-6.824237294E-3,-1.233947743E-2,7.853981806E-4
3.970625000E-2,-2.690424919E-1,-3.328342736E-1,1.511280537E-1
4.466875000E-2,-2.690424919E-1,-3.328342736E-1,1.511280537E-1
4.963281300E-2,-1.953023374E-1,-1.137605608E-1,1.817934960E-1
5.459531300E-2,-1.953023374E-1,-1.137605608E-1,1.817934960E-1
5.955937500E-2,-1.763306111E-1,-4.974188283E-2,1.958608478E-1
6.452187500E-2,-1.763306111E-1,-4.974188283E-2,1.958608478E-1
6.948437500E-2,-1.551772207E-1,-2.469640970E-2,1.856157631E-1
7.444843800E-2,-1.551772207E-1,-2.469640970E-2,1.856157631E-1
7.941093800E-2,-1.223475784E-1,-1.907644793E-2,1.645147353E-1
8.437500000E-2,-1.223475784E-1,-1.907644793E-2,1.645147353E-1
8.933750000E-2,-8.365362883E-2,6.696828455E-2,1.598197967E-1
9.430156300E-2,-8.365362883E-2,6.696828455E-2,1.598197967E-1
9.926406300E-2,-4.052654654E-2,2.308023423E-1,1.537111402E-1
1.042265630E-1,-4.052654654E-2,2.308023423E-1,1.537111402E-1
1.091906250E-1,1.165879890E-2,4.895474017E-1,1.766273230E-1
1.141531250E-1,1.165879890E-2,4.895474017E-1,1.766273230E-1
1.191171880E-1,3.836233541E-2,7.318514585E-1,1.975538135E-1
1.240796880E-1,3.836233541E-2,7.318514585E-1,1.975538135E-1
1.290421880E-1,3.520328924E-2,8.847423196E-1,2.024407387E-1
1.340062500E-1,3.520328924E-2,8.847423196E-1,2.024407387E-1
1.389687500E-1,2.822197415E-2,9.177639484E-1,1.790009737E-1
1.439328130E-1,2.822197415E-2,9.177639484E-1,1.790009737E-1
1.488953130E-1,3.757693991E-2,7.902152538E-1,1.265363693E-1
1.538593750E-1,3.757693991E-2,7.902152538E-1,1.265363693E-1
1.588218750E-1,4.749041051E-2,6.498559117E-1,8.573057503E-2
1.637859380E-1,4.749041051E-2,6.498559117E-1,8.573057503E-2
1.687484380E-1,4.605923966E-2,5.507037640E-1,6.314601004E-2
1.737109380E-1,4.605923966E-2,5.507037640E-1,6.314601004E-2
1.786750000E-1,3.689625859E-2,4.613254368E-1,5.251695588E-2
1.836375000E-1,3.689625859E-2,4.613254368E-1,5.251695588E-2
1.886015630E-1,2.649409883E-2,4.265759289E-1,5.775294453E-2
1.935640630E-1,2.649409883E-2,4.265759289E-1,5.775294453E-2
1.985281250E-1,1.551597659E-2,4.010766745E-1,6.510078162E-2
2.034906250E-1,1.551597659E-2,4.010766745E-1,6.510078162E-2
