"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,8.460000157E-2,2.818999887E-1,1.618600011E0
9.926562000E-3,1.070999950E-1,3.735999763E-1,9.503999949E-1
1.985312500E-2,1.225999966E-1,5.048999786E-1,1.265999973E-1
2.977812500E-2,1.789999902E-1,4.481000006E-1,-1.397999972E-1
3.970468700E-2,1.074999943E-1,3.989000022E-1,2.469999902E-2
4.963125000E-2,-8.259999752E-2,4.461999834E-1,-1.052999943E-1
5.955781200E-2,-1.462000012E-1,4.657999873E-1,-1.730999947E-1
6.948437500E-2,-1.995999962E-1,4.059999883E-1,-1.784999967E-1
7.941093700E-2,-3.689999878E-2,4.162999988E-1,-1.806000024E-1
8.933750000E-2,-4.447999895E-1,1.929000020E-1,1.508999914E-1
9.926250000E-2,2.522999942E-1,4.977999926E-1,-3.403999805E-1
1.091890620E-1,-3.440999985E-1,1.694999933E-1,8.679999411E-2
1.191156250E-1,-1.712999940E-1,4.542999864E-1,3.304999769E-1
1.290421870E-1,4.199999850E-3,1.825999916E-1,2.085999995E-1
1.389687500E-1,-1.865999997E-1,6.749999523E-2,-2.829999849E-2
1.488953120E-1,2.507999837E-1,1.415999979E-1,-9.099999815E-2
1.588218750E-1,1.966999918E-1,1.611000001E-1,1.738999933E-1
1.687468750E-1,2.389999926E-1,2.529000044E-1,4.597999752E-1
1.786734370E-1,3.680999875E-1,2.034999877E-1,5.202000141E-1
1.886000000E-1,2.538999915E-1,1.997999996E-1,5.119000077E-1
1.985265620E-1,4.727999866E-1,1.797000021E-1,4.372999966E-1
2.084531250E-1,4.504999816E-1,2.992999852E-1,-1.504999995E-1
2.183796870E-1,2.549999952E-1,3.039000034E-1,-2.969000041E-1
2.283062500E-1,1.231999993E-1,3.631999791E-1,2.620000020E-2
2.382312500E-1,-2.131000012E-1,5.018999577E-1,3.096999824E-1
2.481578120E-1,-2.356999964E-1,3.529999852E-1,2.224999964E-1
2.580843750E-1,-2.821999788E-1,5.202000141E-1,4.230000079E-2
2.680109370E-1,-3.213000000E-1,4.412999749E-1,1.199999941E-3
2.779375000E-1,-3.865000010E-1,4.711000025E-1,-4.160999954E-1
