"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-9.187796712E-1,1.051640606E1,2.131921530E0
4.964063000E-3,-6.890703440E-1,1.059297276E1,2.275487661E0
9.926563000E-3,-4.354382753E-1,1.060972309E1,2.481273890E0
1.489062500E-2,-2.990453839E-1,1.055708885E1,2.371207714E0
1.985312500E-2,-6.933607906E-2,1.053555107E1,2.419063091E0
2.481562500E-2,8.620083332E-2,1.051640606E1,2.227632284E0
2.977968800E-2,9.576806426E-2,1.051640606E1,2.052960873E0
3.474218800E-2,8.380663395E-2,1.044701290E1,1.741896629E0
3.970625000E-2,3.355713189E-2,1.037284088E1,1.409294248E0
4.466875000E-2,-1.669237576E-2,1.041830158E1,1.098220348E0
4.963281300E-2,4.073973373E-2,1.033215809E1,6.699072123E-1
5.459531300E-2,-5.736507475E-2,1.029865837E1,3.444873095E-1
5.955781300E-2,-1.195855886E-1,1.031540775E1,1.937388033E-1
6.452187500E-2,-1.985463500E-1,1.033455276E1,1.530565321E-1
6.948437500E-2,-3.038241863E-1,1.029148579E1,2.624044940E-2
7.444843800E-2,-3.110068142E-1,1.022687149E1,2.624044940E-2
7.941093800E-2,-3.301508427E-1,1.019337082E1,-3.836468980E-2
8.437500000E-2,-3.014395833E-1,1.001391125E1,3.820187971E-2
8.933750000E-2,-3.038241863E-1,9.949306488E0,1.188481692E-2
9.430000000E-2,-3.205740452E-1,9.865556717E0,4.702212289E-3
9.926406300E-2,-3.804003298E-1,9.860768318E0,7.409575582E-2
1.042265630E-1,-3.421122730E-1,9.822490692E0,-7.259219419E-3
1.091906250E-1,-3.301508427E-1,9.738740921E0,-4.075888917E-2
1.141531250E-1,-3.636505008E-1,9.714808464E0,-2.470816020E-3
1.191171880E-1,-3.732177317E-1,9.686098099E0,6.213432178E-2
1.240796880E-1,-3.971501887E-1,9.700452805E0,1.147780269E-1
1.290421880E-1,-4.234672487E-1,9.669347763E0,6.930734962E-2
1.340062500E-1,-4.402170777E-1,9.659780502E0,6.691315025E-2
1.389687500E-1,-4.162942171E-1,9.662164688E0,5.255751312E-2
1.439328130E-1,-4.617553055E-1,9.609530449E0,4.702212289E-3
1.488953130E-1,-5.239662528E-1,9.592781067E0,-3.358586133E-2
1.538593750E-1,-5.670427084E-1,9.580809593E0,1.427901909E-2
1.588218750E-1,-5.694273710E-1,9.547310829E0,-8.619125583E-5
1.637843750E-1,-6.460034847E-1,9.485099792E0,2.145204693E-2
1.687484380E-1,-5.598601103E-1,9.523387909E0,3.102885373E-2
1.737109380E-1,-5.981481671E-1,9.535348892E0,3.102885373E-2
1.786750000E-1,-6.244652867E-1,9.499455452E0,1.937388033E-1
1.836375000E-1,-6.579648852E-1,9.494675636E0,2.104886323E-1
1.886000000E-1,-6.890703440E-1,9.492281914E0,2.104886323E-1
1.935640630E-1,-7.058202624E-1,9.458782196E0,2.798821628E-1
1.985265630E-1,-7.058202624E-1,9.497060776E0,2.511613369E-1
2.034906250E-1,-7.321468592E-1,9.542531013E0,3.109876513E-1
2.084531250E-1,-7.010414004E-1,9.439639091E0,3.109876513E-1
2.134156250E-1,-7.512909174E-1,9.501849174E0,3.253432810E-1
2.183796880E-1,-7.536755204E-1,9.499455452E0,2.942378223E-1
2.233437500E-1,-7.704253793E-1,9.544916153E0,3.085934520E-1
2.283046880E-1,-7.393198609E-1,9.573637009E0,1.458835006E-1
2.332687500E-1,-7.943577766E-1,9.520993233E0,1.482776999E-1
2.382328130E-1,-8.422131538E-1,9.537743568E0,8.605717868E-2
2.431953130E-1,-9.163950682E-1,9.583204269E0,6.691315025E-2
2.481578130E-1,-8.805012107E-1,9.597559929E0,1.339124888E-1
2.531203130E-1,-9.020298719E-1,9.647809982E0,1.650275439E-1
2.580843750E-1,-9.044240713E-1,9.690885544E0,1.722005606E-1
2.630484380E-1,-8.446072936E-1,9.647809982E0,2.870551944E-1
2.680109380E-1,-7.153970599E-1,9.686098099E0,3.612371385E-1
2.729750000E-1,-6.771089435E-1,9.719596863E0,4.856590331E-1
2.779375000E-1,-6.483976841E-1,9.700452805E0,4.880532324E-1
2.829000000E-1,-5.766099691E-1,9.729164124E0,5.287354589E-1
2.878640630E-1,-5.933598280E-1,9.695664406E0,5.000146627E-1
2.928265630E-1,-5.383219123E-1,9.714808464E0,3.803811967E-1
2.977906250E-1,-5.024375916E-1,9.729164124E0,3.827657998E-1
3.027531250E-1,-5.359276533E-1,9.738740921E0,2.487671375E-1
3.077171880E-1,-5.191778541E-1,9.726778984E0,3.277374804E-1
3.126796880E-1,-4.569669068E-1,9.729164124E0,2.583439350E-1
3.176437500E-1,-3.540737033E-1,9.707635880E0,1.913446039E-1
3.226062500E-1,-3.588621020E-1,9.743529320E0,2.439883053E-1
3.275687500E-1,-3.684388995E-1,9.748308182E0,2.128828466E-1
3.325328130E-1,-3.780061305E-1,9.741134644E0,2.033060342E-1
3.374953130E-1,-4.306498468E-1,9.753096581E0,1.626333296E-1
3.424593750E-1,-3.516891003E-1,9.769846916E0,2.128828466E-1
3.474218750E-1,-4.569669068E-1,9.753096581E0,2.391999066E-1
3.523843750E-1,-4.665437341E-1,9.827268600E0,3.947368264E-1
3.573484380E-1,-4.856877327E-1,9.867951393E0,4.114866555E-1
3.623109380E-1,-4.761109650E-1,9.865556717E0,4.689091742E-1
3.672734380E-1,-4.952549636E-1,9.844018936E0,5.406969786E-1
3.722375000E-1,-4.689379334E-1,9.848807335E0,6.459843516E-1
3.772000000E-1,-4.928607643E-1,9.841633797E0,5.813696384E-1
3.821640630E-1,-4.952549636E-1,9.822490692E0,5.550525784E-1
3.871265630E-1,-4.617553055E-1,9.824884415E0,5.454853773E-1
3.920906250E-1,-4.282556474E-1,9.800951958E0,4.928416312E-1
3.970531250E-1,-5.239662528E-1,9.834450722E0,4.784860015E-1
4.020156250E-1,-5.120047927E-1,9.810519218E0,4.952358305E-1
4.069796880E-1,-5.622543097E-1,9.889489174E0,5.454853773E-1
4.119421880E-1,-6.196768880E-1,9.844018936E0,4.808706343E-1
4.169062500E-1,-6.029270291E-1,9.875133514E0,5.765908360E-1
4.218687500E-1,-6.795032024E-1,9.889489174E0,5.430911183E-1
4.268312500E-1,-6.483976841E-1,9.851201057E0,5.765908360E-1
4.317953130E-1,-6.771089435E-1,9.894268990E0,6.794840097E-1
4.367578130E-1,-6.866762042E-1,9.891883850E0,6.316191554E-1
4.417218750E-1,-7.393198609E-1,9.927767754E0,6.316191554E-1
4.466843750E-1,-6.866762042E-1,9.930162430E0,6.818686724E-1
4.516484380E-1,-7.225700617E-1,9.879913330E0,7.871560454E-1
4.566109380E-1,-6.866762042E-1,9.894268990E0,8.254441619E-1
4.615734380E-1,-6.531764865E-1,9.913412094E0,8.541554213E-1
4.665375000E-1,-6.005424261E-1,9.951700211E0,8.541554213E-1
4.715000000E-1,-6.077154279E-1,9.985199928E0,8.254441619E-1
4.764625000E-1,-6.268594265E-1,9.966055870E0,8.134731650E-1
4.814265630E-1,-6.220710278E-1,9.932557106E0,6.675130129E-1
4.863890630E-1,-6.029270291E-1,9.901451111E0,6.746956110E-1
4.913531250E-1,-6.101096272E-1,9.922988892E0,7.440891862E-1
4.963156250E-1,-5.646485090E-1,9.927767754E0,6.364075541E-1
5.012796880E-1,-5.933598280E-1,9.891883850E0,6.268403530E-1
5.062421880E-1,-5.455045104E-1,9.855990410E0,5.000146627E-1
5.112046880E-1,-5.766099691E-1,9.913412094E0,4.449863136E-1
5.161687500E-1,-5.885714293E-1,9.915806770E0,4.090924561E-1
5.211328130E-1,-6.196768880E-1,9.860768318E0,3.277374804E-1
5.260953130E-1,-6.077154279E-1,9.860768318E0,3.061992526E-1
5.310578130E-1,-6.483976841E-1,9.879913330E0,3.301316798E-1
5.360218750E-1,-5.981481671E-1,9.877518654E0,3.157664835E-1
