"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,4.050909355E-2,1.737265825E0,1.407834888E0
4.964063000E-3,4.050909355E-2,1.737265825E0,1.407834888E0
9.926563000E-3,4.050909355E-2,1.737265825E0,1.407834888E0
1.489062500E-2,4.050909355E-2,1.737265825E0,1.407834888E0
1.985312500E-2,0.000000000E0,0.000000000E0,0.000000000E0
2.481562500E-2,0.000000000E0,0.000000000E0,0.000000000E0
2.977968800E-2,5.585053586E-4,3.557644129E0,9.689020514E-1
3.474218800E-2,5.585053586E-4,3.557644129E0,9.689020514E-1
3.970625000E-2,1.343903542E-1,3.181124449E0,8.572883010E-1
4.466875000E-2,1.343903542E-1,3.181124449E0,8.572883010E-1
4.963281300E-2,3.278077245E-1,3.301936150E0,8.362047076E-1
5.459531300E-2,3.278077245E-1,3.301936150E0,8.362047076E-1
5.955781300E-2,5.493074656E-1,2.933270216E0,7.131066322E-1
6.452187500E-2,5.493074656E-1,2.933270216E0,7.131066322E-1
6.948437500E-2,7.236658931E-1,2.483882666E0,5.834810138E-1
7.444843800E-2,8.372344375E-1,2.215119600E0,4.955164194E-1
7.941093800E-2,8.372344375E-1,2.215119600E0,4.955164194E-1
8.437500000E-2,8.372344375E-1,2.215119600E0,4.955164194E-1
8.933750000E-2,8.932420611E-1,1.915725708E0,4.184426963E-1
9.430000000E-2,8.932420611E-1,1.915725708E0,4.184426963E-1
9.926406300E-2,9.111666083E-1,1.671781063E0,3.588047922E-1
1.042265630E-1,9.111666083E-1,1.671781063E0,3.588047922E-1
1.091906250E-1,9.030507803E-1,1.525435209E0,3.139672875E-1
1.141531250E-1,9.030507803E-1,1.525435209E0,3.139672875E-1
1.191171880E-1,8.785987496E-1,1.331337094E0,2.590941191E-1
1.240796880E-1,8.785987496E-1,1.331337094E0,2.590941191E-1
1.290421880E-1,8.392764926E-1,1.085350394E0,1.954070628E-1
1.340062500E-1,8.392764926E-1,1.085350394E0,1.954070628E-1
1.389687500E-1,7.971616983E-1,8.247029781E-1,1.290845573E-1
1.439328130E-1,7.971616983E-1,8.247029781E-1,1.290845573E-1
1.488953130E-1,7.558497190E-1,5.950002074E-1,6.895796210E-2
1.538593750E-1,7.558497190E-1,5.950002074E-1,6.895796210E-2
1.588218750E-1,7.149043083E-1,3.938510120E-1,1.549852360E-2
