"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,4.690432847E-1,1.007851696E1,2.256353140E0
4.962500000E-3,7.274637818E-1,1.008330441E1,2.265920401E0
9.925000000E-3,1.139036655E0,1.002109337E1,2.091248989E0
1.488906200E-2,1.335246325E0,9.867951393E0,1.873501062E0
1.985312500E-2,1.440533638E0,9.779414177E0,1.631820798E0
2.481718700E-2,1.421389699E0,9.710029602E0,1.359044671E0
2.977968700E-2,1.340034723E0,9.705241203E0,1.268112898E0
3.474218700E-2,1.284996867E0,9.710029602E0,9.522601962E-1
3.970468700E-2,9.404328465E-1,9.683703423E0,8.086943030E-1
4.466718700E-2,7.178965807E-1,9.693280220E0,6.627342105E-1
4.963281200E-2,5.886863470E-1,9.674136162E0,4.545535445E-1
5.459531200E-2,4.522934258E-1,9.619097710E0,2.966320217E-1
5.955781200E-2,2.082285136E-1,9.702846527E0,2.918435931E-1
6.452187500E-2,-6.694187969E-2,9.712413788E0,1.554507315E-1
6.948437500E-2,-3.373238444E-1,9.712413788E0,2.296326756E-1
7.444843700E-2,-4.354382753E-1,9.710029602E0,1.530565321E-1
7.941093700E-2,-4.402170777E-1,9.726778984E0,1.363066882E-1
8.437500000E-2,-4.282556474E-1,9.738740921E0,2.128828466E-1
8.933593700E-2,-4.019385576E-1,9.726778984E0,3.229490519E-1
9.430000000E-2,-3.756119311E-1,9.714808464E0,5.143703222E-1
9.926250000E-2,-3.732177317E-1,9.733952522E0,7.704062462E-1
1.042265620E-1,-2.081135809E-1,9.772240639E0,9.379045963E-1
1.091906250E-1,-2.081135809E-1,9.824884415E0,9.857599139E-1
1.141531250E-1,-1.650466919E-1,9.810519218E0,1.083864689E0
1.191171870E-1,-1.770081222E-1,9.805740356E0,1.002509713E0
1.240796870E-1,-1.841907203E-1,9.808135033E0,9.259431362E-1
1.290421870E-1,-1.147971824E-1,9.817702293E0,8.661168218E-1
1.340046870E-1,-5.258624628E-2,9.827268600E0,7.871560454E-1
1.389687500E-1,-3.344221041E-2,9.872738838E0,7.943387032E-1
1.439328120E-1,-6.215347722E-2,9.867951393E0,7.584447861E-1
1.488953120E-1,-5.975927413E-2,9.858384132E0,9.474717975E-1
1.538578120E-1,2.877830528E-2,9.870346069E0,9.642215967E-1
1.588218750E-1,-3.104800731E-2,9.884700775E0,1.036009431E0
1.637843750E-1,-1.171913818E-1,9.875133514E0,1.103008628E0
1.687484370E-1,-1.650466919E-1,9.956489563E0,1.191546321E0
1.737109370E-1,-2.009405643E-1,9.951700211E0,1.201113582E0
1.786734370E-1,-1.746139228E-1,9.927767754E0,1.174796462E0
1.836359370E-1,-6.454767287E-2,9.908634186E0,1.170008063E0
1.886015620E-1,3.116292879E-2,9.911018372E0,1.050364971E0
1.935640620E-1,5.748957023E-2,9.942132950E0,1.103008628E0
