"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,6.201154739E-2,-1.934522986E-1,7.530397773E-1
4.962500000E-3,6.201154739E-2,-1.934522986E-1,7.530397773E-1
9.925000000E-3,0.000000000E0,0.000000000E0,0.000000000E0
1.488906200E-2,5.270894151E-3,-1.202531811E-2,1.338667516E-2
1.985312500E-2,5.270894151E-3,-1.202531811E-2,1.338667516E-2
2.481718700E-2,1.610938832E-2,-3.071779385E-2,2.417281084E-2
2.977968700E-2,1.610938832E-2,-3.071779385E-2,2.417281084E-2
3.474218700E-2,3.666936606E-2,-6.656685472E-2,3.153809905E-2
3.970468700E-2,3.666936606E-2,-6.656685472E-2,3.153809905E-2
4.466718700E-2,4.434357882E-1,-9.434900880E-1,1.709724516E-1
4.963281200E-2,4.434357882E-1,-9.434900880E-1,1.709724516E-1
5.459531200E-2,4.900535345E-1,-1.144813776E0,5.455899239E-2
5.955781200E-2,4.900535345E-1,-1.144813776E0,5.455899239E-2
6.452187500E-2,5.716127753E-1,-1.417643666E0,-2.631956525E-2
6.948437500E-2,5.716127753E-1,-1.417643666E0,-2.631956525E-2
7.444843700E-2,6.201329231E-1,-1.586818457E0,-1.046324894E-1
7.941093700E-2,6.201329231E-1,-1.586818457E0,-1.046324894E-1
8.437500000E-2,6.462081671E-1,-1.735991716E0,-2.412917614E-1
8.933593700E-2,6.462081671E-1,-1.735991716E0,-2.412917614E-1
9.430000000E-2,6.458241940E-1,-1.816625953E0,-3.344574571E-1
9.926250000E-2,6.458241940E-1,-1.816625953E0,-3.344574571E-1
1.042265620E-1,6.143209934E-1,-1.854080677E0,-4.668057561E-1
1.091906250E-1,6.143209934E-1,-1.854080677E0,-4.668057561E-1
1.141531250E-1,5.663418770E-1,-1.848495603E0,-5.927312374E-1
1.191171870E-1,5.663418770E-1,-1.848495603E0,-5.927312374E-1
1.240796870E-1,5.156400800E-1,-1.784843445E0,-6.644468307E-1
1.290421870E-1,5.156400800E-1,-1.784843445E0,-6.644468307E-1
1.340046870E-1,4.676086009E-1,-1.703598380E0,-6.820572019E-1
1.389687500E-1,4.676086009E-1,-1.703598380E0,-6.820572019E-1
1.439328120E-1,4.248654842E-1,-1.594428062E0,-6.606420279E-1
1.488953120E-1,4.248654842E-1,-1.594428062E0,-6.606420279E-1
1.538578120E-1,3.848451078E-1,-1.478974581E0,-6.263114214E-1
1.588218750E-1,3.848451078E-1,-1.478974581E0,-6.263114214E-1
1.637843750E-1,3.473030627E-1,-1.353118896E0,-5.861862898E-1
1.687484370E-1,3.473030627E-1,-1.353118896E0,-5.861862898E-1
1.737109370E-1,3.108780384E-1,-1.252500653E0,-5.540722013E-1
1.786734370E-1,3.108780384E-1,-1.252500653E0,-5.540722013E-1
1.836359370E-1,2.783276439E-1,-1.161464214E0,-5.230926275E-1
1.886015620E-1,2.783276439E-1,-1.161464214E0,-5.230926275E-1
1.935640620E-1,2.487966865E-1,-1.075855851E0,-4.853062630E-1
1.985265620E-1,2.487966865E-1,-1.075855851E0,-4.853062630E-1
2.034906250E-1,2.202780098E-1,-9.806132317E-1,-4.473627806E-1
2.084531250E-1,2.202780098E-1,-9.806132317E-1,-4.473627806E-1
2.134156250E-1,1.916720569E-1,-8.761901855E-1,-4.109203219E-1
2.183796870E-1,1.916720569E-1,-8.761901855E-1,-4.109203219E-1
2.233421870E-1,1.614080518E-1,-7.772300243E-1,-3.764500618E-1
2.283046870E-1,1.614080518E-1,-7.772300243E-1,-3.764500618E-1
2.332687500E-1,1.334129721E-1,-6.847101450E-1,-3.467445672E-1
2.382328120E-1,1.334129721E-1,-6.847101450E-1,-3.467445672E-1
2.431953120E-1,1.096241325E-1,-6.130818129E-1,-3.231651485E-1
2.481578120E-1,1.096241325E-1,-6.130818129E-1,-3.231651485E-1
2.531203120E-1,8.990190923E-2,-5.487315059E-1,-3.027273715E-1
2.580843750E-1,8.990190923E-2,-5.487315059E-1,-3.027273715E-1
2.630468750E-1,1.471312530E-2,-9.770353138E-2,-5.534439161E-2
2.680109370E-1,1.471312530E-2,-9.770353138E-2,-5.534439161E-2
2.729734370E-1,1.401499379E-2,-9.843657166E-2,-5.684537441E-2
2.779359370E-1,1.401499379E-2,-9.843657166E-2,-5.684537441E-2
2.829015620E-1,1.356120780E-2,-1.012465507E-1,-5.909684673E-2
2.878640620E-1,1.356120780E-2,-1.012465507E-1,-5.909684673E-2
2.928281250E-1,1.347394194E-2,-1.067094281E-1,-6.150540337E-2
2.977906250E-1,1.347394194E-2,-1.067094281E-1,-6.150540337E-2
3.027531250E-1,7.024950534E-2,-5.660626292E-1,-3.282615244E-1
3.077156250E-1,7.024950534E-2,-5.660626292E-1,-3.282615244E-1
3.126796870E-1,6.361725181E-2,-5.296376348E-1,-3.113842010E-1
3.176421870E-1,6.361725181E-2,-5.296376348E-1,-3.113842010E-1
3.226046870E-1,6.436774135E-2,-5.370029211E-1,-3.109478652E-1
3.275687500E-1,6.436774135E-2,-5.370029211E-1,-3.109478652E-1
3.325312500E-1,8.114035428E-2,-6.056641340E-1,-3.271968663E-1
3.374953120E-1,8.114035428E-2,-6.056641340E-1,-3.271968663E-1
3.424578120E-1,1.064650863E-1,-7.020238042E-1,-3.547032773E-1
3.474203120E-1,1.064650863E-1,-7.020238042E-1,-3.547032773E-1
3.523843750E-1,1.269203424E-1,-7.862184644E-1,-3.802374303E-1
3.573484370E-1,1.269203424E-1,-7.862184644E-1,-3.802374303E-1
3.623109370E-1,1.326624751E-1,-8.222594857E-1,-3.955788612E-1
3.672734370E-1,1.326624751E-1,-8.222594857E-1,-3.955788612E-1
3.722375000E-1,1.225221157E-1,-7.914544344E-1,-3.931877613E-1
3.772000000E-1,1.225221157E-1,-7.914544344E-1,-3.931877613E-1
3.821640620E-1,1.043008789E-1,-7.197912335E-1,-3.724183440E-1
3.871265620E-1,1.043008789E-1,-7.197912335E-1,-3.724183440E-1
3.920906250E-1,8.672541380E-2,-6.372197270E-1,-3.354348242E-1
3.970531250E-1,8.672541380E-2,-6.372197270E-1,-3.354348242E-1
4.020171870E-1,7.538077235E-2,-5.637762547E-1,-2.939483523E-1
4.069796870E-1,7.538077235E-2,-5.637762547E-1,-2.939483523E-1
4.119437500E-1,6.052801758E-2,-4.795117676E-1,-2.536661625E-1
4.169062500E-1,6.052801758E-2,-4.795117676E-1,-2.536661625E-1
4.218687500E-1,3.722787276E-2,-3.801327050E-1,-2.168222517E-1
4.268328120E-1,3.722787276E-2,-3.801327050E-1,-2.168222517E-1
4.317953120E-1,1.532399096E-2,-2.924822867E-1,-1.871342063E-1
4.367578120E-1,1.532399096E-2,-2.924822867E-1,-1.871342063E-1
4.417218750E-1,3.316125658E-4,-2.270847857E-1,-1.643052995E-1
4.466859370E-1,3.316125658E-4,-2.270847857E-1,-1.643052995E-1
4.516484370E-1,-9.058258496E-3,-1.670280099E-1,-1.373399645E-1
4.566109370E-1,-9.058258496E-3,-1.670280099E-1,-1.373399645E-1
4.615734370E-1,-1.743583940E-2,-1.048419252E-1,-1.082278639E-1
4.665375000E-1,-1.743583940E-2,-1.048419252E-1,-1.082278639E-1
4.715000000E-1,-2.309070528E-2,-5.635667965E-2,-8.351400495E-2
4.764625000E-1,-2.309070528E-2,-5.635667965E-2,-8.351400495E-2
4.814265620E-1,-2.401573025E-2,-3.445279971E-2,-6.640977412E-2
4.863890620E-1,-2.401573025E-2,-3.445279971E-2,-6.640977412E-2
4.913531250E-1,-2.022836544E-2,-2.092649788E-2,-5.307546258E-2
4.963156250E-1,-2.022836544E-2,-2.092649788E-2,-5.307546258E-2
5.012781250E-1,-1.612684131E-2,-1.361356769E-2,-4.295255244E-2
5.062421870E-1,-1.612684131E-2,-1.361356769E-2,-4.295255244E-2
5.112046870E-1,-2.775073517E-3,-3.525565146E-3,-7.888888009E-3
5.161687500E-1,-2.775073517E-3,-3.525565146E-3,-7.888888009E-3
5.211312500E-1,-2.251474652E-3,-6.283185445E-3,-8.569566533E-3
5.260953120E-1,-2.251474652E-3,-6.283185445E-3,-8.569566533E-3
5.310578120E-1,-1.256637042E-3,-9.320057929E-3,-9.075712413E-3
5.360218750E-1,-1.256637042E-3,-9.320057929E-3,-9.075712413E-3
5.409843750E-1,-1.047197584E-4,-1.268854365E-2,-9.564404376E-3
5.459468750E-1,-1.047197584E-4,-1.268854365E-2,-9.564404376E-3
5.509109370E-1,-8.901178953E-4,-7.187265903E-2,-4.953244328E-2
5.558734370E-1,-8.901178953E-4,-7.187265903E-2,-4.953244328E-2
5.608375000E-1,-5.777040031E-3,-7.271041721E-2,-4.537856206E-2
5.658000000E-1,-5.777040031E-3,-7.271041721E-2,-4.537856206E-2
5.707625000E-1,-8.726646192E-3,-8.093091846E-2,-4.204498231E-2
5.757265620E-1,-8.726646192E-3,-8.093091846E-2,-4.204498231E-2
5.806890620E-1,-9.948376566E-3,-1.006705910E-1,-4.007275775E-2
5.856531250E-1,-9.948376566E-3,-1.006705910E-1,-4.007275775E-2
5.906156250E-1,-9.424777701E-3,-1.204451695E-1,-3.860668465E-2
5.955796870E-1,-9.424777701E-3,-1.204451695E-1,-3.860668465E-2
6.005421870E-1,-1.012290921E-2,-1.102349982E-1,-3.178244457E-2
6.055046870E-1,-1.012290921E-2,-1.102349982E-1,-3.178244457E-2
6.104687500E-1,-1.153662615E-2,-8.929104358E-2,-2.078687213E-2
6.154328120E-1,-1.153662615E-2,-8.929104358E-2,-2.078687213E-2
6.203953120E-1,-1.253146399E-2,-7.649777830E-2,-4.502949305E-3
6.253593750E-1,-1.253146399E-2,-7.649777830E-2,-4.502949305E-3
6.303218750E-1,-1.007054932E-2,-3.733259439E-2,3.471459821E-2
6.352843750E-1,-1.007054932E-2,-3.733259439E-2,3.471459821E-2
6.402484370E-1,-3.700098023E-3,-2.799508162E-2,5.787511915E-2
6.452109370E-1,-3.700098023E-3,-2.799508162E-2,5.787511915E-2
6.501734370E-1,-2.373647876E-3,-4.841543362E-2,4.406956211E-2
6.551375000E-1,-2.373647876E-3,-4.841543362E-2,4.406956211E-2
6.601000000E-1,-1.745329209E-4,-7.319910824E-2,3.251548484E-2
6.650640620E-1,-1.745329209E-4,-7.319910824E-2,3.251548484E-2
6.700265620E-1,9.075712296E-4,-7.724827528E-2,3.492403775E-2
6.749906250E-1,9.075712296E-4,-7.724827528E-2,3.492403775E-2
6.799531250E-1,-2.164208330E-3,-6.206390634E-2,4.738568887E-2
6.849156250E-1,-2.164208330E-3,-6.206390634E-2,4.738568887E-2
6.898796870E-1,-8.395033889E-3,-4.511675984E-2,5.824163556E-2
6.948421870E-1,-8.395033889E-3,-4.511675984E-2,5.824163556E-2
6.998062500E-1,-1.298524998E-2,-4.284783453E-2,6.150540337E-2
7.047687500E-1,-1.298524998E-2,-4.284783453E-2,6.150540337E-2
7.097328120E-1,-1.506219152E-2,-4.843288660E-2,5.754350498E-2
7.146953120E-1,-1.506219152E-2,-4.843288660E-2,5.754350498E-2
7.196593750E-1,-3.769911081E-2,-2.234021435E-3,5.616469681E-2
7.246218750E-1,-3.769911081E-2,-2.234021435E-3,5.616469681E-2
7.295843750E-1,-8.028514683E-2,8.134979755E-2,5.939355493E-2
7.345484370E-1,-8.028514683E-2,8.134979755E-2,5.939355493E-2
7.395109370E-1,-1.243721619E-1,1.775174439E-1,6.646213681E-2
7.444750000E-1,-1.243721619E-1,1.775174439E-1,6.646213681E-2
7.494375000E-1,-1.510582417E-1,2.265088260E-1,7.012733072E-2
7.544000000E-1,-1.510582417E-1,2.265088260E-1,7.012733072E-2
7.593640620E-1,-1.538158655E-1,2.143613398E-1,6.482152641E-2
7.643265620E-1,-1.538158655E-1,2.143613398E-1,6.482152641E-2
7.692906250E-1,-1.441991031E-1,1.602735817E-1,5.443681777E-2
7.742531250E-1,-1.441991031E-1,1.602735817E-1,5.443681777E-2
7.792171870E-1,-1.326450258E-1,1.024508253E-1,4.202752933E-2
7.841796870E-1,-1.326450258E-1,1.024508253E-1,4.202752933E-2
7.891421870E-1,-1.211607531E-1,5.550146848E-2,2.761110850E-2
7.941062500E-1,-1.211607531E-1,5.550146848E-2,2.761110850E-2
7.990687500E-1,-1.129751652E-1,2.228785492E-2,1.221730467E-2
8.040328120E-1,-1.129751652E-1,2.228785492E-2,1.221730467E-2
8.089953120E-1,-1.080009714E-1,-3.473205259E-3,-4.642575979E-3
8.139593750E-1,-1.080009714E-1,-3.473205259E-3,-4.642575979E-3
8.189218750E-1,-1.069886833E-1,-2.892010473E-2,-1.879719645E-2
8.238843750E-1,-1.069886833E-1,-2.892010473E-2,-1.879719645E-2
8.288484370E-1,-1.109680310E-1,-1.136209350E-2,-2.408554405E-2
8.338109370E-1,-1.109680310E-1,-1.136209350E-2,-2.408554405E-2
8.387750000E-1,-1.148252115E-1,1.148426626E-2,-2.682571113E-2
8.437375000E-1,-1.148252115E-1,1.148426626E-2,-2.682571113E-2
8.487015620E-1,-1.192583442E-1,2.193878777E-2,-2.998475730E-2
8.536640620E-1,-1.192583442E-1,2.193878777E-2,-2.998475730E-2
8.586265620E-1,-1.240230948E-1,3.736750036E-2,-3.118903376E-2
8.635906250E-1,-1.240230948E-1,3.736750036E-2,-3.118903376E-2
8.685531250E-1,-1.222603172E-1,4.679227620E-2,-3.239331022E-2
8.735171870E-1,-1.222603172E-1,4.679227620E-2,-3.239331022E-2
8.784796870E-1,-1.158898622E-1,3.874630854E-2,-3.640756756E-2
8.834421870E-1,-1.158898622E-1,3.874630854E-2,-3.640756756E-2
8.884062500E-1,-1.094495952E-1,2.542944625E-2,-4.061381146E-2
8.933687500E-1,-1.094495952E-1,2.542944625E-2,-4.061381146E-2
8.983328120E-1,-1.059763953E-1,2.324778587E-2,-4.497713596E-2
9.032953120E-1,-1.059763953E-1,2.324778587E-2,-4.497713596E-2
9.082593750E-1,-1.039343551E-1,2.392846346E-2,-4.968952388E-2
9.132218750E-1,-1.039343551E-1,2.392846346E-2,-4.968952388E-2
9.181843750E-1,-1.049640998E-1,2.528982051E-2,-5.304055661E-2
9.231484370E-1,-1.049640998E-1,2.528982051E-2,-5.304055661E-2
9.281109370E-1,-2.122320421E-2,8.011061698E-3,-1.062905509E-2
9.330750000E-1,-2.122320421E-2,8.011061698E-3,-1.062905509E-2
9.380375000E-1,-2.459168993E-2,1.162389293E-2,-1.242674422E-2
9.430015620E-1,-2.459168993E-2,1.162389293E-2,-1.242674422E-2
9.479640620E-1,-2.937389165E-2,1.497492474E-2,-1.712168008E-2
9.529265620E-1,-2.937389165E-2,1.497492474E-2,-1.712168008E-2
9.578906250E-1,-3.766420484E-2,3.146828711E-2,-1.745329238E-2
9.628531250E-1,-3.766420484E-2,3.146828711E-2,-1.745329238E-2
9.678171870E-1,-2.326523811E-1,2.759191096E-1,-6.686356664E-2
9.727796870E-1,-2.326523811E-1,2.759191096E-1,-6.686356664E-2
9.777437500E-1,-2.391624600E-1,3.366740048E-1,-3.946189582E-2
9.827062500E-1,-2.391624600E-1,3.366740048E-1,-3.946189582E-2
9.876687500E-1,-2.245191485E-1,3.325375915E-1,-2.897246554E-2
9.926328120E-1,-2.245191485E-1,3.325375915E-1,-2.897246554E-2
9.975953120E-1,-1.923003793E-1,2.755525708E-1,-2.925171889E-2
1.002559375E0,-1.923003793E-1,2.755525708E-1,-2.925171889E-2
1.007521875E0,-1.570098251E-1,2.104692608E-1,-3.173008561E-2
1.012485937E0,-1.570098251E-1,2.104692608E-1,-3.173008561E-2
1.017448437E0,-1.321912408E-1,1.799783558E-1,-2.926917188E-2
1.022410937E0,-1.321912408E-1,1.799783558E-1,-2.926917188E-2
1.027375000E0,-1.118057892E-1,1.658237278E-1,-2.232276089E-2
1.032337500E0,-1.118057892E-1,1.658237278E-1,-2.232276089E-2
1.037301562E0,-6.241297349E-2,7.387978584E-2,-2.511528693E-2
1.042264062E0,-6.241297349E-2,7.387978584E-2,-2.511528693E-2
1.047228125E0,1.436406001E-2,-8.546877652E-2,-3.853686899E-2
1.052190625E0,1.436406001E-2,-8.546877652E-2,-3.853686899E-2
1.057153125E0,8.620180935E-2,-2.462834120E-1,-5.274384841E-2
1.062117187E0,8.620180935E-2,-2.462834120E-1,-5.274384841E-2
1.067079687E0,1.231155246E-1,-3.222750425E-1,-5.579817668E-2
1.072043750E0,1.231155246E-1,-3.222750425E-1,-5.579817668E-2
1.077006250E0,1.285958588E-1,-3.117856085E-1,-4.359832406E-2
1.081970312E0,1.285958588E-1,-3.117856085E-1,-4.359832406E-2
1.086932812E0,1.232027933E-1,-2.630036771E-1,-2.028072625E-2
1.091895312E0,1.232027933E-1,-2.630036771E-1,-2.028072625E-2
1.096859375E0,1.180715263E-1,-2.005208731E-1,7.120943163E-3
1.101821875E0,1.180715263E-1,-2.005208731E-1,7.120943163E-3
1.106785937E0,1.134638563E-1,-1.433613449E-1,2.783800103E-2
1.111748437E0,1.134638563E-1,-1.433613449E-1,2.783800103E-2
1.116712500E0,1.095543131E-1,-1.201833710E-1,3.420845419E-2
1.121675000E0,1.095543131E-1,-1.201833710E-1,3.420845419E-2
1.126637500E0,1.084024012E-1,-1.088038236E-1,3.103195317E-2
1.131601562E0,1.084024012E-1,-1.088038236E-1,3.103195317E-2
1.136564062E0,1.115614474E-1,-1.110727564E-1,1.733111963E-2
1.141528125E0,1.115614474E-1,-1.110727564E-1,1.733111963E-2
1.146490625E0,1.182809621E-1,-1.311265826E-1,-1.745329246E-5
1.151454687E0,1.182809621E-1,-1.311265826E-1,-1.745329246E-5
1.156417187E0,1.228537261E-1,-1.580395699E-1,-1.183333248E-2
1.161379687E0,1.228537261E-1,-1.580395699E-1,-1.183333248E-2
1.166343750E0,1.302713752E-1,-1.560847908E-1,-1.336922217E-2
1.171306250E0,1.302713752E-1,-1.560847908E-1,-1.336922217E-2
1.176270312E0,1.426806599E-1,-1.843940318E-1,-3.384193406E-2
1.181232812E0,1.426806599E-1,-1.843940318E-1,-3.384193406E-2
1.186195312E0,1.509709805E-1,-2.380629033E-1,-7.459536940E-2
1.191159375E0,1.509709805E-1,-2.380629033E-1,-7.459536940E-2
1.196121875E0,1.489987522E-1,-3.118903339E-1,-1.596801728E-1
1.201085937E0,1.489987522E-1,-3.118903339E-1,-1.596801728E-1
1.206048437E0,1.528559327E-1,-3.550348878E-1,-1.978330761E-1
1.211010937E0,1.528559327E-1,-3.550348878E-1,-1.978330761E-1
1.215975000E0,1.500284970E-1,-3.481059074E-1,-1.887049973E-1
1.220937500E0,1.500284970E-1,-3.481059074E-1,-1.887049973E-1
1.225900000E0,1.358564347E-1,-2.787814438E-1,-1.565734893E-1
1.230864062E0,1.358564347E-1,-2.787814438E-1,-1.565734893E-1
1.235826562E0,1.189267337E-1,-2.194751501E-1,-1.314756572E-1
1.240790625E0,1.189267337E-1,-2.194751501E-1,-1.314756572E-1
1.245753125E0,1.040041670E-1,-1.651255935E-1,-1.097113937E-1
1.250717187E0,1.040041670E-1,-1.651255935E-1,-1.097113937E-1
1.255679687E0,9.274679422E-2,-1.271123290E-1,-9.246754646E-2
1.260643750E0,9.274679422E-2,-1.271123290E-1,-9.246754646E-2
1.265606250E0,8.262388408E-2,-6.499606371E-2,-5.122541264E-2
1.270570312E0,8.262388408E-2,-6.499606371E-2,-5.122541264E-2
1.275532812E0,7.250097394E-2,4.555309191E-2,2.504547499E-2
1.280495312E0,7.250097394E-2,4.555309191E-2,2.504547499E-2
1.285459375E0,6.372196972E-2,1.470265388E-1,1.043532342E-1
1.290421875E0,6.372196972E-2,1.470265388E-1,1.043532342E-1
1.295385937E0,5.614724010E-2,2.657787502E-1,1.998576522E-1
1.300348437E0,5.614724010E-2,2.657787502E-1,1.998576522E-1
1.305312500E0,4.909611121E-2,3.390476704E-1,2.583611012E-1
1.310275000E0,4.909611121E-2,3.390476704E-1,2.583611012E-1
1.315239062E0,4.211479425E-2,3.607944548E-1,2.610838115E-1
1.320201562E0,4.211479425E-2,3.607944548E-1,2.610838115E-1
1.325164062E0,3.153809905E-2,3.358536959E-1,2.246413231E-1
1.330128125E0,3.153809905E-2,3.358536959E-1,2.246413231E-1
1.335090625E0,1.729621366E-2,3.277379274E-1,1.814444214E-1
1.340054687E0,1.729621366E-2,3.277379274E-1,1.814444214E-1
1.345017187E0,1.064650831E-3,3.260624111E-1,1.465029418E-1
1.349979687E0,1.064650831E-3,3.260624111E-1,1.465029418E-1
1.354942187E0,-3.085742146E-2,3.803595901E-1,1.337271333E-1
1.359906250E0,-3.085742146E-2,3.803595901E-1,1.337271333E-1
1.364870312E0,-7.874925435E-2,4.959178567E-1,1.323657632E-1
1.369832812E0,-7.874925435E-2,4.959178567E-1,1.323657632E-1
1.374796875E0,-1.193107069E-1,5.461658835E-1,9.751154482E-2
1.379759375E0,-1.193107069E-1,5.461658835E-1,9.751154482E-2
1.384721875E0,-1.373574138E-1,5.024453998E-1,2.253220044E-2
1.389685937E0,-1.373574138E-1,5.024453998E-1,2.253220044E-2
1.394648437E0,-1.378286481E-1,4.101349115E-1,-6.911503524E-2
1.399612500E0,-1.378286481E-1,4.101349115E-1,-6.911503524E-2
1.404575000E0,-1.295732409E-1,3.329041004E-1,-1.340587437E-1
1.409539062E0,-1.295732409E-1,3.329041004E-1,-1.340587437E-1
1.414501562E0,-1.163087413E-1,2.655344009E-1,-1.739395112E-1
1.419464062E0,-1.163087413E-1,2.655344009E-1,-1.739395112E-1
1.424428125E0,-1.010196581E-1,2.130523473E-1,-1.957386732E-1
1.429390625E0,-1.010196581E-1,2.130523473E-1,-1.957386732E-1
1.434354687E0,-8.777260780E-2,1.691573113E-1,-2.062455565E-1
1.439317187E0,-8.777260780E-2,1.691573113E-1,-2.062455565E-1
1.444281250E0,-7.993607968E-2,1.529432088E-1,-2.013237327E-1
1.449243750E0,-7.993607968E-2,1.529432088E-1,-2.013237327E-1
1.454206250E0,-6.490879506E-2,1.374970376E-1,-1.881464869E-1
1.459170312E0,-6.490879506E-2,1.374970376E-1,-1.881464869E-1
1.464132812E0,-4.201007634E-2,1.059589386E-1,-1.748470813E-1
1.469096875E0,-4.201007634E-2,1.059589386E-1,-1.748470813E-1
1.474059375E0,-1.254891697E-2,5.408775434E-2,-1.659808159E-1
1.479023437E0,-1.254891697E-2,5.408775434E-2,-1.659808159E-1
1.483985937E0,1.366592757E-2,2.059488557E-2,-1.564338654E-1
1.488948437E0,1.366592757E-2,2.059488557E-2,-1.564338654E-1
1.493912500E0,3.326597437E-2,-1.551597659E-2,-1.452812105E-1
1.498875000E0,3.326597437E-2,-1.551597659E-2,-1.452812105E-1
1.503839062E0,6.010913849E-2,-5.956808850E-2,-1.350361258E-1
1.508801562E0,6.010913849E-2,-5.956808850E-2,-1.350361258E-1
1.513765625E0,9.443976730E-2,-1.495049000E-1,-1.315629184E-1
1.518728125E0,9.443976730E-2,-1.495049000E-1,-1.315629184E-1
