"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,1.118399978E0,5.342000127E-1,8.644999862E-1
9.928125000E-3,1.018800020E0,3.341999948E-1,1.516999900E-1
1.985468700E-2,5.722999573E-1,2.868999839E-1,-2.793999910E-1
2.977968700E-2,-2.259999886E-2,2.672999799E-1,-6.374999881E-1
3.970781200E-2,-4.745999873E-1,2.352999896E-1,-7.730999589E-1
4.963281200E-2,-6.940000057E-1,2.092999965E-1,-5.941999555E-1
5.955937500E-2,-8.915999532E-1,1.715999991E-1,-3.845999837E-1
6.948593700E-2,-6.347999573E-1,1.563999951E-1,-2.457999885E-1
7.941093700E-2,-3.265999854E-1,1.515000015E-1,3.920000046E-2
8.933750000E-2,-1.061000004E-1,1.665999889E-1,4.368999898E-1
9.926562500E-2,1.404999942E-1,2.633000016E-1,5.151000023E-1
1.091921870E-1,1.363999993E-1,2.513999939E-1,3.804999888E-1
1.191171870E-1,1.391000003E-1,2.795999944E-1,9.950000048E-2
1.290437500E-1,1.440999955E-1,3.346999884E-1,-6.960000098E-2
1.389703120E-1,5.339999869E-2,3.269000053E-1,5.539999902E-2
1.488968750E-1,4.839999974E-2,3.568999767E-1,1.432999969E-1
1.588234370E-1,-9.089999646E-2,4.289000034E-1,2.654999793E-1
1.687484370E-1,-8.769999444E-2,4.053999782E-1,1.880999953E-1
1.786765620E-1,1.066999957E-1,3.908999860E-1,1.099999994E-2
1.886015620E-1,6.589999795E-2,3.841999769E-1,3.099999949E-2
1.985281250E-1,3.639999777E-2,4.257999957E-1,6.859999895E-2
2.084546870E-1,3.379999846E-2,4.356999993E-1,1.155999973E-1
2.183796870E-1,-9.499999881E-2,3.851999938E-1,2.989999950E-2
2.283078120E-1,-1.541000009E-1,5.049999952E-1,5.289999768E-2
2.382328120E-1,-1.109999940E-1,4.192000031E-1,8.410000056E-2
2.481593750E-1,-1.899999916E-3,3.783999979E-1,-2.769999951E-2
2.580859370E-1,2.439999953E-2,4.041000009E-1,-4.999999702E-2
2.680109370E-1,-1.140999943E-1,3.140999973E-1,-5.659999698E-2
2.779390620E-1,-4.069999978E-2,2.985000014E-1,-1.477999985E-1
2.878656250E-1,-9.160000086E-2,2.696000040E-1,-2.154999971E-1
2.977906250E-1,-7.279999554E-2,3.039999902E-1,-9.139999747E-2
3.077171870E-1,2.869999968E-2,3.209999800E-1,2.569999918E-2
3.176437500E-1,2.529999986E-2,2.796999812E-1,1.149999946E-1
3.275703120E-1,1.500000013E-3,3.014000058E-1,1.789999902E-1
3.374953120E-1,1.719999872E-2,3.159999847E-1,1.388999969E-1
3.474234370E-1,-1.027999967E-1,3.289999962E-1,2.689999901E-2
3.573484370E-1,7.000000030E-2,3.495999873E-1,-7.400000002E-3
3.672750000E-1,1.771999896E-1,2.997999787E-1,-9.200000204E-3
3.772015620E-1,1.709999889E-1,3.560999930E-1,6.599999964E-3
3.871281250E-1,1.929000020E-1,3.129000068E-1,-3.799999878E-2
3.970546870E-1,6.229999661E-2,4.007999897E-1,6.920000166E-2
4.069812500E-1,-3.059999831E-2,3.729999959E-1,1.195999980E-1
4.169078120E-1,-5.999999866E-2,3.937000036E-1,7.869999856E-2
4.268328120E-1,2.859999985E-2,3.474999964E-1,1.367999911E-1
4.367609370E-1,5.989999697E-2,3.903999925E-1,6.939999759E-2
4.466859370E-1,2.070000023E-2,3.641999960E-1,1.052999943E-1
4.566125000E-1,1.730000041E-2,3.775999844E-1,1.499999911E-1
4.665375000E-1,-2.529999986E-2,3.603000045E-1,3.039999865E-2
4.764640620E-1,-9.089999646E-2,3.192999959E-1,-6.140000001E-2
4.863906250E-1,-9.420000017E-2,3.273999989E-1,-7.539999485E-2
4.963171870E-1,-9.739999473E-2,3.140999973E-1,-7.009999454E-2
5.062437500E-1,-9.889999777E-2,3.009999990E-1,3.480000049E-2
5.161703120E-1,1.409999933E-2,2.818000019E-1,1.315999925E-1
5.260968750E-1,-9.899999946E-3,3.152999878E-1,1.900999993E-1
5.360218750E-1,5.289999768E-2,3.062999845E-1,3.743000031E-1
5.459484370E-1,9.479999542E-2,3.783999979E-1,3.179000020E-1
5.558750000E-1,-4.499999806E-3,3.276999891E-1,5.619999766E-2
5.658015620E-1,7.069999725E-2,3.015999794E-1,-7.809999585E-2
5.757281250E-1,1.669999957E-2,2.610999942E-1,-1.673000008E-1
5.856546870E-1,-4.189999774E-2,2.202999890E-1,-2.152999938E-1
5.955796870E-1,2.679999918E-2,1.557999998E-1,-2.588000000E-1
