"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-3.804003298E-1,1.020534134E1,2.833020449E0
4.943750000E-3,-3.660447001E-1,1.026755238E1,2.852164507E0
9.906250000E-3,-2.176903933E-1,1.029386997E1,2.684666157E0
1.487031300E-2,5.746084207E-5,1.027234173E1,2.249170542E0
1.983281300E-2,1.920149848E-2,1.021012115E1,1.873501062E0
2.479687500E-2,7.240065839E-3,9.934949875E0,1.466716647E0
2.975937500E-2,-3.104800731E-2,9.899056435E0,1.220257521E0
3.472187500E-2,3.355713189E-2,9.872738838E0,1.071903229E0
3.968593800E-2,1.244793311E-1,9.748308182E0,9.259431362E-1
4.464843800E-2,1.699404269E-1,9.688490868E0,7.273392677E-1
4.961250000E-2,1.890844703E-1,9.659780502E0,5.215529203E-1
5.457500000E-2,1.268735379E-1,9.566453934E0,3.612371385E-1
5.953750000E-2,8.141243458E-2,9.592781067E0,2.033060342E-1
6.450156300E-2,-1.028357521E-1,9.590386391E0,2.272384614E-1
6.946562500E-2,-2.655456960E-1,9.566453934E0,2.368056923E-1
7.442812500E-2,-4.282556474E-1,9.573637009E0,2.966320217E-1
7.939062500E-2,-4.880723953E-1,9.599953651E0,4.760918021E-1
8.435468800E-2,-6.603591442E-1,9.652597427E0,4.713034034E-1
8.931718800E-2,-7.943577766E-1,9.695664406E0,4.617361724E-1
9.427968800E-2,-9.714233875E-1,9.702846527E0,4.186596870E-1
9.924375000E-2,-1.021672964E0,9.724386215E0,3.109876513E-1
1.042062500E-1,-1.031249762E0,9.666953087E0,4.114866555E-1
1.091703130E-1,-1.064749360E0,9.707635880E0,4.856590331E-1
1.141328130E-1,-1.055172563E0,9.698058128E0,5.646198392E-1
1.190968750E-1,-1.012105703E0,9.743529320E0,7.488679886E-1
1.240593750E-1,-9.642503858E-1,9.748308182E0,9.331161380E-1
1.290218750E-1,-9.283565283E-1,9.757884979E0,1.074297428E0
1.339859380E-1,-8.326458931E-1,9.755491257E0,1.215469122E0
1.389484380E-1,-8.446072936E-1,9.772240639E0,1.246574640E0
1.439125000E-1,-7.943577766E-1,9.755491257E0,1.222651720E0
1.488750000E-1,-6.795032024E-1,9.710029602E0,1.181969523E0
1.538390630E-1,-6.507919431E-1,9.693280220E0,1.002509713E0
1.588015630E-1,-5.072164536E-1,9.769846916E0,9.115875363E-1
1.637640630E-1,-4.976491928E-1,9.702846527E0,8.756936789E-1
1.687281250E-1,-5.359276533E-1,9.726778984E0,9.618370533E-1
1.736906250E-1,-5.143990517E-1,9.726778984E0,1.057547569E0
1.786546880E-1,-4.569669068E-1,9.760279655E0,1.165219545E0
1.836171880E-1,-4.521880746E-1,9.774634361E0,1.134114146E0
1.885812500E-1,-4.162942171E-1,9.777029037E0,1.033615232E0
1.935437500E-1,-3.947559893E-1,9.741134644E0,1.019259572E0
1.985062500E-1,-4.354382753E-1,9.717203140E0,1.088653088E0
2.034703130E-1,-3.947559893E-1,9.698058128E0,1.134114146E0
2.084328130E-1,-4.258614480E-1,9.707635880E0,1.143691063E0
2.133968750E-1,-3.708235621E-1,9.731558800E0,1.138902545E0
