"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,5.412440300E-1,2.044653177E0,2.404924154E0
4.943750000E-3,5.412440300E-1,2.044653177E0,2.404924154E0
9.906250000E-3,0.000000000E0,0.000000000E0,0.000000000E0
1.487031300E-2,9.075712296E-4,-1.797689125E-3,3.141592606E-4
1.983281300E-2,9.075712296E-4,-1.797689125E-3,3.141592606E-4
2.479687500E-2,4.782202188E-3,-6.789330859E-3,-3.316125658E-4
2.975937500E-2,4.782202188E-3,-6.789330859E-3,-3.316125658E-4
3.472187500E-2,1.153662615E-2,-1.537635084E-2,-1.151917269E-3
3.968593800E-2,1.153662615E-2,-1.537635084E-2,-1.151917269E-3
4.464843800E-2,8.546702862E-1,-1.242499948E0,-8.976228535E-2
4.961250000E-2,8.546702862E-1,-1.242499948E0,-8.976228535E-2
5.457500000E-2,8.529947400E-1,-1.260808349E0,-8.969247341E-2
5.953750000E-2,8.529947400E-1,-1.260808349E0,-8.969247341E-2
6.450156300E-2,9.745045900E-1,-1.445202470E0,-1.102873534E-1
6.946562500E-2,9.745045900E-1,-1.445202470E0,-1.102873534E-1
7.442812500E-2,1.039989352E0,-1.565106511E0,-1.341634542E-1
7.939062500E-2,1.039989352E0,-1.565106511E0,-1.341634542E-1
8.435468800E-2,1.043235660E0,-1.553430319E0,-1.436929554E-1
8.931718800E-2,1.043235660E0,-1.553430319E0,-1.436929554E-1
9.427968800E-2,1.019900560E0,-1.513427377E0,-1.520705372E-1
9.924375000E-2,1.019900560E0,-1.513427377E0,-1.520705372E-1
1.042062500E-1,9.893049598E-1,-1.485589385E0,-1.544616371E-1
1.091703130E-1,9.893049598E-1,-1.485589385E0,-1.544616371E-1
1.141328130E-1,9.432981014E-1,-1.421972156E0,-1.785995364E-1
1.190968750E-1,9.432981014E-1,-1.421972156E0,-1.785995364E-1
1.240593750E-1,8.824210167E-1,-1.311004043E0,-2.286206782E-1
1.290218750E-1,8.824210167E-1,-1.311004043E0,-2.286206782E-1
1.339859380E-1,8.078605533E-1,-1.147135139E0,-2.886425555E-1
1.389484380E-1,8.078605533E-1,-1.147135139E0,-2.886425555E-1
1.439125000E-1,7.280291915E-1,-9.670869112E-1,-3.376514018E-1
1.488750000E-1,7.280291915E-1,-9.670869112E-1,-3.376514018E-1
1.538390630E-1,6.526833177E-1,-8.221373558E-1,-3.587175310E-1
1.588015630E-1,6.526833177E-1,-8.221373558E-1,-3.587175310E-1
1.637640630E-1,5.872160196E-1,-7.319037914E-1,-3.509508073E-1
1.687281250E-1,5.872160196E-1,-7.319037914E-1,-3.509508073E-1
1.736906250E-1,5.286078453E-1,-6.661747098E-1,-3.292912543E-1
1.786546880E-1,5.286078453E-1,-6.661747098E-1,-3.292912543E-1
1.836171880E-1,4.747295678E-1,-5.967106223E-1,-2.991494238E-1
1.885812500E-1,4.747295678E-1,-5.967106223E-1,-2.991494238E-1
1.935437500E-1,4.268028140E-1,-5.535835028E-1,-2.707878351E-1
1.985062500E-1,4.268028140E-1,-5.535835028E-1,-2.707878351E-1
2.034703130E-1,3.826808929E-1,-5.082398653E-1,-2.441191971E-1
2.084328130E-1,3.826808929E-1,-5.082398653E-1,-2.441191971E-1
2.133968750E-1,3.413165808E-1,-4.633849263E-1,-2.196845859E-1
2.183593750E-1,3.413165808E-1,-4.633849263E-1,-2.196845859E-1
2.233234380E-1,3.045599461E-1,-4.244117141E-1,-1.976585388E-1
2.282859380E-1,3.045599461E-1,-4.244117141E-1,-1.976585388E-1
2.332500000E-1,2.708925605E-1,-3.678455949E-1,-1.761211753E-1
2.382125000E-1,2.708925605E-1,-3.678455949E-1,-1.761211753E-1
2.431750000E-1,2.404365540E-1,-3.214198351E-1,-1.532399058E-1
2.481390630E-1,2.404365540E-1,-3.214198351E-1,-1.532399058E-1
2.531015630E-1,2.119178772E-1,-2.805093229E-1,-1.257509738E-1
2.580640630E-1,2.119178772E-1,-2.805093229E-1,-1.257509738E-1
2.630281250E-1,1.853365153E-1,-2.442064732E-1,-9.698794782E-2
2.679906250E-1,1.853365153E-1,-2.442064732E-1,-9.698794782E-2
2.729546880E-1,1.593311131E-1,-2.106437832E-1,-7.084291428E-2
2.779171880E-1,1.593311131E-1,-2.106437832E-1,-7.084291428E-2
2.828812500E-1,1.351757497E-1,-1.809382886E-1,-4.888667166E-2
2.878437500E-1,1.351757497E-1,-1.809382886E-1,-4.888667166E-2
2.928062500E-1,1.120501384E-1,-1.567131132E-1,-3.230604529E-2
2.977703130E-1,1.120501384E-1,-1.567131132E-1,-3.230604529E-2
3.027328130E-1,8.885471523E-2,-1.346870512E-1,-2.272418700E-2
3.076968750E-1,8.885471523E-2,-1.346870512E-1,-2.272418700E-2
3.126593750E-1,6.747443229E-2,-1.120501384E-1,-1.877974346E-2
3.176234380E-1,6.747443229E-2,-1.120501384E-1,-1.877974346E-2
3.225859380E-1,7.367035002E-2,-1.296430528E-1,-2.200860158E-2
3.275500000E-1,7.367035002E-2,-1.296430528E-1,-2.200860158E-2
3.325125000E-1,8.342673630E-2,-1.620712727E-1,-2.921681106E-2
3.374750000E-1,8.342673630E-2,-1.620712727E-1,-2.921681106E-2
3.424390630E-1,8.419468254E-2,-1.924050897E-1,-3.721041977E-2
3.474015630E-1,8.419468254E-2,-1.924050897E-1,-3.721041977E-2
3.523640630E-1,7.724827528E-2,-2.106088847E-1,-3.975860029E-2
3.573281250E-1,7.724827528E-2,-2.106088847E-1,-3.975860029E-2
3.622906250E-1,7.478735596E-2,-2.174505740E-1,-4.548327997E-2
3.672546880E-1,7.478735596E-2,-2.174505740E-1,-4.548327997E-2
3.722171880E-1,7.110471278E-2,-2.352005690E-1,-6.421066076E-2
3.771812500E-1,7.110471278E-2,-2.352005690E-1,-6.421066076E-2
3.821437500E-1,5.752605200E-2,-1.995085925E-1,-8.211774379E-2
3.871078130E-1,5.752605200E-2,-1.995085925E-1,-8.211774379E-2
3.920703130E-1,3.700098023E-2,-1.374446750E-1,-8.841837943E-2
3.970328130E-1,3.700098023E-2,-1.374446750E-1,-8.841837943E-2
4.019968750E-1,2.830924094E-2,-1.314756572E-1,-8.772024512E-2
4.069593750E-1,2.830924094E-2,-1.314756572E-1,-8.772024512E-2
4.119234380E-1,2.092649788E-2,-1.343379915E-1,-7.759733498E-2
4.168859380E-1,2.092649788E-2,-1.343379915E-1,-7.759733498E-2
4.218484380E-1,-6.108652335E-3,-9.032078832E-2,-5.794493109E-2
4.268125000E-1,-6.108652335E-3,-9.032078832E-2,-5.794493109E-2
4.317750000E-1,-4.527384043E-2,-1.748819835E-2,-3.551745042E-2
4.367390630E-1,-4.527384043E-2,-1.748819835E-2,-3.551745042E-2
4.417031250E-1,-7.511897385E-2,5.077162758E-2,-1.776745170E-2
4.466656250E-1,-7.511897385E-2,5.077162758E-2,-1.776745170E-2
4.516281250E-1,-8.194320649E-2,6.047565863E-2,-1.375319436E-2
4.565906250E-1,-8.194320649E-2,6.047565863E-2,-1.375319436E-2
4.615546880E-1,-7.764969766E-2,3.298672289E-2,-4.607669078E-3
4.665171880E-1,-7.764969766E-2,3.298672289E-2,-4.607669078E-3
4.714812500E-1,-7.449065149E-2,-9.948377265E-4,9.599311277E-3
4.764437500E-1,-7.449065149E-2,-9.948377265E-4,9.599311277E-3
4.814078130E-1,-7.618362457E-2,-1.057669520E-2,2.335250564E-2
4.863703130E-1,-7.618362457E-2,-1.057669520E-2,2.335250564E-2
4.913343750E-1,-7.855726779E-2,-8.045967668E-3,3.347541392E-2
4.962968750E-1,-7.855726779E-2,-8.045967668E-3,3.347541392E-2
5.012593750E-1,-7.529350370E-2,-1.984439418E-2,3.824016452E-2
5.062234380E-1,-7.529350370E-2,-1.984439418E-2,3.824016452E-2
5.111859380E-1,-7.108726352E-2,-2.378883772E-2,4.077089205E-2
5.161500000E-1,-7.108726352E-2,-2.378883772E-2,4.077089205E-2
5.211125000E-1,-6.630505621E-2,-2.324778587E-2,4.691445082E-2
5.260750000E-1,-6.630505621E-2,-2.324778587E-2,4.691445082E-2
5.310390630E-1,-6.147049740E-2,-3.818780556E-2,4.979424179E-2
5.360015630E-1,-6.147049740E-2,-3.818780556E-2,4.979424179E-2
5.409640630E-1,-5.897467583E-2,-5.002113804E-2,4.909611121E-2
5.459281250E-1,-5.897467583E-2,-5.002113804E-2,4.909611121E-2
5.508906250E-1,-5.534439161E-2,-6.314601004E-2,4.490732029E-2
5.558546880E-1,-5.534439161E-2,-6.314601004E-2,4.490732029E-2
5.608171880E-1,-4.874704406E-2,-8.386307210E-2,3.536036983E-2
5.657812500E-1,-4.874704406E-2,-8.386307210E-2,3.536036983E-2
5.707437500E-1,-3.998549283E-2,-1.131147891E-1,2.413790300E-2
5.757062500E-1,-3.998549283E-2,-1.131147891E-1,2.413790300E-2
5.806703130E-1,-3.152064607E-2,-1.376541108E-1,1.567305624E-2
5.856343750E-1,-3.152064607E-2,-1.376541108E-1,1.567305624E-2
5.905968750E-1,-2.549926005E-2,-1.512502283E-1,7.993607782E-3
5.955609380E-1,-2.549926005E-2,-1.512502283E-1,7.993607782E-3
6.005218750E-1,-1.939060725E-2,-1.850921661E-1,-9.861109778E-3
6.054859380E-1,-1.939060725E-2,-1.850921661E-1,-9.861109778E-3
6.104484380E-1,-8.918632753E-3,-1.881988496E-1,-2.792526782E-2
6.154125000E-1,-8.918632753E-3,-1.881988496E-1,-2.792526782E-2
6.203765630E-1,6.527531426E-3,-1.882162988E-1,-3.879866749E-2
6.253390630E-1,6.527531426E-3,-1.882162988E-1,-3.879866749E-2
6.303015630E-1,9.965829551E-3,-1.939409822E-1,-4.597197101E-2
6.352656250E-1,9.965829551E-3,-1.939409822E-1,-4.597197101E-2
6.402296880E-1,-5.759586347E-4,-1.812873483E-1,-3.817034885E-2
6.451921880E-1,-5.759586347E-4,-1.812873483E-1,-3.817034885E-2
6.501546880E-1,-1.211258490E-2,-1.583013684E-1,-2.506292798E-2
6.551187500E-1,-1.211258490E-2,-1.583013684E-1,-2.506292798E-2
6.600796880E-1,-1.837831736E-2,-1.443038285E-1,-1.448623277E-2
6.650453130E-1,-1.837831736E-2,-1.443038285E-1,-1.448623277E-2
6.700078130E-1,-4.155628756E-2,-1.051386371E-1,-5.934119690E-4
6.749718750E-1,-4.155628756E-2,-1.051386371E-1,-5.934119690E-4
6.799328130E-1,-9.906488657E-2,-4.991641734E-3,1.701696031E-2
6.848968750E-1,-9.906488657E-2,-4.991641734E-3,1.701696031E-2
6.898609380E-1,-1.614080518E-1,9.489355236E-2,3.279473633E-2
6.948234380E-1,-1.614080518E-1,9.489355236E-2,3.279473633E-2
6.997875000E-1,-1.972047538E-1,1.196074113E-1,5.070181563E-2
7.047500000E-1,-1.972047538E-1,1.196074113E-1,5.070181563E-2
7.097125000E-1,-2.031388730E-1,9.478883445E-2,7.248352468E-2
7.146765630E-1,-2.031388730E-1,9.478883445E-2,7.248352468E-2
7.196390630E-1,-1.957212240E-1,7.140141726E-2,8.539895713E-2
7.246031250E-1,-1.957212240E-1,7.140141726E-2,8.539895713E-2
7.295656250E-1,-1.816887707E-1,3.998549283E-2,8.923868090E-2
7.345296880E-1,-1.816887707E-1,3.998549283E-2,8.923868090E-2
7.394921880E-1,-1.691049486E-1,3.176499158E-3,9.054768085E-2
7.444546880E-1,-1.691049486E-1,3.176499158E-3,9.054768085E-2
7.494171880E-1,-1.607448310E-1,-4.939281847E-3,9.492845833E-2
7.543812500E-1,-1.607448310E-1,-4.939281847E-3,9.492845833E-2
7.593437500E-1,-1.540776640E-1,-1.225221157E-2,1.012989059E-1
7.643062500E-1,-1.540776640E-1,-1.225221157E-2,1.012989059E-1
7.692718750E-1,-1.477770209E-1,-1.865756884E-2,1.097113937E-1
7.742343750E-1,-1.477770209E-1,-1.865756884E-2,1.097113937E-1
7.791968750E-1,-1.417905539E-1,-2.415535599E-2,1.188220158E-1
7.841609380E-1,-1.417905539E-1,-2.415535599E-2,1.188220158E-1
7.891234380E-1,-1.376192123E-1,-1.970476657E-2,1.290670931E-1
7.940875000E-1,-1.376192123E-1,-1.970476657E-2,1.290670931E-1
7.990500000E-1,-1.358913332E-1,-2.789036185E-2,1.376890242E-1
8.040125000E-1,-1.358913332E-1,-2.789036185E-2,1.376890242E-1
8.089765630E-1,-1.339714676E-1,-3.427826613E-2,1.471836120E-1
8.139390630E-1,-1.339714676E-1,-3.427826613E-2,1.471836120E-1
8.189015630E-1,-1.300270259E-1,-5.302310362E-2,1.550375968E-1
8.238640630E-1,-1.300270259E-1,-5.302310362E-2,1.550375968E-1
8.288281250E-1,-1.256986111E-1,-6.051056460E-2,1.619316489E-1
8.337906250E-1,-1.256986111E-1,-6.051056460E-2,1.619316489E-1
8.387546880E-1,-1.209862232E-1,-6.846926361E-2,1.608669907E-1
8.437171880E-1,-1.209862232E-1,-6.846926361E-2,1.608669907E-1
8.486796880E-1,-1.144586951E-1,-6.789331138E-2,1.604830176E-1
8.536453130E-1,-1.144586951E-1,-6.789331138E-2,1.604830176E-1
8.586078130E-1,-1.065698043E-1,-5.841616914E-2,1.630835682E-1
8.635718750E-1,-1.065698043E-1,-5.841616914E-2,1.630835682E-1
8.685343750E-1,-9.836675972E-2,-7.398450375E-2,1.639736891E-1
8.734968750E-1,-9.836675972E-2,-7.398450375E-2,1.639736891E-1
8.784609380E-1,-9.073966742E-2,-7.497934252E-2,1.707979143E-1
8.834234380E-1,-9.073966742E-2,-7.497934252E-2,1.707979143E-1
8.883859380E-1,-8.363617957E-2,-8.374089748E-2,1.796641946E-1
8.933484380E-1,-8.363617957E-2,-8.374089748E-2,1.796641946E-1
8.983125000E-1,-7.712610066E-2,-8.911651373E-2,1.917942315E-1
9.032765630E-1,-7.712610066E-2,-8.911651373E-2,1.917942315E-1
9.082390630E-1,-7.113961875E-2,-1.019621342E-1,2.057568580E-1
9.132031250E-1,-7.113961875E-2,-1.019621342E-1,2.057568580E-1
9.181640630E-1,-6.557202339E-2,-1.053655297E-1,2.170142382E-1
9.231281250E-1,-6.557202339E-2,-1.053655297E-1,2.170142382E-1
9.280906250E-1,-6.066764519E-2,-1.068490595E-1,2.196496874E-1
9.330546880E-1,-6.066764519E-2,-1.068490595E-1,2.196496874E-1
9.380187500E-1,-5.516985804E-2,-9.663888067E-2,2.172934860E-1
9.429812500E-1,-5.516985804E-2,-9.663888067E-2,2.172934860E-1
9.479453130E-1,-4.993386939E-2,-8.035495877E-2,2.210110426E-1
9.529062500E-1,-4.993386939E-2,-8.035495877E-2,2.210110426E-1
9.578703130E-1,-4.047418386E-2,-6.377433240E-2,2.151118368E-1
9.628328130E-1,-4.047418386E-2,-6.377433240E-2,2.151118368E-1
9.677968750E-1,-1.972221956E-2,-6.328564137E-2,2.044478655E-1
9.727609380E-1,-1.972221956E-2,-6.328564137E-2,2.044478655E-1
9.777234380E-1,3.694862127E-2,-1.408480704E-1,1.859124750E-1
9.826859380E-1,3.694862127E-2,-1.408480704E-1,1.859124750E-1
9.876484380E-1,1.166403517E-1,-2.782403827E-1,1.538856775E-1
9.926125000E-1,1.166403517E-1,-2.782403827E-1,1.538856775E-1
9.975765630E-1,1.791405976E-1,-3.679153919E-1,1.252099127E-1
1.002540625E0,1.791405976E-1,-3.679153919E-1,1.252099127E-1
1.007503125E0,1.966986060E-1,-3.956312239E-1,1.083151326E-1
1.012465625E0,1.966986060E-1,-3.956312239E-1,1.083151326E-1
1.017428125E0,1.757022887E-1,-3.569896519E-1,1.055226028E-1
