"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-1.550000012E-1,6.759999990E-1,2.054100037E0
9.906250000E-3,-5.009999871E-2,8.450999856E-1,1.229099989E0
1.983281300E-2,1.304000020E-1,8.294999599E-1,3.319999948E-2
2.975937500E-2,8.419999480E-2,5.155000091E-1,-6.818000078E-1
3.968593800E-2,2.092999965E-1,3.375999928E-1,-8.792999983E-1
4.961250000E-2,1.712999940E-1,1.794999987E-1,-8.744999766E-1
5.953750000E-2,6.000000052E-3,5.509999767E-2,-7.329999804E-1
6.946562500E-2,-2.820999920E-1,1.999999949E-4,-3.877999783E-1
7.939062500E-2,-4.161999822E-1,3.139999881E-2,4.999999888E-3
8.931718800E-2,-5.465999842E-1,1.284999996E-1,8.829999715E-2
9.924375000E-2,-5.392000079E-1,1.656999886E-1,-2.489999868E-2
1.091703130E-1,-3.594999909E-1,1.624999940E-1,9.669999778E-2
1.190968750E-1,-1.542000026E-1,2.184000015E-1,2.692999840E-1
1.290218750E-1,1.809999906E-2,2.428999990E-1,4.840999842E-1
1.389484380E-1,1.053999960E-1,2.743999958E-1,5.054000020E-1
1.488750000E-1,2.125999928E-1,2.143999934E-1,2.630999982E-1
1.588015630E-1,2.751999795E-1,2.818000019E-1,-9.619999677E-2
1.687281250E-1,1.507999897E-1,2.300999910E-1,-8.989999443E-2
1.786546880E-1,1.357000023E-1,2.651000023E-1,9.849999845E-2
1.885812500E-1,8.929999918E-2,2.653000057E-1,4.100000020E-3
1.985062500E-1,2.199999988E-2,2.020999938E-1,8.179999888E-2
2.084328130E-1,1.689999923E-2,1.966999918E-1,9.369999915E-2
2.183593750E-1,3.539999947E-2,2.060000002E-1,-6.119999662E-2
2.282859380E-1,8.349999785E-2,2.316999882E-1,9.899999946E-3
2.382125000E-1,2.258999944E-1,2.900999784E-1,6.189999729E-2
2.481390630E-1,1.666999906E-1,2.109999955E-1,8.779999614E-2
