"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.195855886E-1,9.915806770E0,2.505206585E0
4.962500000E-3,1.842960715E-1,9.970844269E0,2.667916536E0
9.925000000E-3,2.991507351E-1,1.001870060E1,2.557850122E0
1.488906200E-2,3.135063350E-1,9.954094887E0,2.316169977E0
1.985156200E-2,2.800066769E-1,9.951700211E0,2.014672756E0
2.481562500E-2,3.111217320E-1,9.954094887E0,1.624647856E0
2.977812500E-2,3.852941096E-1,1.004501629E1,1.246574640E0
3.474062500E-2,3.996497095E-1,1.011919880E1,1.153258204E0
3.970468700E-2,4.307551980E-1,1.007373714E1,1.026442170E0
4.466718700E-2,4.714374840E-1,1.005698872E1,7.680120468E-1
4.963125000E-2,4.140053689E-1,1.004501629E1,5.909464359E-1
5.459375000E-2,3.541886210E-1,9.922988892E0,3.971310258E-1
5.955781200E-2,3.685442507E-1,9.846412659E0,3.971310258E-1
6.452031200E-2,3.613712192E-1,9.767452240E0,3.636313379E-1
6.948281200E-2,2.919777036E-1,9.863162994E0,3.492661417E-1
7.444687500E-2,2.177957445E-1,9.815307617E0,5.191587210E-1
7.940937500E-2,8.064341545E-1,9.769846916E0,1.114970207E0
8.437343700E-2,3.494002223E-1,9.741134644E0,1.026442170E0
8.933593700E-2,1.938728839E-1,9.650202751E0,6.794840097E-1
9.430000000E-2,2.177957445E-1,9.669347763E0,2.966320217E-1
9.926250000E-2,2.345455736E-1,9.654992104E0,1.410950869E-1
1.042265620E-1,2.345455736E-1,9.611914635E0,1.985176206E-1
1.091890620E-1,-4.779784381E-2,9.733952522E0,8.397997618E-1
1.141531250E-1,2.159569971E-2,9.686098099E0,1.253757238E0
1.191156250E-1,4.570818543E-1,9.609530449E0,2.837809086E0
1.240781250E-1,3.972555101E-1,9.710029602E0,2.332919598E0
1.290421870E-1,3.135063350E-1,9.827268600E0,2.069710732E0
1.340046870E-1,1.890844703E-1,9.805740356E0,1.562427282E0
1.389687500E-1,7.663360238E-2,9.896661758E0,1.083864689E0
1.439312500E-1,-5.975927413E-2,9.848807335E0,6.124846935E-1
1.488937500E-1,-1.004415527E-1,9.858384132E0,2.057002187E-1
1.538578120E-1,-9.804734588E-2,9.846412659E0,8.127836138E-2
1.588203120E-1,-3.822103515E-2,9.946911812E0,-8.383536339E-2
1.637843750E-1,2.638410218E-2,9.901451111E0,4.702212289E-3
1.687468750E-1,8.859504014E-2,9.925383568E0,2.080944330E-1
1.737109370E-1,1.436233670E-1,9.896661758E0,4.641303718E-1
1.786734370E-1,1.531905979E-1,9.894268990E0,6.627342105E-1
1.836359370E-1,6.705679744E-2,9.934949875E0,1.000115514E0
1.886000000E-1,8.380663395E-2,9.939739227E0,1.189152122E0
1.935625000E-1,1.316523552E-1,9.949306488E0,1.416467190E0
1.985265620E-1,9.815269709E-2,1.004980564E1,1.476293445E0
2.034890620E-1,1.244793311E-1,1.002109337E1,1.600715280E0
2.084531250E-1,1.460079998E-1,1.000673866E1,1.605503798E0
2.134156250E-1,1.388349682E-1,1.000913239E1,1.543292880E0
2.183781250E-1,1.364407688E-1,9.968450546E0,1.469110847E0
2.233421870E-1,1.412291676E-1,1.000913239E1,1.294439435E0
2.283062500E-1,1.220851392E-1,9.954094887E0,1.294439435E0
2.332687500E-1,7.902780920E-2,9.930162430E0,1.232218981E0
2.382312500E-1,8.380663395E-2,9.884700775E0,1.126941204E0
2.431953120E-1,9.576806426E-2,9.925383568E0,1.081470490E0
2.481578120E-1,1.077295020E-1,9.889489174E0,1.110191226E0
2.531203120E-1,4.791276529E-2,9.906239510E0,1.088653088E0
2.580843750E-1,5.270116776E-2,9.884700775E0,1.067114830E0
2.630468750E-1,1.244793311E-1,9.887095451E0,1.047970772E0
2.680109370E-1,2.225841433E-1,9.803345680E0,1.069509029E0
2.729734370E-1,2.417281866E-1,9.753096581E0,1.117364407E0
2.779375000E-1,2.656510174E-1,9.767452240E0,1.055153489E0
2.829000000E-1,3.278715611E-1,9.767452240E0,9.809715152E-1
2.878625000E-1,3.206889629E-1,9.731558800E0,8.613380194E-1
2.928265620E-1,3.206889629E-1,9.788990021E0,7.464833260E-1
2.977890620E-1,2.393339872E-1,9.733952522E0,6.842628121E-1
3.027531250E-1,1.603731960E-1,9.762663841E0,6.172634959E-1
3.077156250E-1,1.795076579E-1,9.743529320E0,5.598409176E-1
3.126781250E-1,1.747288406E-1,9.767452240E0,5.741965771E-1
3.176421870E-1,2.058342993E-1,9.726778984E0,6.196576953E-1
3.226046870E-1,7.663360238E-2,9.745914459E0,5.909464359E-1
3.275687500E-1,7.663360238E-2,9.721991539E0,6.699072123E-1
3.325312500E-1,4.073973373E-2,9.829663277E0,6.483689547E-1
3.374953120E-1,-2.625960298E-2,9.805740356E0,5.813696384E-1
3.424578120E-1,-1.291528195E-1,9.772240639E0,5.024088621E-1
3.474203120E-1,-1.363354176E-1,9.867951393E0,5.048030615E-1
3.523843750E-1,-2.224692255E-1,9.784202576E0,4.306307137E-1
3.573468750E-1,-2.966511548E-1,9.786596298E0,3.229490519E-1
3.623109370E-1,-2.344402373E-1,9.803345680E0,3.995156586E-1
3.672734370E-1,-2.368248552E-1,9.796163559E0,2.679111660E-1
3.722375000E-1,-2.846897244E-1,9.872738838E0,2.990166247E-1
3.772000000E-1,-2.511900663E-1,9.853595734E0,3.899484277E-1
3.821625000E-1,-2.081135809E-1,9.863162994E0,3.947368264E-1
3.871265620E-1,-1.530852467E-1,9.870346069E0,4.665149748E-1
3.920890620E-1,1.680729724E-2,9.834450722E0,5.789849758E-1
3.970531250E-1,2.638410218E-2,9.839240074E0,5.741965771E-1
4.020156250E-1,1.316523552E-1,9.781807899E0,6.196576953E-1
4.069796870E-1,1.460079998E-1,9.710029602E0,6.531573534E-1
4.119421870E-1,2.728336453E-1,9.731558800E0,6.340133548E-1
4.169046870E-1,4.594760537E-1,9.698058128E0,7.440891862E-1
4.218687500E-1,5.192927718E-1,9.707635880E0,8.063001037E-1
4.268312500E-1,6.317532063E-1,9.726778984E0,7.369065285E-1
