"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,2.830575109E-1,-2.175378352E-1,-3.501304984E-1
4.962500000E-3,2.830575109E-1,-2.175378352E-1,-3.501304984E-1
9.925000000E-3,0.000000000E0,0.000000000E0,0.000000000E0
1.488906200E-2,7.330382941E-4,-2.356194425E-3,1.221730490E-4
1.985156200E-2,7.330382941E-4,-2.356194425E-3,1.221730490E-4
2.481562500E-2,3.787364578E-3,-1.740093343E-2,-3.385938704E-3
2.977812500E-2,3.787364578E-3,-1.740093343E-2,-3.385938704E-3
3.474062500E-2,1.087340154E-2,-4.284783453E-2,-8.953538723E-3
3.970468700E-2,1.087340154E-2,-4.284783453E-2,-8.953538723E-3
4.466718700E-2,6.586349010E-1,-2.405185938E0,-4.772602916E-1
4.963125000E-2,6.586349010E-1,-2.405185938E0,-4.772602916E-1
5.459375000E-2,6.994755864E-1,-2.432151318E0,-4.597895443E-1
5.955781200E-2,6.994755864E-1,-2.432151318E0,-4.597895443E-1
6.452031200E-2,7.995527983E-1,-2.672099113E0,-4.776616991E-1
6.948281200E-2,7.995527983E-1,-2.672099113E0,-4.776616991E-1
7.444687500E-2,8.573057055E-1,-2.780850649E0,-4.723908007E-1
7.940937500E-2,8.573057055E-1,-2.780850649E0,-4.723908007E-1
8.437343700E-2,8.133583069E-1,-2.677038431E0,-4.276929200E-1
8.933593700E-2,8.133583069E-1,-2.677038431E0,-4.276929200E-1
9.430000000E-2,7.799178362E-1,-2.642044544E0,-4.037120938E-1
9.926250000E-2,7.799178362E-1,-2.642044544E0,-4.037120938E-1
1.042265620E-1,7.753276229E-1,-2.646791697E0,-3.883706629E-1
1.091890620E-1,7.753276229E-1,-2.646791697E0,-3.883706629E-1
1.141531250E-1,7.348883152E-1,-2.461158514E0,-3.584033549E-1
1.191156250E-1,7.348883152E-1,-2.461158514E0,-3.584033549E-1
1.240781250E-1,6.098180413E-1,-2.130313873E0,-3.140894473E-1
1.290421870E-1,6.098180413E-1,-2.130313873E0,-3.140894473E-1
1.340046870E-1,5.133362412E-1,-1.896055937E0,-2.819579542E-1
1.389687500E-1,5.133362412E-1,-1.896055937E0,-2.819579542E-1
1.439312500E-1,4.538554251E-1,-1.672339559E0,-2.511354387E-1
1.488937500E-1,4.538554251E-1,-1.672339559E0,-2.511354387E-1
1.538578120E-1,4.055621624E-1,-1.555507183E0,-2.344675362E-1
1.588203120E-1,4.055621624E-1,-1.555507183E0,-2.344675362E-1
1.637843750E-1,3.667984009E-1,-1.506062031E0,-2.316226512E-1
1.687468750E-1,3.667984009E-1,-1.506062031E0,-2.316226512E-1
1.737109370E-1,3.388207555E-1,-1.468205810E0,-2.350783944E-1
1.786734370E-1,3.388207555E-1,-1.468205810E0,-2.350783944E-1
1.836359370E-1,3.176673651E-1,-1.414484620E0,-2.369284481E-1
1.886000000E-1,3.176673651E-1,-1.414484620E0,-2.369284481E-1
1.935625000E-1,3.018721342E-1,-1.337864637E0,-2.346595228E-1
