"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,9.156999588E-1,4.238999784E-1,1.846499920E0
9.925000000E-3,9.382999539E-1,5.449000001E-1,1.422799945E0
1.985156200E-2,5.439000130E-1,5.011999607E-1,5.598999858E-1
2.977812500E-2,3.624999821E-1,6.179000139E-1,-4.176999927E-1
3.970468700E-2,1.876999885E-1,6.697999835E-1,-7.509999871E-1
4.963125000E-2,7.509999722E-2,5.825999975E-1,-8.377999663E-1
5.955781200E-2,9.999999776E-3,3.350999951E-1,-6.240999699E-1
6.948281200E-2,-7.199999690E-2,3.164999783E-1,-3.513000011E-1
7.940937500E-2,3.725000024E-1,2.301999927E-1,4.558999836E-1
8.933593700E-2,-2.134999931E-1,9.659999609E-2,6.909999996E-2
9.926250000E-2,-1.411999911E-1,1.000999957E-1,-3.948999941E-1
1.091890620E-1,-3.357000053E-1,1.810999960E-1,2.310999930E-1
1.191156250E-1,1.314000040E-1,9.950000048E-2,1.779599905E0
1.290421870E-1,8.529999852E-2,3.456999958E-1,8.066999912E-1
1.389687500E-1,-1.256999969E-1,4.240999818E-1,-2.773000002E-1
1.488937500E-1,-2.368000001E-1,3.847999871E-1,-1.187099934E0
1.588203120E-1,-1.697999984E-1,4.485999942E-1,-1.288800001E0
1.687468750E-1,1.999999955E-2,3.773999810E-1,-4.818999767E-1
1.786734370E-1,1.109999940E-1,3.321999907E-1,2.671999931E-1
1.886000000E-1,4.239999875E-2,3.722999990E-1,7.860999703E-1
1.985265620E-1,2.449999936E-2,5.041999817E-1,8.319999576E-1
2.084531250E-1,4.010000080E-2,4.834999740E-1,6.338999867E-1
2.183781250E-1,2.129999921E-2,4.724999964E-1,2.534999847E-1
2.283062500E-1,7.599999662E-3,4.786999822E-1,-4.250000045E-2
2.382312500E-1,-3.159999847E-2,4.083999991E-1,-2.074999958E-1
2.481578120E-1,-4.499999806E-3,3.992999792E-1,-1.596999913E-1
2.580843750E-1,-4.499999806E-2,3.862999976E-1,-9.829999506E-2
2.680109370E-1,1.140999943E-1,2.894999981E-1,-2.389999852E-2
2.779375000E-1,1.242999956E-1,2.457999885E-1,8.700000122E-3
2.878625000E-1,1.350999922E-1,2.118999958E-1,-1.475999951E-1
2.977890620E-1,2.119999938E-2,2.043999881E-1,-2.439999878E-1
3.077156250E-1,-6.329999864E-2,2.057999969E-1,-2.733999789E-1
3.176421870E-1,-3.049999848E-2,1.788999885E-1,-1.261999905E-1
3.275687500E-1,-1.217999980E-1,1.723999977E-1,5.999999703E-4
3.374953120E-1,-1.523000002E-1,2.459999919E-1,-3.109999932E-2
3.474203120E-1,-1.966999918E-1,3.115999997E-1,-7.159999758E-2
3.573468750E-1,-2.615000010E-1,2.204999924E-1,-2.096999884E-1
3.672734370E-1,-1.164999977E-1,2.272999883E-1,-1.969999969E-1
3.772000000E-1,-7.140000165E-2,2.845999897E-1,-1.299999934E-2
3.871265620E-1,6.099999696E-2,3.037999868E-1,8.879999816E-2
3.970531250E-1,1.972000003E-1,2.742999792E-1,1.831000000E-1
4.069796870E-1,2.388999909E-1,1.387999952E-1,2.037999928E-1
4.169046870E-1,4.167999923E-1,1.336999983E-1,1.955999881E-1
4.268312500E-1,4.185999930E-1,1.696999967E-1,1.155999973E-1
4.367593750E-1,2.648999989E-1,2.423999906E-1,3.691999912E-1
4.466843750E-1,1.758999974E-1,2.703999877E-1,4.280999899E-1
4.566109370E-1,2.002999932E-1,2.489999980E-1,1.978999972E-1
4.665375000E-1,1.686999947E-1,2.518999875E-1,3.350000083E-2
